date,week_ahead,point,mode,true,date_origin,q_1,q_2,q_5,q_10,q_15,q_20,q_25,q_30,q_35,q_40,q_45,q_55,q_60,q_65,q_70,q_75,q_80,q_85,q_90,q_95,q_97,q_99
2023-12-03,0,1.870738761897071,train,1.5035924940999998,2023-12-03,0.3715108899691154,0.4959561083849292,0.6256524472951749,0.8039094328573462,0.9429181624936396,1.0647997930922235,1.1777255532491178,1.2859141280379618,1.39203153283474,1.4980510134186296,1.6056507926337842,1.832182664483187,1.9549085020925585,2.087257178239945,2.2328602776372444,2.397127895773923,2.588870734364205,2.8242419968844774,3.13876569359006,3.643081133262924,4.117796301622933,4.7136658666299525
2023-12-10,0,2.0328226918859853,train,1.0565545479999998,2023-12-10,0.4413567395925148,0.5790061165818902,0.7206888871134063,0.913321632845684,1.0622783850776452,1.1921673593583486,1.3120127891757742,1.4264415276836164,1.538353884328442,1.6498759075845768,1.7627966988884414,1.9997725712994248,2.127779588978302,2.265562425722842,2.4168601883858014,2.5872301974976937,2.7857082966575666,3.02884024104461,3.3529740963836465,3.8711766406578394,4.357554286215364,4.966496396813135
2023-12-17,0,2.069523458248235,train,1.872016332,2023-12-17,0.4576779350175928,0.5982693882543924,0.7426121370983784,0.9384253501851844,1.0895783936269448,1.2212331432433694,1.3426033152526191,1.4584063026591965,1.5715943266958718,1.6843272568390597,1.798418711389404,2.0376917160532257,2.1668600961688567,2.3058378428524167,2.4583877404381,2.630099520206852,2.830058582860232,3.0748970893981524,3.4011445074415274,3.9224020877187016,4.411346360986122,5.02316671155618
2023-12-24,0,2.4555669904401043,train,0.7055861865999999,2023-12-24,0.6393704773239487,0.809886912606933,0.9811017598574708,1.2088795041408644,1.3820275452108304,1.531330556961641,1.6679196242230971,1.7974261242668617,1.9233253088985955,2.0481172070493834,2.1738615909828085,2.435989128230281,2.576707953933808,2.7275679203421563,2.892567814188161,3.07762023608007,3.292304135116205,3.554112170965498,3.9013806028089535,4.453035833870779,4.96753374807608,5.60803101710707
2024-01-07,0,2.9625118705647533,train,4.5948212625,2024-01-07,0.9013029615592858,1.1085296468449266,1.3123565896765497,1.5786069567934675,1.7780761767694924,1.9484294866389484,2.103130920739083,2.248919745588372,2.3899032507991573,2.528991343296485,2.668539548884305,2.957715552609775,3.112095097545273,3.2770036032208205,3.456719831414442,3.657539004489381,3.889624646090764,4.171488473616234,4.5436068039853925,5.131216346087873,5.675964791908742,6.350445486180963
2024-01-14,0,4.80381415263851,train,5.0353735881,2024-01-14,2.0013549811701026,2.3233191159985718,2.627587946080721,3.01096485333774,3.289902752191812,3.523500549697182,3.732434070913663,3.926849579351541,4.112789495578793,4.294413339461309,4.474974280524897,4.844376021872431,5.039215784799064,5.245700674938036,5.468940214300411,5.716362405916692,5.999859148851103,6.340953229876249,6.786443412067232,7.480213872903134,8.114314442639973,8.88923874015286
2024-01-21,0,6.312303136716186,train,3.0567399029999995,2024-01-21,3.0138662527009465,3.414729186299332,3.7872787394789,4.2495304265999785,4.581605070195819,4.85730642053448,5.102228793603098,5.328832369335737,5.54446897801745,5.754140462097783,5.961702457103331,6.383813658724676,6.605187842024521,6.838908822796642,7.090629641650226,7.368517161230917,7.685588346078191,8.06532354819757,8.55862874442461,9.321495410479548,10.013684523369207,10.853844593418165
2024-01-28,0,4.2275436859544175,train,1.2577460636,2024-01-28,1.6374052209998202,1.9260566673909616,2.201333723981104,2.551063096171242,2.8072515696989604,3.0227828429216106,3.2162478571846704,3.3968100083409167,3.5699544820458367,3.739481624168925,3.908387115909129,4.255009585679302,4.438369891627049,4.633063950331459,4.843965635819438,5.078182035011151,5.347115786951147,5.671437703598733,6.096158024155741,6.759886253163653,7.368706679333119,8.115215603572285
2024-02-04,0,2.1309877634012926,train,1.5948365448,2024-02-04,0.485406967371509,0.6308868106836335,0.7796413365661548,0.9807224515947682,1.1355099006807043,1.2700851225930592,1.3939762414382983,1.5120507883085463,1.6273470238437966,1.7420808472102207,1.858106474359503,2.101174329663774,2.2322611047167173,2.3732125871111025,2.527830696117559,2.7017587251405044,2.904163967944634,3.151821370159253,3.4815601754335805,4.00786495520059,4.501050240061967,5.117627430815365
2024-02-11,0,1.5482262278070262,train,1.9022537772,2024-02-11,0.2447846191867613,0.3419204328852913,0.4465139193390679,0.594379203771405,0.7122220972288851,0.8170065616008412,0.915123051714024,1.0099343648167698,1.103613485039019,1.1978110882756383,1.293970610863154,1.4980302455040977,1.6093866911723995,1.7300342768020431,1.8633741401044104,2.014500569992998,2.1917411527908,2.410406749619048,2.704253622161488,3.178716936412804,3.628392742093546,4.196234791912787
2024-02-18,0,2.6828781915546527,train,2.9401130847,2024-02-18,0.7538960635008283,0.9412129024207984,1.127393246733585,1.3728629624609183,1.5581328744049254,1.7171385331043925,1.8620809000977097,1.9990999091857613,2.131961165843585,2.2633531328766074,2.3954716518271706,2.670092389483233,2.817122081795504,2.9744727094725865,3.146272313315089,3.338610189662863,3.5613352891377485,3.832410976232886,4.191161981713238,4.7594290778159705,5.287901006990182,5.944092997955811
2024-02-25,0,3.637220389670979,train,2.5705680948,2024-02-25,1.2815970459535917,1.533839181060695,1.7772866434572738,2.089939237569276,2.3209912157438626,2.516526952870296,2.692851248602514,2.858047999905386,3.0169894985656227,3.173080466532725,3.329032507818138,3.6503203098325656,3.820905123438609,4.002472081291561,4.199632662884537,4.4191362343302165,4.671839687256672,4.977463104323642,5.3790204331631095,6.009233012567754,6.589842128552369,7.304634243726193
2024-03-03,0,3.312362494623116,train,1.8405508728,2024-03-03,1.094542244339809,1.325607848133893,1.5504589725880054,1.8413712978424095,2.057645365778749,2.2414069931319136,2.407626874145877,2.563757937242441,2.714313741096725,2.8624671270335837,3.010762950063365,3.317067186920802,3.480092222433361,3.653888955867475,3.842913609875166,4.053703708020481,4.296792777574446,4.5913374156074,4.979168247406228,5.589516315420645,6.153403744288126,6.8493968820698345
2024-03-10,0,2.5749669433853373,train,2.6839971634,2024-03-10,0.6988946310494485,0.8783076736289173,1.0574568063591048,1.294622857404105,1.4742074938677767,1.6286643859853096,1.7696916768532889,1.903190401483996,2.032789821467653,2.161089946687374,2.290222769335741,2.5589922791362296,2.7030665225660546,2.857377634521791,3.0259931029842235,3.214919457561596,3.43387918551796,3.70061518726049,4.053989215165622,4.614476940188707,5.136404159170772,5.785244635635287
2024-03-17,0,2.3039875174019384,train,2.9543726145,2024-03-17,0.5659658738411278,0.724949438834795,0.8858442275838226,1.1013790876330116,1.2661183434973622,1.4086814226395443,1.5394624358969635,1.663741887294232,1.7847944409248893,1.9049897907581728,2.0262934790278413,2.279713983108921,2.4160332343135247,2.562367659339412,2.722626052328041,2.902597935088483,3.1116741423736367,3.367019366618753,3.7062811878859514,4.246355933376087,4.751115758624863,5.38068066224471
2024-03-24,0,2.3994095099437858,train,2.5494227088,2024-03-24,0.6118840263618978,0.7781594337031784,0.9455840169898572,1.1688696345308254,1.3389344126019311,1.4857670221503412,1.6202277968628376,1.7478192663336996,1.871943049044643,1.995051345431199,2.119169360019485,2.378108342210294,2.517216145924916,2.666419022999208,2.829682794630656,3.012874981270585,3.225505635264514,3.484947300119273,3.829284004856192,4.376698591097487,4.88763015172724,5.524123180292435
2024-03-31,0,2.520841274944136,train,2.1442430081,2024-03-31,0.6717329219374352,0.8471330568511638,1.0227060618040875,1.2556431032824928,1.4323295257568809,1.5844663140733886,1.7234959813131945,1.8551980330957272,1.9831323369977656,2.109853862436569,2.2374620738614297,2.5032432566746223,2.6458079200132354,2.798566421671492,2.9655553348783634,3.152738925547737,3.3697750979616137,3.6342941614551063,3.984921430216689,4.541435481813885,5.060020115717755,5.705106551898648
2024-04-07,0,2.694780159092294,train,2.4902918572,2024-04-07,0.7600295261767416,0.9482103617775732,1.1351583693930964,1.3815338093968204,1.5674234290960782,1.7269247229383375,1.872293566149963,2.0096959717800265,2.1429124238954214,2.274641034545084,2.4070846081719206,2.682342300860593,2.82969369054424,2.987375151884479,3.159521318868625,3.3522304985282374,3.5753654083840285,3.846913412267469,4.206249640632566,4.775363477423173,5.304547823093471,5.961540142392254
2024-04-14,0,3.0410625056442693,train,4.037375835000001,2024-04-14,0.9438839230078904,1.1565625422967658,1.3652070222137744,1.6371171013120265,1.8404470843517016,2.013882793064764,2.1712333367075134,2.3194015459692885,2.4625878767314693,2.603762565669108,2.7453246047696016,3.038444629493713,3.194815267442426,3.361770960249625,3.5436313265305808,3.746747388905885,3.981367893580981,4.266153102682332,4.64189129293726,5.234739208372004,5.783896444303436,6.4633320952179485
2024-04-21,0,4.704584834726727,train,2.9537055188,2024-04-21,1.9376457873617128,2.2540157718554465,2.553423736478018,2.93116652369411,3.206298883640568,3.4368763406806404,3.643225003631065,3.83532636562667,4.019129478928917,4.19873371350598,4.377349144000596,4.742949700395262,4.93587437894128,5.140392550974131,5.3615744406095605,5.6067945563409465,5.8878632643421165,6.226161399284057,6.668189761928754,7.356953857257233,7.986842366043974,8.757032920752057
2024-04-28,0,5.872769848896969,train,4.476285065600001,2024-04-28,2.711149746011523,3.090109985005738,3.4437516253663176,3.884208073259315,4.201623904810175,4.465722479446322,4.700735042243672,4.918481109035027,5.125950281436042,5.327911604707583,5.528054392726749,5.935690972275859,6.149782541570968,6.376030976358351,6.619940359930659,6.889475256356549,7.197344795524535,7.566493955219049,8.046705804704022,8.79066272781499,9.466964423097952,10.289292928401515
2024-05-05,0,4.91486117418996,train,7.9546056192,2024-05-05,2.073130059330522,2.401288635076173,2.7109365647907997,3.1005450217880366,3.383690325722684,3.6206265886615663,3.832416707032284,4.029389272922927,4.217690003348413,4.401544949588474,4.584254936326666,4.957855022611195,5.154809730227188,5.363466438734731,5.58897806082899,5.838831654446036,6.125009115026052,6.469189904152106,6.918501633474743,7.617798194436287,8.256547696409946,9.036696313616195
2024-05-12,0,5.817595099665226,train,10.1649468054,2024-05-12,2.6735601559561566,3.0497125257620805,3.4009277879411624,3.838584925621421,4.154116747327899,4.416723431684287,4.650461363364391,4.867067840133979,5.073485961359517,5.274454874531144,5.473642523082671,5.879415178900911,6.092568725416825,6.317854523248162,6.560757456008261,6.829216001710653,7.135899583634789,7.5036841090258015,7.982207754281349,8.723725854423465,9.397977912103638,10.218005293383989
2024-05-19,0,7.476185573697683,train,6.9018691644,2024-05-19,3.8403904802063744,4.295670119236158,4.71506246427441,5.231176357210238,5.599405418440585,5.903686725780275,6.172994760030033,6.421376711877571,6.65708077069319,6.885684181332362,7.11145309263252,7.569056808129126,7.808274636187337,8.060295456778162,8.331136368569489,8.629457989816935,8.969027894040448,9.374630961093816,9.899907849938892,10.708904486488704,11.439809908942957,12.32337827464172
2024-05-26,0,5.122441637628204,train,3.3233297216,2024-05-26,2.2086016410280496,2.548159159112504,2.8676967434083505,3.268753511502026,3.5596240315172807,3.8026878483650433,4.019719691379361,4.221383348104768,4.4140143803607454,4.601961076487761,4.788611785351788,5.1699090121983575,5.3707405642916015,5.583377960223797,5.8130536256523975,6.067362805742387,6.358452235939856,6.708288312676546,7.16460085258293,7.874019418225315,8.521283046705237,9.310998345527342
2024-06-02,0,2.24344224796853,train,2.9828227835,2024-06-02,0.5373656544024201,0.6916654856144141,0.8483568161075268,1.0588938724403816,1.220195168816661,1.3600001889476805,1.4884030772636554,1.6105413772650388,1.7296079570167866,1.8479193214566227,1.96740252863716,2.217252723775648,2.351767627908923,2.496245898956524,2.654559456184081,2.832447375956068,3.039223381963918,3.291917724012292,3.627895688506377,4.163221573470812,4.663989051843233,5.289073335051148
2024-06-09,0,1.6718987110842454,train,2.4330860036,2024-06-09,0.2912803754090634,0.399050526742964,0.5134771830358686,0.6733001191343571,0.7994955349166447,0.9110379749638272,1.015014380142992,1.1151230002321222,1.2137303781622448,1.312614016058557,1.413309794210652,1.6262831191649567,1.7421502934407125,1.8674405932611076,2.0056463920232,2.1619870553620584,2.3449815391190985,2.570274366047434,2.872321926227233,3.358619930170464,3.8182167475764057,4.397156538567554
2024-06-16,0,1.7069919232174042,train,1.916482332,2024-06-16,0.3049689220873173,0.4157202789797408,0.5328892705710366,0.696034089533256,0.8245438025480294,0.9379560321992158,1.0435522253464562,1.145124140066719,1.2450921951525498,1.3452691477605467,1.4472165434233222,1.6626485471759216,1.7797596813867749,1.906330250141572,2.045877835053136,2.203656349023859,2.3882375988522075,2.615358256379969,2.9196680937509782,3.409232107109042,3.871568211591913,4.453573960008373
2024-06-23,0,1.7197681879371878,train,2.1272234484,2024-06-23,0.3100044822383179,0.4218371455604238,0.5399993813229874,0.7043460605252047,0.8336924828093237,0.9477804452544832,1.0539618687545045,1.156062374436435,1.2565218837908223,1.3571659114473842,1.4595652870058669,1.6758850856059666,1.7934453715585792,1.9204781925228036,2.060510236631862,2.218807895923299,2.403962067257417,2.6317427073223554,2.936869441491803,3.427612916979953,3.8909384057531113,4.474051702652672
2024-06-30,0,1.81856718178057,train,2.7369047596,2024-06-30,0.349849137042329,0.4699701557975086,0.5957221785820174,0.7692314423251281,0.9049466516802464,1.0241736387746845,1.1348032719426844,1.2409198550038945,1.3451121620566908,1.449303001810094,1.5551339549044445,1.7781929225661388,1.8991622560678865,2.0297033930700903,2.1734122164074137,2.3356499200871053,2.5251524129054967,2.757942490873421,3.069270439425416,3.568969430871877,4.039809471351048,4.6313377018554505
2024-07-07,0,2.049553009213124,train,2.7537626052,2024-07-07,0.4487746080360599,0.5877673152749732,0.7306650677699259,0.924750948729012,1.0747113674017146,1.2054073576482094,1.3259496939292748,1.4410065864076338,1.5535020594333318,1.6655776134436515,1.779033552067186,2.0170595438357823,2.145597480628754,2.2839265770105763,2.435796762677994,2.6067801733593,2.805935305871559,3.049847412701584,3.374947480240172,3.894546594968783,4.382097500098816,4.992355260600967
2024-07-14,0,2.3658760803810224,train,2.355706912,2024-07-14,0.5956325844106276,0.7593578624185805,0.9245007361481384,1.1450797407783466,1.3132856409174638,1.4586283434507212,1.591805236859149,1.718241275474108,1.841293730801227,1.963385988952317,2.0865224227495425,2.34353679939966,2.4816721252939398,2.629874683468172,2.7920904025200044,2.974159596935179,3.1855507374773704,3.4435638724419007,3.78613080206378,4.330985628248191,4.839764651650995,5.473841127223411
