date,ILI+,Influenza_Reported_Cases,Prefecture,Year,Week,holiday_effect
2013-01-06,0.44,1127.0,Tokyo,2013,1,0
2013-01-13,0.86,5866.0,Tokyo,2013,2,0
2013-01-20,0.57,9989.0,Tokyo,2013,3,0
2013-01-27,0.98,17259.0,Tokyo,2013,4,0
2013-02-03,1.25,15006.0,Tokyo,2013,5,0
2013-02-10,0.79,8804.0,Tokyo,2013,6,0
2013-02-17,0.72,3811.0,Tokyo,2013,7,0
2013-02-24,0.59,2611.0,Tokyo,2013,8,0
2013-03-03,0.67,1907.0,Tokyo,2013,9,0
2013-03-10,0.34,1471.0,Tokyo,2013,10,0
2013-03-17,0.45,1061.0,Tokyo,2013,11,0
2013-03-24,0.39,870.0,Tokyo,2013,12,0
2013-03-31,0.46,423.0,Tokyo,2013,13,0
2013-04-07,0.26,337.0,Tokyo,2013,14,0
2013-04-14,0.28,233.0,Tokyo,2013,15,0
2013-04-21,0.36,391.0,Tokyo,2013,16,0
2013-04-28,0.32,427.0,Tokyo,2013,17,0
2013-05-05,0.19,309.0,Tokyo,2013,18,0
2013-05-12,0.22,263.0,Tokyo,2013,19,0
2013-05-19,0.17,308.0,Tokyo,2013,20,0
2013-05-26,0.37,200.0,Tokyo,2013,21,0
2013-06-02,0.23,148.0,Tokyo,2013,22,0
2013-06-09,0.22,75.0,Tokyo,2013,23,0
2013-06-16,0.14,35.0,Tokyo,2013,24,0
2013-06-23,0.24,28.0,Tokyo,2013,25,0
2013-06-30,0.31,43.0,Tokyo,2013,26,0
2013-07-07,0.33,13.0,Tokyo,2013,27,0
2013-07-14,0.39,8.0,Tokyo,2013,28,0
2013-07-21,0.53,11.0,Tokyo,2013,29,0
2013-07-28,0.55,2.0,Tokyo,2013,30,0
2013-08-04,0.93,9.0,Tokyo,2013,31,0
2013-08-11,1.33,5.0,Tokyo,2013,32,0
2013-08-18,0.89,2.0,Tokyo,2013,33,1
2013-08-25,0.78,3.0,Tokyo,2013,34,0
2013-09-01,1.46,1.0,Tokyo,2013,35,0
2013-09-08,2.12,2.0,Tokyo,2013,36,0
2013-09-15,3.02,4.0,Tokyo,2013,37,0
2013-09-22,2.63,1.0,Tokyo,2013,38,0
2013-09-29,2.45,1.0,Tokyo,2013,39,0
2013-10-06,2.63,4.0,Tokyo,2013,40,0
2013-10-13,3.22,14.0,Tokyo,2013,41,0
2013-10-20,2.71,7.0,Tokyo,2013,42,0
2013-10-27,2.74,39.0,Tokyo,2013,43,0
2013-11-03,2.91,35.0,Tokyo,2013,44,0
2013-11-10,2.36,53.0,Tokyo,2013,45,0
2013-11-17,2.45,52.0,Tokyo,2013,46,0
2013-11-24,2.13,123.0,Tokyo,2013,47,0
2013-12-01,2.45,173.0,Tokyo,2013,48,0
2013-12-08,2.18,282.0,Tokyo,2013,49,0
2013-12-15,2.14,303.0,Tokyo,2013,50,0
2013-12-22,1.78,451.0,Tokyo,2013,51,0
2013-12-29,1.48,618.0,Tokyo,2013,52,0
2014-01-05,0.28,282.0,Tokyo,2014,1,0
2014-01-12,1.23,2098.0,Tokyo,2014,2,0
2014-01-19,0.85,4637.0,Tokyo,2014,3,0
2014-01-26,0.85,12317.0,Tokyo,2014,4,0
2014-02-02,0.77,17091.0,Tokyo,2014,5,0
2014-02-09,0.81,14288.0,Tokyo,2014,6,0
2014-02-16,0.38,11727.0,Tokyo,2014,7,0
2014-02-23,0.39,11911.0,Tokyo,2014,8,0
2014-03-02,0.26,11973.0,Tokyo,2014,9,0
2014-03-09,0.34,9419.0,Tokyo,2014,10,0
2014-03-16,0.37,8563.0,Tokyo,2014,11,0
2014-03-23,0.33,6102.0,Tokyo,2014,12,0
2014-03-30,0.35,3880.0,Tokyo,2014,13,0
2014-04-06,0.26,2001.0,Tokyo,2014,14,0
2014-04-13,0.27,1264.0,Tokyo,2014,15,0
2014-04-20,0.23,1181.0,Tokyo,2014,16,0
2014-04-27,0.32,840.0,Tokyo,2014,17,0
2014-05-04,0.19,416.0,Tokyo,2014,18,0
2014-05-11,0.14,138.0,Tokyo,2014,19,0
2014-05-18,0.3,104.0,Tokyo,2014,20,0
2014-05-25,0.16,49.0,Tokyo,2014,21,0
2014-06-01,0.21,37.0,Tokyo,2014,22,0
2014-06-08,0.2,8.0,Tokyo,2014,23,0
2014-06-15,0.16,14.0,Tokyo,2014,24,0
2014-06-22,0.34,5.0,Tokyo,2014,25,0
2014-06-29,0.3,7.0,Tokyo,2014,26,0
2014-07-06,0.09,4.0,Tokyo,2014,27,0
2014-07-13,0.32,1.0,Tokyo,2014,28,0
2014-07-20,0.27,3.0,Tokyo,2014,29,0
2014-07-27,0.24,2.0,Tokyo,2014,30,0
2014-08-03,0.27,4.0,Tokyo,2014,31,0
2014-08-10,0.36,3.0,Tokyo,2014,32,0
2014-08-17,0.37,5.0,Tokyo,2014,33,1
2014-08-24,0.6,3.0,Tokyo,2014,34,0
2014-08-31,0.79,6.0,Tokyo,2014,35,0
2014-09-07,1.2,6.0,Tokyo,2014,36,0
2014-09-14,1.5,16.0,Tokyo,2014,37,0
2014-09-21,1.99,51.0,Tokyo,2014,38,0
2014-09-28,1.94,37.0,Tokyo,2014,39,0
2014-10-05,2.1,31.0,Tokyo,2014,40,0
2014-10-12,2.36,26.0,Tokyo,2014,41,0
2014-10-19,1.82,30.0,Tokyo,2014,42,0
2014-10-26,2.18,32.0,Tokyo,2014,43,0
2014-11-02,2.86,93.0,Tokyo,2014,44,0
2014-11-09,2.68,161.0,Tokyo,2014,45,0
2014-11-16,3.53,302.0,Tokyo,2014,46,0
2014-11-23,3.82,791.0,Tokyo,2014,47,0
2014-11-30,3.4,1496.0,Tokyo,2014,48,0
2014-12-07,4.15,2420.0,Tokyo,2014,49,0
2014-12-14,4.72,4192.0,Tokyo,2014,50,0
2014-12-21,4.28,8570.0,Tokyo,2014,51,0
2014-12-28,3.58,13554.0,Tokyo,2014,52,0
2015-01-04,0.78,3802.0,Tokyo,2015,1,0
2015-01-11,1.64,9806.0,Tokyo,2015,2,0
2015-01-18,1.18,8198.0,Tokyo,2015,3,0
2015-01-25,1.48,9605.0,Tokyo,2015,4,0
2015-02-01,0.97,7835.0,Tokyo,2015,5,0
2015-02-08,1.0,4743.0,Tokyo,2015,6,0
2015-02-15,0.63,3204.0,Tokyo,2015,7,0
2015-02-22,0.81,2213.0,Tokyo,2015,8,0
2015-03-01,0.64,1694.0,Tokyo,2015,9,0
2015-03-08,0.53,1175.0,Tokyo,2015,10,0
2015-03-15,0.49,1107.0,Tokyo,2015,11,0
2015-03-22,0.46,983.0,Tokyo,2015,12,0
2015-03-29,0.44,636.0,Tokyo,2015,13,0
2015-04-05,0.41,580.0,Tokyo,2015,14,0
2015-04-12,0.31,417.0,Tokyo,2015,15,0
2015-04-19,0.37,618.0,Tokyo,2015,16,0
