date,week_ahead,point,mode,true,date_origin,q_1,q_2,q_5,q_10,q_15,q_20,q_25,q_30,q_35,q_40,q_45,q_55,q_60,q_65,q_70,q_75,q_80,q_85,q_90,q_95,q_97,q_99
2023-10-01,0,-0.0009331902410736337,train_seed42,0.17,2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,5.643619442590991e-295,2.3798840204455943e-256,1.0802551476516808e-223,2.100298236686309e-195,1.882482476170996e-170,6.123670024345872e-128,1.661330800714235e-109,1.5051546386425614e-92,7.540960542639471e-77,3.1162564755442612e-62,1.4661597461541713e-48,1.0222709845801752e-35,1.3141086257145274e-23,3.739593216515482e-12,1.1905765467757711e-06,0.0020511462180325206
2023-10-08,0,0.03546871501707116,train_seed42,0.2,2023-10-08,9.069664496979696e-29,2.694641567091188e-23,3.720466789368656e-19,5.136814224140869e-15,1.3567349691139072e-12,7.092352081274962e-11,1.5261725696208911e-09,1.8732315406803617e-08,1.5606935806495932e-07,9.79236341363335e-07,4.9476240319925256e-06,7.817042143464325e-05,0.000258762588123174,0.0007787847451896421,0.002163707589424309,0.005625142610264547,0.013879377966996963,0.03311463025292685,0.07895864797366625,0.20518179720066232,0.3785367137886794,0.6564028716408978
2023-10-15,0,0.16293320170139136,train_seed42,0.11,2023-10-15,3.5857486049411526e-07,5.571521981489222e-06,4.438658637591615e-05,0.00035376023228112955,0.00119251426153026,0.0028287888704981415,0.005540282314944636,0.009622448737827827,0.01539986751155612,0.0232420111736955,0.03358550641578986,0.0640696489116625,0.08580537040927774,0.11343904272764699,0.14882059190371666,0.19482734659846573,0.2563133037787863,0.34246921204386055,0.474199304436777,0.7194000290037091,0.9817803438016297,1.3457096440198124
2023-10-22,0,0.12319509082629199,train_seed42,0.15,2023-10-22,3.984427611177164e-09,1.4998729030198215e-07,2.3335562472536785e-06,3.630818554813795e-05,0.0001808672324269714,0.0005653800763777488,0.0013697284664186205,0.002826108842940811,0.005223492970364041,0.008916250190970818,0.014339226180575622,0.032685172088424974,0.047200196507884276,0.06681791337165927,0.09332919390162621,0.12949488124510758,0.17994862916679719,0.25345010038211296,0.36995336252653177,0.5945632038222339,0.8411892138912007,1.1891652791286547
2023-10-29,0,0.13220001057550568,train_seed42,0.04,2023-10-29,1.3966079085024163e-08,4.1061403411563886e-07,5.299170672291505e-06,6.839471496574414e-05,0.00030545466450831494,0.0008838136504247364,0.002017145131679307,0.003965165263021808,0.007037506313122183,0.011602741558334895,0.018104543727878997,0.039245265051261434,0.05548275214849272,0.07704741225396272,0.10574383604838057,0.14435994385905032,0.19758161411081482,0.2742725327925477,0.39461881231934814,0.6244107129846372,0.8749759590830612,1.226909229012882
2023-11-05,0,0.010092544010476434,train_seed42,0.09,2023-11-05,6.0197339267824e-98,1.0310709672758924e-78,3.656195865820379e-64,1.2964935133960664e-49,4.2055535475987994e-41,4.5973889035644327e-35,2.2206576522871675e-30,1.4912967179011434e-26,2.566351679094344e-23,1.6302422273793707e-20,4.837454362624057e-18,7.886115771589086e-14,5.288164508370168e-12,2.532028268594989e-10,9.100328559130891e-09,2.554321425224359e-07,5.7809345255579344e-06,0.00010830504967100983,0.0017212756733454141,0.024566347123224145,0.09922148081364895,0.28116306838214966
2023-11-12,0,0.07005474282057755,train_seed42,0.06,2023-11-12,3.634193289291693e-15,2.1445794774700254e-12,2.6759185601413227e-10,3.338901931643146e-08,5.620331805531987e-07,4.16617596141145e-06,1.9703937214405283e-05,7.013689926745435e-05,0.0002052176527790092,0.0005203168021810817,0.0011829475546911627,0.004815198481476558,0.008889549032591882,0.015709466658480435,0.026837022415281013,0.044755083077282556,0.07367810651237973,0.1215942379050227,0.2067409425810413,0.3890791266982333,0.6041100396993471,0.9211226690176062
2023-11-19,0,0.016408358727120875,train_seed42,0.03,2023-11-19,9.82624437475869e-61,6.649133158577195e-49,5.916980092447896e-40,5.265446273889392e-31,9.046083925702308e-26,4.685654511260269e-22,3.5629740192864143e-19,8.049996477202004e-17,7.871545091117133e-15,4.1697051032094427e-13,1.38299661507276e-11,5.391540181922432e-09,7.163591779113e-08,7.737056059508997e-07,7.0048859442804605e-06,5.447783571699071e-05,0.0003713287589847192,0.0022600048890985677,0.012615427852703687,0.07021299508404445,0.18613434204636753,0.4103149374085027
2023-11-26,0,-0.01761462194386243,train_seed42,0.1,2023-11-26,0.0,0.0,0.0,0.0,0.0,0.0,5.643619442590991e-295,2.3798840204455943e-256,1.0802551476516808e-223,2.100298236686309e-195,1.882482476170996e-170,6.123670024345872e-128,1.661330800714235e-109,1.5051546386425614e-92,7.540960542639471e-77,3.1162564755442612e-62,1.4661597461541713e-48,1.0222709845801752e-35,1.3141086257145274e-23,3.739593216515482e-12,1.1905765467757711e-06,0.0020511462180325206
2023-12-03,0,0.07806000164830307,train_seed42,0.05,2023-12-03,9.856524417352494e-14,3.0233702200061295e-11,2.299632025380408e-09,1.7491437205145773e-07,2.2041401492742088e-06,1.3304621701691933e-05,5.3657920604668626e-05,0.00016769978638326254,0.0004396400776002686,0.0010137543187058943,0.002120476902192815,0.007501260320455215,0.013045935327000758,0.02184375429641575,0.03553549707976595,0.0566834109604104,0.08959696653451446,0.14241412381237056,0.23368925627956003,0.4243328130425844,0.6455113312414479,0.9684439962112317
2023-12-10,0,0.05843962536095093,train_seed42,0.08,2023-12-10,6.094141620482221e-18,1.2781484385725702e-14,4.1622360146149946e-12,1.3554144543020255e-09,3.998839573234266e-08,4.413853043893379e-07,2.8427790797601635e-06,1.3022358750736236e-05,4.7155481087381885e-05,0.00014377275846948998,0.000384454669200408,0.0020588473416614374,0.004273638970679223,0.008398597165102141,0.015799725445081104,0.02876165118090157,0.051284638866041635,0.09107008398423022,0.16581311216230665,0.33390108368476995,0.5384145537970171,0.8454030977170028
2023-12-17,0,0.09673197650221743,train_seed42,0.08,2023-12-17,2.6176995225709366e-11,2.658714433799201e-09,8.76437525745935e-08,2.889164310842331e-06,2.232484529714038e-05,9.525541454212527e-05,0.00029358836033432207,0.0007368265459147041,0.0016054949718125953,0.003156437071166275,0.005741889422822912,0.016073395594206865,0.02531562728187761,0.03875945867657011,0.05813974656977943,0.08612586687480331,0.1271831891923459,0.18973511173435834,0.29297518467677325,0.4997399032954969,0.7329233805456621,1.0675590293950983
2023-12-24,0,0.08933355736176662,train_seed42,0.06,2023-12-24,3.784891055627222e-12,5.636380365894487e-10,2.4818252168293487e-08,1.0928055031589433e-06,1.0002161539020638e-05,4.812258403549865e-05,0.00016278363599430914,0.00044074454935045626,0.0010237290991925144,0.0021265395842207705,0.004059136158926999,0.012315548184624638,0.02006898617023253,0.031685472725822235,0.04887244188885754,0.07426483172727837,0.11227287616647778,0.17121404577877894,0.27004181326378385,0.4708700835011155,0.6996196289181859,1.029910216309822
2023-12-31,0,0.061858169053199186,train_seed42,0.04,2023-12-31,5.1257144890743544e-17,7.044557494395118e-14,1.666227133932146e-11,3.941074913066318e-09,9.643747425293439e-08,9.321716787027758e-07,5.416493789612713e-06,2.281099136796467e-05,7.693424844105307e-05,0.00022057127705702042,0.0005587225800859027,0.002729945889984842,0.005448514912508389,0.010332839924255557,0.018819612653067752,0.0332660620706448,0.057749328390939894,0.10006787092300148,0.1780902639892064,0.3506963399623813,0.5585423484283804,0.8686937277979405
