date,week_ahead,point,mode,true,date_origin,q_1,q_2,q_5,q_10,q_15,q_20,q_25,q_30,q_35,q_40,q_45,q_55,q_60,q_65,q_70,q_75,q_80,q_85,q_90,q_95,q_97,q_99
2023-10-01,0,0.5323141178183257,train_seed42,0.17,2023-10-01,0.007538249034061,0.0176267237580802,0.0337900041580357,0.0657521426871549,0.0983231102083524,0.1320904948611877,0.1674523573051481,0.2047744173112088,0.2444459542266384,0.2869155946784639,0.3327266042874107,0.4373066038174329,0.4981512850791876,0.5667537075387495,0.6455325139110573,0.7382260311818585,0.8510810587209958,0.9957795950660278,1.1984771103352228,1.542328075525492,1.8835000286522103,2.331155926546766
2023-10-08,0,0.5159392339987994,train_seed42,0.2,2023-10-08,0.0064971035973045,0.0155898197629173,0.0304635375294015,0.0603995022994375,0.0912929789098459,0.1235716654980027,0.1575636428689623,0.1935951389491675,0.2320295377909949,0.2732964578384811,0.3179237602075306,0.4201387603329111,0.4797742672847825,0.5471279396362839,0.6245966270740058,0.715888088310761,0.827201837665106,0.970137221251748,1.1706769062964244,1.5114717113011968,1.8501421131505733,2.295070578515383
2023-10-15,0,0.4422121472705766,train_seed42,0.11,2023-10-15,0.002936778037485,0.0081139005104895,0.0176062743329721,0.0386705589133209,0.061974494183018,0.0873930323177978,0.1149964255053236,0.1449586122928788,0.1775392682093935,0.21308927079434,0.2520706633735888,0.3429654347686393,0.3967998861447961,0.4581574632044909,0.5293326569319622,0.6138888195322856,0.717801393921757,0.8522775565931772,1.0424800288274227,1.3686721995103264,1.6954291845503215,2.1274132418101237
2023-10-22,0,0.3413875596014026,train_seed42,0.15,2023-10-22,0.0005930702374111,0.002200658558059,0.0059516297566243,0.0162211879152726,0.0294089332099066,0.0451926719935217,0.0635082763175476,0.0844285109648641,0.1081300866374403,0.1348904295226409,0.165101658742243,0.2382222020597326,0.2828831050201264,0.3347316262413981,0.3959098446855988,0.469762068959621,0.561920378290778,0.68298822035522,0.8568649459290858,1.1601430464797886,1.46835867800717,1.880369515715384
2023-10-29,0,0.2797312750730349,train_seed42,0.04,2023-10-29,0.0001302409013257,0.0006441353835185,0.0021615978850641,0.007287737642141,0.0149255927656316,0.0249681934275714,0.0374346648482221,0.0524308018699751,0.070141524511141,0.0908375588346364,0.1148934125764399,0.1753094715364743,0.2133312894979919,0.2582612745189483,0.3121411490301734,0.3781660160093942,0.4617296076474895,0.573012411044316,0.735026094969775,1.0217883818124842,1.3167805859499018,1.7147047344577222
2023-11-05,0,0.1710923398977724,train_seed42,0.09,2023-11-05,6.992623740437306e-07,9.532808344636391e-06,6.879113172078878e-05,0.0004966899540278,0.001580709638121,0.0036007085834705,0.0068359910016476,0.011578273002169,0.0181458372708761,0.0269011150186986,0.0382742210110335,0.0711494302317057,0.0942448131874285,0.1233533782083735,0.1603375309431972,0.2080979982162551,0.2715312415899753,0.3599087334005503,0.4943096160401544,0.743140698564112,1.0083271244435048,1.3751326348130577
2023-11-12,0,0.0847422006191036,train_seed42,0.06,2023-11-12,9.626642010479208e-13,1.8799773576626676e-10,1.0162100498598269e-08,5.493065170217404e-07,5.668389503114752e-06,2.969392389996729e-05,0.0001072934104034,0.0003065613826626,0.0007451033254813,0.0016094931814755,0.0031792308015183,0.0102156672912883,0.017056677976915,0.0275267581885357,0.043310768057665,0.0670178621238235,0.1030203970390089,0.1595659470930316,0.2554509145051603,0.4523154969023276,0.6781135850289614,1.005526720119013
2023-11-19,0,-0.010175235574773,train_seed42,0.03,2023-11-19,0.0,0.0,0.0,0.0,0.0,0.0,5.643619442590991e-295,2.3798840204455943e-256,1.0802551476516808e-223,2.100298236686309e-195,1.882482476170996e-170,6.123670024345872e-128,1.661330800714235e-109,1.5051546386425614e-92,7.540960542639471e-77,3.116256475544261e-62,1.4661597461541713e-48,1.0222709845801752e-35,1.3141086257145275e-23,3.739593216515482e-12,1.1905765467757711e-06,0.0020511462180325
2023-11-26,0,-0.0980939353686869,train_seed42,0.1,2023-11-26,0.0,0.0,0.0,0.0,0.0,0.0,5.643619442590991e-295,2.3798840204455943e-256,1.0802551476516808e-223,2.100298236686309e-195,1.882482476170996e-170,6.123670024345872e-128,1.661330800714235e-109,1.5051546386425614e-92,7.540960542639471e-77,3.116256475544261e-62,1.4661597461541713e-48,1.0222709845801752e-35,1.3141086257145275e-23,3.739593216515482e-12,1.1905765467757711e-06,0.0020511462180325
2023-12-03,0,-0.1043356861793689,train_seed42,0.05,2023-12-03,0.0,0.0,0.0,0.0,0.0,0.0,5.643619442590991e-295,2.3798840204455943e-256,1.0802551476516808e-223,2.100298236686309e-195,1.882482476170996e-170,6.123670024345872e-128,1.661330800714235e-109,1.5051546386425614e-92,7.540960542639471e-77,3.116256475544261e-62,1.4661597461541713e-48,1.0222709845801752e-35,1.3141086257145275e-23,3.739593216515482e-12,1.1905765467757711e-06,0.0020511462180325
2023-12-10,0,-0.1133541271321234,train_seed42,0.08,2023-12-10,0.0,0.0,0.0,0.0,0.0,0.0,5.643619442590991e-295,2.3798840204455943e-256,1.0802551476516808e-223,2.100298236686309e-195,1.882482476170996e-170,6.123670024345872e-128,1.661330800714235e-109,1.5051546386425614e-92,7.540960542639471e-77,3.116256475544261e-62,1.4661597461541713e-48,1.0222709845801752e-35,1.3141086257145275e-23,3.739593216515482e-12,1.1905765467757711e-06,0.0020511462180325
2023-12-17,0,-0.1131474747078571,train_seed42,0.08,2023-12-17,0.0,0.0,0.0,0.0,0.0,0.0,5.643619442590991e-295,2.3798840204455943e-256,1.0802551476516808e-223,2.100298236686309e-195,1.882482476170996e-170,6.123670024345872e-128,1.661330800714235e-109,1.5051546386425614e-92,7.540960542639471e-77,3.116256475544261e-62,1.4661597461541713e-48,1.0222709845801752e-35,1.3141086257145275e-23,3.739593216515482e-12,1.1905765467757711e-06,0.0020511462180325
2023-12-24,0,-0.0399802061680281,train_seed42,0.06,2023-12-24,0.0,0.0,0.0,0.0,0.0,0.0,5.643619442590991e-295,2.3798840204455943e-256,1.0802551476516808e-223,2.100298236686309e-195,1.882482476170996e-170,6.123670024345872e-128,1.661330800714235e-109,1.5051546386425614e-92,7.540960542639471e-77,3.116256475544261e-62,1.4661597461541713e-48,1.0222709845801752e-35,1.3141086257145275e-23,3.739593216515482e-12,1.1905765467757711e-06,0.0020511462180325
2023-12-31,0,-0.0744561471576308,train_seed42,0.04,2023-12-31,0.0,0.0,0.0,0.0,0.0,0.0,5.643619442590991e-295,2.3798840204455943e-256,1.0802551476516808e-223,2.100298236686309e-195,1.882482476170996e-170,6.123670024345872e-128,1.661330800714235e-109,1.5051546386425614e-92,7.540960542639471e-77,3.116256475544261e-62,1.4661597461541713e-48,1.0222709845801752e-35,1.3141086257145275e-23,3.739593216515482e-12,1.1905765467757711e-06,0.0020511462180325
2024-01-07,0,-0.057793685501601,train_seed42,0.03,2024-01-07,0.0,0.0,0.0,0.0,0.0,0.0,5.643619442590991e-295,2.3798840204455943e-256,1.0802551476516808e-223,2.100298236686309e-195,1.882482476170996e-170,6.123670024345872e-128,1.661330800714235e-109,1.5051546386425614e-92,7.540960542639471e-77,3.116256475544261e-62,1.4661597461541713e-48,1.0222709845801752e-35,1.3141086257145275e-23,3.739593216515482e-12,1.1905765467757711e-06,0.0020511462180325
2024-01-14,0,-0.0569356945037795,train_seed42,0.19,2024-01-14,0.0,0.0,0.0,0.0,0.0,0.0,5.643619442590991e-295,2.3798840204455943e-256,1.0802551476516808e-223,2.100298236686309e-195,1.882482476170996e-170,6.123670024345872e-128,1.661330800714235e-109,1.5051546386425614e-92,7.540960542639471e-77,3.116256475544261e-62,1.4661597461541713e-48,1.0222709845801752e-35,1.3141086257145275e-23,3.739593216515482e-12,1.1905765467757711e-06,0.0020511462180325
2024-01-21,0,0.0460177763915536,train_seed42,0.06,2024-01-21,1.8631580862794524e-22,3.0800377171554013e-18,4.781691870911164e-15,7.423473102715957e-12,5.460563057993878e-10,1.1524781515900025e-08,1.227194973145409e-07,8.477419304658185e-07,4.344365869505553e-06,1.7892569903412037e-05,6.236540268754928e-05,0.0005237692780344,0.0013193363616391,0.003092275453409,0.0068306052460904,0.0143927014675095,0.0293158306655764,0.0587656770523847,0.1196219768738574,0.2681729017665937,0.4582485370941954,0.7516577124914026
2024-01-28,0,0.0076114031607261,train_seed42,0.11,2024-01-28,1.848363443607947e-129,5.891722621553139e-104,1.155742736246014e-84,2.267148944688953e-65,4.374602920220109e-54,4.447325668772475e-46,7.22661593965589e-40,8.581387607266857e-35,1.6752890330862e-30,8.724043319013666e-27,1.6558313636267006e-23,6.3731909872145275e-18,1.683357658035131e-15,2.8446860568198506e-13,3.2863107372820817e-11,2.7353470954354896e-09,1.7113421336983174e-07,8.331653951918672e-06,0.0003250262623735,0.0106099700181241,0.0619295714345701,0.2159785701443475
2024-02-04,0,0.0569097112707515,train_seed42,0.16,2024-02-04,2.163255388620508e-18,5.572801436392927e-15,2.1201645494425783e-12,8.066136528646702e-10,2.6064055345026303e-08,3.0687521295952104e-07,2.0779399392818085e-06,9.916212637546446e-06,3.717112601511914e-05,0.0001167750759984,0.0003206037181305,0.0017953521890459,0.0037987548996899,0.0075963203618455,0.0145182107390664,0.0268115358577815,0.0484369687707467,0.0870475913506352,0.160255861989321,0.3262191574931191,0.5291654642630337,0.834670667298559
2024-02-11,0,0.096279016183598,train_seed42,0.2,2024-02-11,2.345257774009684e-11,2.4343531139216757e-09,8.15783188560437e-08,2.733806864626847e-06,2.132854282589157e-05,9.162725071471863e-05,0.0002839021207306,0.0007155918090108,0.0015648890840662,0.0030862186266447,0.005629482785156,0.0158307058401666,0.0249814651553672,0.0383143792132869,0.057562871794844,0.0853944002823738,0.1262711188702277,0.188610139029993,0.2915907278131777,0.4980064619063214,0.7309288047113764,1.0653078026990066
2024-02-18,0,0.1229599833318872,train_seed42,0.27,2024-02-18,3.846669904569565e-09,1.45809645421076e-07,2.2804951012065277e-06,3.566926177852365e-05,0.0001782301979332,0.0005583478047284,0.0013549624693802,0.0027994529608349,0.0051801350855694,0.0088508912380037,0.0142462332298948,0.0325192272434022,0.0469886608227631,0.0665544694487649,0.0930071522343776,0.1291068333039298,0.1794857796096407,0.2529008790516371,0.3692999843158722,0.5937694847106743,0.8402890456215188,1.1881584759079675
