date,week_ahead,point,mode,true,date_origin,q_1,q_2,q_5,q_10,q_15,q_20,q_25,q_30,q_35,q_40,q_45,q_55,q_60,q_65,q_70,q_75,q_80,q_85,q_90,q_95,q_97,q_99
2023-10-01,0,0.6218579855542494,train_seed42,0.17,2023-10-01,0.0149629592693194,0.0311457653113262,0.0547743020869547,0.0979696977240379,0.139577524750283,0.1812394408736609,0.2237925364091985,0.2678419030079653,0.3139294283437375,0.3626129975062451,0.4145224075512041,0.5312517288217434,0.5982967414472393,0.6732982160573417,0.7587885993232897,0.858665124189004,0.979419813119498,1.1331629225189113,1.3469454095030773,1.706534428913288,2.060628003881644,2.5224179161878117
2023-10-08,0,0.4816020367022466,train_seed42,0.2,2023-10-08,0.0046163819043173,0.0117632985516625,0.0240352201262977,0.0497776845456009,0.0771391070193901,0.1062531523705734,0.1373149536347846,0.1705739645638805,0.2063422631459928,0.2450111657584895,0.2870770087518573,0.3841650604675738,0.4411762133683226,0.5058184623075609,0.5804418757483935,0.6686884016869344,0.7766555948908764,0.9157644677939972,1.111624845177247,1.4458014500984442,1.7790641165549177,2.218107343687448
2023-10-15,0,0.3891140782520537,train_seed42,0.11,2023-10-15,0.0013948273301481,0.0044143868106938,0.0105993108164518,0.0257051291891556,0.0435947670153318,0.0639500287527197,0.0867321736258,0.1120419375561939,0.1400838219586882,0.171163044624725,0.2057005188809184,0.2876250547641672,0.3368423487863306,0.3934192435067684,0.4595718407715206,0.5387516284048214,0.6367593852594822,0.764495748865361,0.9464822731871184,1.261118233207675,1.5784986379918535,2.0003529891419443
2023-10-22,0,0.3445571718821931,train_seed42,0.15,2023-10-22,0.0006321368303421,0.0023177363167128,0.0062123651420436,0.0167834370864719,0.0302754784949233,0.0463615137402377,0.0649767104841992,0.0861943620147764,0.1101922202704093,0.1372490473351051,0.1677585463712399,0.2414888428648129,0.2864662902056672,0.3386437309418164,0.4001682647896017,0.4743915313518395,0.5669572027376589,0.6884891951651781,0.8629297415220359,1.166995792986695,1.4758454694317014,1.8885353237158609
2023-10-29,0,0.1335641385655734,train_seed42,0.04,2023-10-29,1.664333779588299e-08,4.727189343917097e-07,5.94337181676069e-06,7.473203038571905e-05,0.0003287049210647,0.0009408801105076,0.0021295861639618,0.004158033245179,0.0073382429567317,0.0120402376939192,0.0187084269395598,0.0402718111626846,0.0567660226521513,0.0786186614563121,0.1076363357845025,0.1466110077975269,0.2002363292418038,0.2773913804646387,0.398296457255196,0.6288425667992115,0.8799825526317336,1.232494982185412
2023-11-05,0,-0.0293296348624851,train_seed42,0.09,2023-11-05,0.0,0.0,0.0,0.0,0.0,0.0,5.643619442590991e-295,2.3798840204455943e-256,1.0802551476516808e-223,2.100298236686309e-195,1.882482476170996e-170,6.123670024345872e-128,1.661330800714235e-109,1.5051546386425614e-92,7.540960542639471e-77,3.116256475544261e-62,1.4661597461541713e-48,1.0222709845801752e-35,1.3141086257145275e-23,3.739593216515482e-12,1.1905765467757711e-06,0.0020511462180325
2023-11-12,0,-0.0715196242811644,train_seed42,0.06,2023-11-12,0.0,0.0,0.0,0.0,0.0,0.0,5.643619442590991e-295,2.3798840204455943e-256,1.0802551476516808e-223,2.100298236686309e-195,1.882482476170996e-170,6.123670024345872e-128,1.661330800714235e-109,1.5051546386425614e-92,7.540960542639471e-77,3.116256475544261e-62,1.4661597461541713e-48,1.0222709845801752e-35,1.3141086257145275e-23,3.739593216515482e-12,1.1905765467757711e-06,0.0020511462180325
2023-11-19,0,-0.0186057059825077,train_seed42,0.03,2023-11-19,0.0,0.0,0.0,0.0,0.0,0.0,5.643619442590991e-295,2.3798840204455943e-256,1.0802551476516808e-223,2.100298236686309e-195,1.882482476170996e-170,6.123670024345872e-128,1.661330800714235e-109,1.5051546386425614e-92,7.540960542639471e-77,3.116256475544261e-62,1.4661597461541713e-48,1.0222709845801752e-35,1.3141086257145275e-23,3.739593216515482e-12,1.1905765467757711e-06,0.0020511462180325
2023-11-26,0,0.0024484224026972,train_seed42,0.1,2023-11-26,0.0,0.0,1.7107745153284714e-260,1.6147210069313054e-200,1.955094449309961e-165,1.524060539167336e-140,3.0946321785870643e-121,1.8453233021357283e-105,4.0182480879105095e-92,1.4384903132345555e-80,2.2343063165099696e-70,5.155543983414739e-53,1.741715389047808e-45,1.4679535094537866e-38,3.7926386794257775e-32,3.536584243452995e-26,1.3577245313367142e-20,2.389941307982948e-15,2.1088584815864118e-10,1.0051931556176405e-05,0.0017838306001445,0.040332217952224
2023-12-03,0,-0.0131455614600917,train_seed42,0.05,2023-12-03,0.0,0.0,0.0,0.0,0.0,0.0,5.643619442590991e-295,2.3798840204455943e-256,1.0802551476516808e-223,2.100298236686309e-195,1.882482476170996e-170,6.123670024345872e-128,1.661330800714235e-109,1.5051546386425614e-92,7.540960542639471e-77,3.116256475544261e-62,1.4661597461541713e-48,1.0222709845801752e-35,1.3141086257145275e-23,3.739593216515482e-12,1.1905765467757711e-06,0.0020511462180325
