Region,RSV_PC,Week,Year
Total No.,0.82,1,2015
Hokkaido,1.39,1,2015
Aomori,0.64,1,2015
Iwate,0.93,1,2015
Miyagi,0.52,1,2015
Akita,0.8,1,2015
Yamagata,0.83,1,2015
Fukushima,2.76,1,2015
Ibaraki,1.27,1,2015
Tochigi,0.88,1,2015
Gunma,1.15,1,2015
Saitama,0.97,1,2015
Chiba,0.25,1,2015
Tokyo,0.37,1,2015
Kanagawa,0.22,1,2015
Niigata,0.89,1,2015
Toyama,0.83,1,2015
Ishikawa,0.62,1,2015
Fukui,0.5,1,2015
Yamanashi,0.42,1,2015
Nagano,1.26,1,2015
Gifu,0.63,1,2015
Shizuoka,1.04,1,2015
Aichi,0.6,1,2015
Mie,1.09,1,2015
Shiga,1.09,1,2015
Kyoto,0.33,1,2015
Osaka,1.06,1,2015
Hyogo,0.91,1,2015
Nara,0.68,1,2015
Wakayama,1.06,1,2015
Tottori,0.89,1,2015
Shimane,1.0,1,2015
Okayama,0.3,1,2015
Hiroshima,0.58,1,2015
Yamaguchi,1.42,1,2015
Tokushima,4.09,1,2015
Kagawa,1.97,1,2015
Ehime,1.16,1,2015
Kochi,0.97,1,2015
Fukuoka,0.53,1,2015
Saga,0.57,1,2015
Nagasaki,0.61,1,2015
Kumamoto,0.98,1,2015
Oita,0.92,1,2015
Miyazaki,0.47,1,2015
Kagoshima,0.45,1,2015
Okinawa,0.09,1,2015
Total No.,1.93,2,2015
Hokkaido,3.41,2,2015
Aomori,1.17,2,2015
Iwate,1.35,2,2015
Miyagi,2.02,2,2015
Akita,1.49,2,2015
Yamagata,1.15,2,2015
Fukushima,4.84,2,2015
Ibaraki,2.51,2,2015
Tochigi,2.15,2,2015
Gunma,2.11,2,2015
Saitama,1.93,2,2015
Chiba,0.73,2,2015
Tokyo,1.03,2,2015
Kanagawa,0.96,2,2015
Niigata,2.26,2,2015
Toyama,1.9,2,2015
Ishikawa,1.21,2,2015
Fukui,1.41,2,2015
Yamanashi,1.25,2,2015
Nagano,3.08,2,2015
Gifu,1.58,2,2015
Shizuoka,2.03,2,2015
Aichi,1.59,2,2015
Mie,2.29,2,2015
Shiga,2.44,2,2015
Kyoto,0.97,2,2015
Osaka,2.93,2,2015
Hyogo,2.56,2,2015
Nara,1.88,2,2015
Wakayama,2.52,2,2015
Tottori,1.32,2,2015
Shimane,1.7,2,2015
Okayama,1.13,2,2015
Hiroshima,1.51,2,2015
Yamaguchi,2.9,2,2015
Tokushima,7.48,2,2015
Kagawa,3.59,2,2015
Ehime,2.65,2,2015
Kochi,2.53,2,2015
Fukuoka,1.61,2,2015
Saga,1.87,2,2015
Nagasaki,1.25,2,2015
Kumamoto,2.08,2,2015
Oita,2.19,2,2015
Miyazaki,1.47,2,2015
Kagoshima,1.18,2,2015
Okinawa,0.09,2,2015
Total No.,2.62,3,2015
Hokkaido,4.39,3,2015
Aomori,1.71,3,2015
Iwate,1.68,3,2015
Miyagi,2.69,3,2015
Akita,1.63,3,2015
Yamagata,1.54,3,2015
Fukushima,6.16,3,2015
Ibaraki,3.03,3,2015
Tochigi,2.81,3,2015
Gunma,2.93,3,2015
Saitama,2.47,3,2015
Chiba,0.98,3,2015
Tokyo,1.48,3,2015
Kanagawa,1.33,3,2015
Niigata,2.98,3,2015
Toyama,2.48,3,2015
Ishikawa,1.45,3,2015
Fukui,1.82,3,2015
Yamanashi,1.71,3,2015
Nagano,3.94,3,2015
Gifu,2.25,3,2015
Shizuoka,2.63,3,2015
Aichi,2.09,3,2015
Mie,3.11,3,2015
Shiga,3.16,3,2015
Kyoto,1.32,3,2015
Osaka,4.06,3,2015
Hyogo,3.77,3,2015
Nara,3.03,3,2015
Wakayama,5.0,3,2015
Tottori,1.68,3,2015
Shimane,2.0,3,2015
Okayama,1.52,3,2015
Hiroshima,2.06,3,2015
Yamaguchi,3.83,3,2015
Tokushima,9.3,3,2015
Kagawa,4.24,3,2015
Ehime,3.59,3,2015
Kochi,3.47,3,2015
Fukuoka,2.29,3,2015
Saga,3.57,3,2015
Nagasaki,1.75,3,2015
Kumamoto,3.22,3,2015
Oita,2.89,3,2015
Miyazaki,2.89,3,2015
Kagoshima,1.8,3,2015
Okinawa,0.24,3,2015
Total No.,3.35,4,2015
Hokkaido,5.29,4,2015
Aomori,2.07,4,2015
Iwate,2.35,4,2015
Miyagi,3.21,4,2015
Akita,1.89,4,2015
Yamagata,2.04,4,2015
Fukushima,7.87,4,2015
Ibaraki,3.47,4,2015
Tochigi,3.25,4,2015
Gunma,3.75,4,2015
Saitama,2.98,4,2015
Chiba,1.27,4,2015
Tokyo,2.05,4,2015
Kanagawa,1.83,4,2015
Niigata,3.67,4,2015
Toyama,2.9,4,2015
Ishikawa,1.86,4,2015
Fukui,2.86,4,2015
Yamanashi,2.38,4,2015
Nagano,4.53,4,2015
Gifu,2.83,4,2015
Shizuoka,3.16,4,2015
Aichi,2.51,4,2015
Mie,3.87,4,2015
Shiga,4.13,4,2015
Kyoto,1.82,4,2015
Osaka,5.1,4,2015
Hyogo,4.82,4,2015
Nara,4.44,4,2015
Wakayama,7.16,4,2015
Tottori,1.79,4,2015
Shimane,3.04,4,2015
Okayama,2.0,4,2015
Hiroshima,2.62,4,2015
Yamaguchi,4.92,4,2015
Tokushima,10.7,4,2015
Kagawa,5.07,4,2015
Ehime,5.05,4,2015
Kochi,4.7,4,2015
Fukuoka,3.37,4,2015
Saga,5.13,4,2015
Nagasaki,2.55,4,2015
Kumamoto,4.42,4,2015
Oita,4.25,4,2015
Miyazaki,4.44,4,2015
Kagoshima,2.42,4,2015
Okinawa,0.65,4,2015
Total No.,4.06,5,2015
Hokkaido,6.15,5,2015
Aomori,2.5,5,2015
Iwate,2.93,5,2015
Miyagi,3.72,5,2015
Akita,2.2,5,2015
Yamagata,2.43,5,2015
Fukushima,8.84,5,2015
