"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4th week, 2015",,,,,,"Data collected as of January 28, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,644045,132.06,10411,3.35,3544,1.14,21136,6.81,85141,27.42,8710,2.81,2950,0.95,4460,1.44,4449,1.43,82,0.03,226,0.07,3301,1.06,37,0.05,1250,1.84,31,0.07,42,0.09,433,0.92,14,0.03,207,0.44
Hokkaido,17103,75.34,756,5.29,460,3.22,1004,7.02,1230,8.6,400,2.8,176,1.23,182,1.27,164,1.15,1,0.01,10,0.07,207,1.45,3,0.11,49,1.81,-,-,-,-,10,0.45,-,-,1,0.05
Aomori,7403,113.89,87,2.07,34,0.81,112,2.67,867,20.64,68,1.62,10,0.24,82,1.95,49,1.17,-,-,3,0.07,3,0.07,-,-,31,2.82,-,-,-,-,13,2.17,-,-,14,2.33
Iwate,7452,114.65,94,2.35,29,0.73,305,7.63,1073,26.83,134,3.35,4,0.1,86,2.15,48,1.2,-,-,4,0.1,19,0.48,-,-,34,2.43,-,-,-,-,18,0.95,-,-,22,1.16
Miyagi,10209,109.77,186,3.21,40,0.69,391,6.74,2097,36.16,178,3.07,42,0.72,279,4.81,95,1.64,-,-,3,0.05,25,0.43,-,-,4,0.33,-,-,2,0.17,32,2.67,-,-,6,0.5
Akita,6359,117.76,66,1.89,34,0.97,119,3.4,834,23.83,88,2.51,3,0.09,3,0.09,24,0.69,1,0.03,-,-,49,1.4,2,0.29,6,0.86,-,-,-,-,18,2.25,-,-,1,0.13
Yamagata,4363,94.85,57,2.04,58,2.07,371,13.25,995,35.54,116,4.14,140,5,31,1.11,49,1.75,2,0.07,-,-,63,2.25,-,-,1,0.14,-,-,2,0.2,8,0.8,-,-,-,-
Fukushima,10061,132.38,354,7.87,56,1.24,297,6.6,1348,29.96,137,3.04,38,0.84,85,1.89,72,1.6,1,0.02,-,-,115,2.56,-,-,41,3.42,-,-,1,0.14,12,1.71,-,-,6,0.86
Ibaraki,14268,118.9,260,3.47,63,0.84,462,6.16,2669,35.59,246,3.28,40,0.53,63,0.84,64,0.85,-,-,3,0.04,47,0.63,-,-,54,3.18,-,-,-,-,8,0.62,-,-,-,-
