"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15th week, 2015",,,,,,"Data collected as of April 15, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1105528,224.43,25070,7.98,13958,4.44,114588,36.47,335272,106.71,25776,8.2,17001,5.41,17732,5.64,20145,6.41,463,0.15,1193,0.38,14053,4.47,129,0.19,4379,6.38,114,0.24,199,0.42,1569,3.3,94,0.2,2154,4.53
Hokkaido,39565,174.3,1582,11.06,1263,8.83,7148,49.99,6786,47.45,1161,8.12,730,5.1,804,5.62,618,4.32,11,0.08,31,0.22,840,5.87,4,0.15,143,5.3,-,-,3,0.14,35,1.59,1,0.05,117,5.32
Aomori,14453,222.35,251,5.98,125,2.98,902,21.48,2634,62.71,258,6.14,67,1.6,330,7.86,227,5.4,-,-,6,0.14,37,0.88,-,-,82,7.45,2,0.33,4,0.67,32,5.33,-,-,70,11.67
Iwate,14399,221.52,234,5.85,133,3.33,1696,42.4,4313,107.83,394,9.85,13,0.33,237,5.93,227,5.68,3,0.08,8,0.2,52,1.3,-,-,74,5.29,1,0.05,3,0.16,68,3.58,2,0.11,111,5.84
Miyagi,18902,203.25,308,5.31,214,3.69,2132,36.76,8219,141.71,602,10.38,174,3,752,12.97,435,7.5,-,-,13,0.22,108,1.86,1,0.08,40,3.33,1,0.08,3,0.25,109,9.08,-,-,56,4.67
Akita,12422,230.04,105,3,121,3.46,591,16.89,2408,68.8,222,6.34,27,0.77,36,1.03,94,2.69,1,0.03,3,0.09,200,5.71,7,1,30,4.29,-,-,-,-,58,7.25,-,-,6,0.75
Yamagata,8952,190.47,107,3.69,307,10.59,2133,73.55,4134,142.55,350,12.07,522,18,141,4.86,235,8.1,2,0.07,7,0.24,269,9.28,-,-,15,2.14,1,0.1,6,0.6,14,1.4,6,0.6,14,1.4
Fukushima,17793,234.12,597,13.27,201,4.47,1481,32.91,4811,106.91,364,8.09,274,6.09,282,6.27,306,6.8,8,0.18,6,0.13,367,8.16,-,-,110,9.17,-,-,4,0.57,62,8.86,1,0.14,76,10.86
Ibaraki,21927,182.73,387,5.16,283,3.77,2745,36.6,8184,109.12,523,6.97,198,2.64,285,3.8,306,4.08,2,0.03,22,0.29,209,2.79,-,-,189,11.12,-,-,-,-,15,1.15,-,-,32,2.46
Tochigi,13607,179.04,269,5.6,105,2.19,1106,23.04,3116,64.92,293,6.1,149,3.1,251,5.23,352,7.33,12,0.25,2,0.04,88,1.83,3,0.25,67,5.58,1,0.14,2,0.29,25,3.57,1,0.14,39,5.57
Gunma,18892,196.79,417,7.07,237,4.02,2554,43.29,5935,100.59,291,4.93,333,5.64,228,3.86,383,6.49,13,0.22,33,0.56,233,3.95,1,0.08,244,18.77,4,0.5,4,0.5,37,4.63,-,-,112,14
Saitama,40190,166.07,867,5.67,641,4.19,6259,40.91,18913,123.61,1439,9.41,281,1.84,1656,10.82,1151,7.52,15,0.1,33,0.22,980,6.41,11,0.28,231,5.78,1,0.1,11,1.1,53,5.3,6,0.6,74,7.4
Chiba,46504,220.4,464,3.52,653,4.95,5304,40.18,13218,100.14,972,7.36,151,1.14,1230,9.32,741,5.61,12,0.09,20,0.15,701,5.31,2,0.06,275,8.33,5,0.56,11,1.22,8,0.89,7,0.78,39,4.33
Tokyo,56127,137.23,1177,4.56,751,2.91,9792,37.95,30222,117.14,1973,7.65,377,1.46,2997,11.62,1831,7.1,54,0.21,47,0.18,868,3.36,3,0.08,197,5.18,9,0.36,19,0.76,59,2.36,11,0.44,54,2.16
Kanagawa,52774,160.41,818,4.01,487,2.39,6888,33.76,22394,109.77,2189,10.73,300,1.47,2494,12.23,1517,7.44,26,0.13,37,0.18,474,2.32,21,0.46,448,9.74,4,0.4,5,0.5,31,3.1,-,-,75,7.5
Niigata,25339,266.73,429,7.15,773,12.88,3558,59.3,5591,93.18,728,12.13,213,3.55,482,8.03,409,6.82,10,0.17,31,0.52,156,2.6,5,0.5,77,7.7,1,0.08,-,-,44,3.38,20,1.54,18,1.38
Toyama,10650,221.88,124,4.28,283,9.76,1266,43.66,3636,125.38,344,11.86,178,6.14,38,1.31,135,4.66,1,0.03,42,1.45,88,3.03,1,0.14,10,1.43,1,0.2,-,-,101,20.2,-,-,18,3.6
Ishikawa,12897,268.69,137,4.72,169,5.83,2376,81.93,3889,134.1,360,12.41,13,0.45,384,13.24,161,5.55,1,0.03,-,-,237,8.17,-,-,19,2.71,-,-,-,-,78,15.6,-,-,52,10.4
Fukui,10705,334.53,215,9.77,170,7.73,1101,50.05,3795,172.5,180,8.18,272,12.36,20,0.91,149,6.77,3,0.14,4,0.18,258,11.73,-,-,10,3.33,5,0.83,4,0.67,6,1,-,-,23,3.83
Yamanashi,8504,212.6,96,4,44,1.83,616,25.67,2333,97.21,115,4.79,3,0.13,22,0.92,82,3.42,1,0.04,3,0.13,11,0.46,-,-,36,4,2,0.2,-,-,10,1,-,-,33,3.3
Nagano,21363,248.41,334,6.3,91,1.72,1664,31.4,5857,110.51,333,6.28,71,1.34,210,3.96,246,4.64,13,0.25,5,0.09,30,0.57,-,-,57,5.7,-,-,3,0.27,80,7.27,-,-,41,3.73
Gifu,21329,248.01,254,4.88,203,3.9,671,12.9,3821,73.48,252,4.85,76,1.46,73,1.4,244,4.69,-,-,41,0.79,41,0.79,-,-,38,3.45,-,-,-,-,13,2.6,-,-,19,3.8
Shizuoka,32521,235.66,533,6.06,301,3.42,4103,46.63,8741,99.33,599,6.81,139,1.58,467,5.31,422,4.8,4,0.05,74,0.84,160,1.82,3,0.14,85,4.05,2,0.2,2,0.2,53,5.3,25,2.5,46,4.6
Aichi,62749,321.79,810,4.45,746,4.1,4973,27.32,16986,93.33,951,5.23,485,2.66,255,1.4,897,4.93,20,0.11,86,0.47,553,3.04,9,0.26,112,3.29,5,0.36,1,0.07,43,3.07,-,-,63,4.5
Mie,16621,230.85,274,6.09,310,6.89,1400,31.11,4735,105.22,200,4.44,213,4.73,136,3.02,289,6.42,10,0.22,9,0.2,45,1,1,0.08,14,1.17,8,0.89,4,0.44,29,3.22,-,-,8,0.89
Shiga,13344,251.77,220,6.88,85,2.66,938,29.31,2909,90.91,191,5.97,158,4.94,192,6,162,5.06,2,0.06,28,0.88,126,3.94,-,-,14,1.75,1,0.14,1,0.14,7,1,-,-,18,2.57
Kyoto,20954,171.75,240,3.29,272,3.73,1467,20.1,6090,83.42,321,4.4,412,5.64,280,3.84,300,4.11,-,-,23,0.32,173,2.37,1,0.06,47,2.76,3,0.43,2,0.29,1,0.14,-,-,64,9.14
Osaka,51089,166.41,2577,12.95,751,3.77,6459,32.46,19676,98.87,1750,8.79,1892,9.51,702,3.53,1289,6.48,41,0.21,72,0.36,575,2.89,13,0.25,138,2.71,3,0.18,5,0.29,68,4,1,0.06,153,9
Hyogo,41326,208.72,1341,10.48,728,5.69,3562,27.83,15001,117.2,1053,8.23,1251,9.77,384,3,739,5.77,22,0.17,50,0.39,489,3.82,4,0.11,231,6.6,8,0.67,12,1,19,1.58,-,-,23,1.92
Nara,7661,141.87,357,10.5,107,3.15,657,19.32,2568,75.53,196,5.76,280,8.24,63,1.85,187,5.5,1,0.03,2,0.06,83,2.44,1,0.11,39,4.33,3,0.5,1,0.17,8,1.33,-,-,50,8.33
Wakayama,8975,179.5,561,18.1,86,2.77,460,14.84,1863,60.1,197,6.35,223,7.19,43,1.39,159,5.13,2,0.06,13,0.42,30,0.97,1,0.25,20,5,5,0.45,1,0.09,36,3.27,1,0.09,46,4.18
Tottori,6954,239.79,56,2.95,64,3.37,1601,84.26,2306,121.37,112,5.89,66,3.47,35,1.84,121,6.37,15,0.79,11,0.58,67,3.53,-,-,4,1.33,1,0.2,-,-,1,0.2,-,-,75,15
Shimane,8121,213.71,187,8.13,113,4.91,1390,60.43,2330,101.3,170,7.39,488,21.22,26,1.13,189,8.22,-,-,6,0.26,143,6.22,1,0.33,2,0.67,1,0.13,10,1.25,23,2.88,1,0.13,34,4.25
Okayama,24362,290.02,241,4.46,129,2.39,1181,21.87,6090,112.78,409,7.57,280,5.19,64,1.19,273,5.06,7,0.13,12,0.22,189,3.5,4,0.33,31,2.58,2,0.4,-,-,2,0.4,-,-,19,3.8
Hiroshima,28970,254.12,415,5.85,396,5.58,2720,38.31,8986,126.56,476,6.7,300,4.23,17,0.24,438,6.17,18,0.25,13,0.18,580,8.17,2,0.11,141,7.42,1,0.05,11,0.52,40,1.9,2,0.1,36,1.71
Yamaguchi,22098,320.26,628,13.08,138,2.88,2282,47.54,5683,118.4,632,13.17,149,3.1,39,0.81,436,9.08,3,0.06,12,0.25,48,1,-,-,24,2.67,-,-,-,-,27,3,-,-,15,1.67
Tokushima,8304,218.53,415,18.04,103,4.48,478,20.78,2506,108.96,175,7.61,105,4.57,8,0.35,216,9.39,6,0.26,1,0.04,13,0.57,-,-,6,1.5,2,0.29,1,0.14,13,1.86,-,-,21,3
