"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32nd week, 2015",,,,,,"Data collected as of August 12, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1149187,233.2,32876,10.45,45887,14.58,265340,84.32,639975,203.36,48511,15.41,246407,78.3,61987,19.7,52992,16.84,1539,0.49,68741,21.84,39267,12.48,298,0.43,12187,17.77,257,0.54,562,1.18,3837,8.06,209,0.44,3972,8.34
Hokkaido,41433,182.52,2125,14.86,3845,26.89,16416,114.8,16209,113.35,2387,16.69,5286,36.97,2695,18.85,1524,10.66,55,0.38,970,6.78,2428,16.98,6,0.22,349,12.93,-,-,8,0.36,169,7.68,2,0.09,386,17.55
Aomori,14799,227.68,394,9.38,417,9.93,2103,50.07,5207,123.98,492,11.71,2363,56.26,812,19.33,593,14.12,2,0.05,153,3.64,89,2.12,-,-,171,15.55,7,1.17,9,1.5,87,14.5,-,-,120,20
Iwate,15432,241.13,409,10.49,410,10.51,3844,98.56,7745,198.59,641,16.44,1596,40.92,601,15.41,572,14.67,7,0.18,449,11.51,126,3.23,2,0.14,165,11.79,3,0.16,2,0.11,143,7.53,2,0.11,135,7.11
Miyagi,19606,208.57,380,6.55,948,16.34,4969,85.67,14306,246.66,1070,18.45,5114,88.17,1439,24.81,1193,20.57,1,0.02,1030,17.76,246,4.24,3,0.25,122,10.17,2,0.17,3,0.25,224,18.67,1,0.08,76,6.33
Akita,13227,249.57,125,3.68,417,12.26,1631,47.97,4323,127.15,390,11.47,454,13.35,258,7.59,270,7.94,4,0.12,201,5.91,292,8.59,10,1.43,64,9.14,1,0.13,-,-,106,13.25,-,-,71,8.88
Yamagata,10045,213.72,137,4.72,758,26.14,4159,143.41,8446,291.24,560,19.31,3263,112.52,650,22.41,675,23.28,12,0.41,360,12.41,677,23.34,-,-,35,5,4,0.4,7,0.7,29,2.9,12,1.2,49,4.9
Fukushima,19038,250.5,783,17.4,603,13.4,3493,77.62,8377,186.16,668,14.84,5155,114.56,1532,34.04,927,20.6,11,0.24,558,12.4,784,17.42,-,-,240,20,3,0.43,4,0.57,119,17,2,0.29,126,18
Ibaraki,22499,187.49,409,5.45,919,12.25,6318,84.24,14828,197.71,1121,14.95,3192,42.56,1695,22.6,866,11.55,18,0.24,1069,14.25,936,12.48,9,0.53,455,26.76,3,0.23,3,0.23,40,3.08,1,0.08,37,2.85
