"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37th week, 2015",,,,,,"Data collected as of September 16, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1150641,233.73,41360,13.15,51750,16.45,285699,90.84,688598,218.95,52293,16.63,332189,105.62,69950,22.24,61740,19.63,1838,0.58,90177,28.67,47034,14.96,348,0.51,15653,22.82,308,0.65,737,1.55,5006,10.52,249,0.52,3998,8.4
Hokkaido,41467,183.48,2450,17.25,4095,28.84,18032,126.99,17037,119.98,2534,17.85,10751,75.71,3050,21.48,1800,12.68,65,0.46,2667,18.78,2830,19.93,7,0.26,423,15.67,3,0.14,11,0.5,231,10.5,2,0.09,390,17.73
Aomori,14800,231.25,474,11.56,457,11.15,2268,55.32,5508,134.34,531,12.95,4723,115.2,859,20.95,690,16.83,4,0.1,495,12.07,113,2.76,-,-,198,18,9,1.5,11,1.83,104,17.33,-,-,121,20.17
Iwate,15438,241.22,619,15.87,444,11.38,4194,107.54,8337,213.77,689,17.67,3640,93.33,696,17.85,679,17.41,10,0.26,805,20.64,160,4.1,2,0.14,183,13.07,4,0.21,7,0.37,178,9.37,3,0.16,139,7.32
Miyagi,19606,208.57,546,9.41,998,17.21,5345,92.16,15017,258.91,1157,19.95,8611,148.47,1497,25.81,1380,23.79,1,0.02,1717,29.6,274,4.72,3,0.25,143,11.92,3,0.25,3,0.25,257,21.42,1,0.08,77,6.42
Akita,13227,249.57,141,4.15,493,14.5,1780,52.35,4627,136.09,419,12.32,1959,57.62,329,9.68,311,9.15,4,0.12,419,12.32,308,9.06,10,1.43,84,12,1,0.13,-,-,123,15.38,-,-,73,9.13
Yamagata,10045,213.72,261,9,807,27.83,4396,151.59,8844,304.97,597,20.59,5174,178.41,766,26.41,788,27.17,13,0.45,1024,35.31,831,28.66,-,-,43,6.14,5,0.5,8,0.8,35,3.5,13,1.3,50,5
Fukushima,19054,250.71,980,21.78,667,14.82,3766,83.69,8691,193.13,750,16.67,6856,152.36,1691,37.58,1096,24.36,16,0.36,882,19.6,882,19.6,-,-,291,24.25,3,0.43,5,0.71,127,18.14,3,0.43,126,18
Ibaraki,22548,187.9,459,6.12,994,13.25,6711,89.48,15998,213.31,1208,16.11,5147,68.63,1928,25.71,1010,13.47,22,0.29,1491,19.88,1192,15.89,10,0.59,584,34.35,3,0.23,3,0.23,53,4.08,1,0.08,37,2.85
Tochigi,13910,183.03,312,6.5,293,6.1,3037,63.27,5230,108.96,575,11.98,5872,122.33,1246,25.96,1003,20.9,41,0.85,417,8.69,515,10.73,5,0.42,188,15.67,2,0.29,12,1.71,82,11.71,3,0.43,45,6.43
Gunma,19536,201.4,436,7.39,617,10.46,6229,105.58,12534,212.44,654,11.08,7779,131.85,1416,24,1164,19.73,43,0.73,1067,18.08,797,13.51,1,0.08,877,67.46,5,0.63,6,0.75,89,11.13,-,-,185,23.13
Saitama,41314,167.94,1223,7.84,3087,19.79,16402,105.14,39449,252.88,3177,20.37,21051,134.94,6864,44,3558,22.81,56,0.36,4190,26.86,4069,26.08,36,0.9,1052,26.3,5,0.5,30,3,142,14.2,20,2,113,11.3
