"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41st week, 2015",,,,,,"Data collected as of October 14, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1151709,233.99,52756,16.77,54935,17.47,304705,96.89,725018,230.53,55792,17.74,366479,116.53,75171,23.9,67737,21.54,2046,0.65,95832,30.47,53899,17.14,376,0.55,18311,26.69,347,0.73,842,1.77,6206,13.04,290,0.61,4019,8.44
Hokkaido,41480,183.54,2978,20.97,4273,30.09,19288,135.83,17614,124.04,2727,19.2,12868,90.62,3309,23.3,1959,13.8,68,0.48,3189,22.46,3223,22.7,7,0.26,473,17.52,4,0.18,11,0.5,279,12.68,2,0.09,390,17.73
Aomori,14800,227.69,596,14.19,467,11.12,2428,57.81,5761,137.17,560,13.33,5451,129.79,883,21.02,757,18.02,5,0.12,608,14.48,150,3.57,-,-,208,18.91,10,1.67,11,1.83,138,23,-,-,121,20.17
Iwate,15450,241.41,784,20.1,449,11.51,4504,115.49,8701,223.1,735,18.85,4349,111.51,746,19.13,738,18.92,11,0.28,881,22.59,171,4.38,3,0.21,188,13.43,5,0.26,8,0.42,198,10.42,3,0.16,142,7.47
Miyagi,19607,208.59,915,15.78,1024,17.66,5749,99.12,15516,267.52,1216,20.97,10448,180.14,1546,26.66,1500,25.86,1,0.02,1880,32.41,299,5.16,3,0.25,159,13.25,4,0.33,4,0.33,292,24.33,1,0.08,78,6.5
Akita,13229,249.6,210,6.18,516,15.18,1922,56.53,4844,142.47,434,12.76,2372,69.76,407,11.97,346,10.18,4,0.12,456,13.41,321,9.44,10,1.43,92,13.14,1,0.13,-,-,140,17.5,-,-,74,9.25
Yamagata,10046,213.74,604,20.83,835,28.79,4688,161.66,9078,313.03,638,22,5878,202.69,862,29.72,844,29.1,13,0.45,1173,40.45,925,31.9,-,-,45,6.43,6,0.6,8,0.8,39,3.9,14,1.4,50,5
Fukushima,19080,251.05,1309,29.09,692,15.38,4055,90.11,8962,199.16,816,18.13,7436,165.24,1799,39.98,1202,26.71,17,0.38,985,21.89,949,21.09,-,-,321,26.75,4,0.57,8,1.14,143,20.43,3,0.43,127,18.14
Ibaraki,22556,187.97,525,7,1045,13.93,7061,94.15,16883,225.11,1287,17.16,5961,79.48,2063,27.51,1110,14.8,25,0.33,1602,21.36,1438,19.17,11,0.65,684,40.24,3,0.23,4,0.31,66,5.08,1,0.08,37,2.85
Tochigi,13915,183.09,407,8.48,301,6.27,3248,67.67,5498,114.54,609,12.69,6240,130,1346,28.04,1097,22.85,43,0.9,448,9.33,607,12.65,5,0.42,220,18.33,4,0.57,15,2.14,95,13.57,3,0.43,47,6.71
Gunma,19544,201.48,497,8.42,635,10.76,6660,112.88,13178,223.36,740,12.54,8364,141.76,1504,25.49,1273,21.58,47,0.8,1166,19.76,879,14.9,1,0.08,972,74.77,5,0.63,7,0.88,116,14.5,-,-,186,23.25
Saitama,41329,168,1648,10.56,3324,21.31,17460,111.92,41470,265.83,3351,21.48,22781,146.03,7201,46.16,3913,25.08,64,0.41,4482,28.73,4547,29.15,37,0.93,1203,30.08,8,0.8,39,3.9,164,16.4,20,2,113,11.3
Chiba,48243,229.73,1097,8.25,2694,20.26,14263,107.24,26947,202.61,2096,15.76,11847,89.08,4412,33.17,2676,20.12,105,0.79,4452,33.47,2868,21.56,13,0.39,1078,32.67,16,1.78,43,4.78,55,6.11,10,1.11,52,5.78
Tokyo,58020,141.86,3412,13.22,4229,16.39,27113,105.09,64961,251.79,4894,18.97,31635,122.62,9004,34.9,6283,24.35,233,0.9,6990,27.09,3126,12.12,11,0.29,903,23.76,38,1.52,53,2.12,383,15.32,44,1.76,88,3.52
Kanagawa,53942,167.52,1782,8.74,2859,14.01,17618,86.36,45374,222.42,4806,23.56,25726,126.11,5946,29.15,4781,23.44,70,0.34,5624,27.57,2080,10.2,57,1.24,1653,35.93,14,1.4,25,2.5,167,16.7,1,0.1,124,12.4
Niigata,26632,283.32,1344,22.78,2400,40.68,7750,131.36,12944,219.39,1230,20.85,10828,183.53,1183,20.05,1390,23.56,51,0.86,1699,28.8,662,11.22,17,1.7,228,22.8,2,0.15,2,0.15,109,8.38,80,6.15,46,3.54
Toyama,11387,237.23,208,7.17,651,22.45,2885,99.48,7783,268.38,765,26.38,3253,112.17,141,4.86,493,17,8,0.28,1086,37.45,339,11.69,2,0.29,52,7.43,2,0.4,-,-,230,46,-,-,33,6.6
Ishikawa,13478,280.79,347,11.97,619,21.34,4265,147.07,7454,257.03,540,18.62,3085,106.38,862,29.72,562,19.38,7,0.24,556,19.17,1509,52.03,-,-,83,11.86,1,0.2,3,0.6,169,33.8,-,-,75,15
Fukui,11198,349.94,342,15.55,432,19.64,2315,105.23,8043,365.59,269,12.23,3354,152.45,157,7.14,451,20.5,16,0.73,629,28.59,566,25.73,1,0.33,26,8.67,16,2.67,13,2.17,30,5,-,-,106,17.67
Yamanashi,8725,218.13,111,4.63,123,5.13,2021,84.21,4726,196.92,274,11.42,1676,69.83,591,24.63,329,13.71,4,0.17,948,39.5,57,2.38,1,0.11,141,15.67,5,0.5,52,5.2,60,6,-,-,68,6.8
Nagano,22363,260.03,416,7.85,465,8.77,5352,100.98,12454,234.98,724,13.66,7094,133.85,1779,33.57,867,16.36,46,0.87,1899,35.83,245,4.62,2,0.2,160,16,3,0.27,5,0.45,216,19.64,-,-,83,7.55
Gifu,21889,254.52,405,7.79,800,15.38,2064,39.69,8024,154.31,463,8.9,2100,40.38,1178,22.65,805,15.48,22,0.42,1813,34.87,164,3.15,-,-,74,6.73,1,0.2,11,2.2,179,35.8,-,-,77,15.4
Shizuoka,33514,242.86,1056,12,1509,17.15,12778,145.2,19152,217.64,1383,15.72,7757,88.15,2143,24.35,1650,18.75,55,0.63,2975,33.81,968,11,6,0.29,263,12.52,6,0.6,18,1.8,176,17.6,31,3.1,55,5.5
Aichi,64595,331.26,1344,7.38,2602,14.3,14750,81.04,35936,197.45,2404,13.21,11237,61.74,2611,14.35,3243,17.82,105,0.58,7656,42.07,2171,11.93,22,0.65,380,11.18,17,1.21,12,0.86,225,16.07,-,-,183,13.07
