"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42nd week, 2015",,,,,,"Data collected as of October 21, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1152080,234.07,56646,18.01,55742,17.72,310138,98.61,735500,233.86,56842,18.07,369946,117.63,76442,24.31,69191,22,2100,0.67,96282,30.61,55681,17.7,386,0.56,18879,27.52,349,0.73,862,1.81,6503,13.66,296,0.62,4027,8.46
Hokkaido,41487,183.57,3228,22.73,4336,30.54,19654,138.41,17781,125.22,2794,19.68,13234,93.2,3374,23.76,1985,13.98,69,0.49,3246,22.86,3351,23.6,7,0.26,486,18,4,0.18,11,0.5,291,13.23,2,0.09,390,17.73
Aomori,14800,227.69,631,15.02,475,11.31,2471,58.83,5827,138.74,569,13.55,5572,132.67,886,21.1,780,18.57,6,0.14,622,14.81,154,3.67,-,-,215,19.55,10,1.67,11,1.83,145,24.17,-,-,121,20.17
Iwate,15453,241.45,848,21.74,450,11.54,4604,118.05,8819,226.13,763,19.56,4413,113.15,750,19.23,755,19.36,11,0.28,887,22.74,175,4.49,3,0.21,194,13.86,5,0.26,8,0.42,201,10.58,3,0.16,142,7.47
Miyagi,19610,208.62,1063,18.33,1031,17.78,5854,100.93,15665,270.09,1247,21.5,10615,183.02,1556,26.83,1532,26.41,1,0.02,1894,32.66,303,5.22,3,0.25,159,13.25,4,0.33,4,0.33,298,24.83,1,0.08,78,6.5
Akita,13229,249.6,250,7.35,522,15.35,1946,57.24,4887,143.74,445,13.09,2402,70.65,422,12.41,355,10.44,4,0.12,460,13.53,324,9.53,10,1.43,96,13.71,1,0.13,-,-,147,18.38,-,-,74,9.25
Yamagata,10046,213.74,743,25.62,845,29.14,4782,164.9,9155,315.69,653,22.52,5947,205.07,887,30.59,864,29.79,13,0.45,1176,40.55,967,33.34,-,-,45,6.43,6,0.6,8,0.8,39,3.9,14,1.4,50,5
Fukushima,19082,251.08,1484,32.98,695,15.44,4131,91.8,9036,200.8,839,18.64,7503,166.73,1841,40.91,1230,27.33,18,0.4,989,21.98,961,21.36,-,-,330,27.5,4,0.57,8,1.14,147,21,3,0.43,129,18.43
Ibaraki,22564,188.03,565,7.53,1062,14.16,7162,95.49,17176,229.01,1317,17.56,6025,80.33,2097,27.96,1130,15.07,25,0.33,1609,21.45,1523,20.31,11,0.65,710,41.76,3,0.23,5,0.38,74,5.69,1,0.08,37,2.85
Tochigi,13916,183.11,471,9.81,307,6.4,3331,69.4,5564,115.92,611,12.73,6272,130.67,1363,28.4,1127,23.48,44,0.92,452,9.42,621,12.94,5,0.42,226,18.83,4,0.57,16,2.29,98,14,3,0.43,47,6.71
Gunma,19549,201.54,555,9.41,642,10.88,6816,115.53,13382,226.81,759,12.86,8400,142.37,1521,25.78,1300,22.03,49,0.83,1175,19.92,894,15.15,1,0.08,980,75.38,5,0.63,8,1,124,15.5,-,-,188,23.5
Saitama,41347,168.08,1801,11.54,3382,21.68,17766,113.88,42006,269.27,3424,21.95,22949,147.11,7271,46.61,3993,25.6,66,0.42,4498,28.83,4688,30.05,38,0.95,1232,30.8,8,0.8,40,4,171,17.1,20,2,113,11.3
Chiba,48276,229.89,1221,9.18,2722,20.47,14556,109.44,27321,205.42,2136,16.06,12034,90.48,4473,33.63,2732,20.54,109,0.82,4483,33.71,2969,22.32,14,0.42,1106,33.52,16,1.78,43,4.78,57,6.33,10,1.11,52,5.78
Tokyo,58052,141.94,3775,14.63,4287,16.62,27531,106.71,65834,255.17,4970,19.26,31855,123.47,9076,35.18,6418,24.88,238,0.92,7027,27.24,3250,12.6,12,0.32,927,24.39,38,1.52,55,2.2,406,16.24,44,1.76,88,3.52
Kanagawa,53956,167.57,1956,9.59,2883,14.13,17860,87.55,46036,225.67,4898,24.01,26002,127.46,5971,29.27,4890,23.97,71,0.35,5638,27.64,2150,10.54,58,1.26,1694,36.83,14,1.4,25,2.5,177,17.7,1,0.1,124,12.4
Niigata,26632,283.32,1487,25.2,2406,40.78,7874,133.46,13131,222.56,1252,21.22,10936,185.36,1194,20.24,1422,24.1,52,0.88,1718,29.12,674,11.42,17,1.7,230,23,3,0.23,2,0.15,111,8.54,83,6.38,46,3.54
Toyama,11387,237.23,235,8.1,654,22.55,2934,101.17,7879,271.69,774,26.69,3276,112.97,149,5.14,506,17.45,8,0.28,1090,37.59,347,11.97,2,0.29,52,7.43,2,0.4,-,-,233,46.6,-,-,33,6.6
Ishikawa,13478,280.79,403,13.9,639,22.03,4310,148.62,7533,259.76,546,18.83,3100,106.9,863,29.76,572,19.72,7,0.24,557,19.21,1566,54,-,-,86,12.29,1,0.2,4,0.8,178,35.6,-,-,75,15
Fukui,11198,349.94,375,17.05,438,19.91,2351,106.86,8147,370.32,270,12.27,3359,152.68,168,7.64,457,20.77,18,0.82,632,28.73,570,25.91,1,0.33,28,9.33,16,2.67,13,2.17,31,5.17,-,-,106,17.67
Yamanashi,8726,218.15,121,5.04,124,5.17,2060,85.83,4774,198.92,275,11.46,1694,70.58,597,24.88,337,14.04,4,0.17,949,39.54,60,2.5,1,0.11,145,16.11,5,0.5,55,5.5,64,6.4,-,-,68,6.8
Nagano,22369,260.1,437,8.25,472,8.91,5456,102.94,12588,237.51,741,13.98,7206,135.96,1802,34,883,16.66,46,0.87,1907,35.98,252,4.75,2,0.2,163,16.3,3,0.27,5,0.45,222,20.18,-,-,83,7.55
Gifu,21899,254.64,465,8.94,803,15.44,2096,40.31,8098,155.73,465,8.94,2123,40.83,1207,23.21,821,15.79,23,0.44,1818,34.96,167,3.21,-,-,77,7,1,0.2,11,2.2,194,38.8,-,-,77,15.4
Shizuoka,33528,242.96,1167,13.26,1538,17.48,13103,148.9,19404,220.5,1400,15.91,7811,88.76,2170,24.66,1684,19.14,57,0.65,2982,33.89,1051,11.94,6,0.29,272,12.95,6,0.6,20,2,193,19.3,31,3.1,55,5.5
Aichi,64655,331.56,1503,8.26,2624,14.42,15004,82.44,36370,199.84,2461,13.52,11447,62.9,2694,14.8,3308,18.18,113,0.62,7667,42.13,2211,12.15,22,0.65,392,11.53,17,1.21,12,0.86,242,17.29,-,-,183,13.07
