"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2015",,,,,,"Data collected as of October 28, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1152573,234.17,60769,19.32,56724,18.04,317046,100.81,749261,238.24,57964,18.43,372625,118.48,78053,24.82,70796,22.51,2174,0.69,96631,30.73,57824,18.39,395,0.57,19536,28.44,360,0.76,874,1.84,6898,14.49,308,0.65,4038,8.48
Hokkaido,41494,183.6,3522,24.8,4403,31.01,20158,141.96,18014,126.86,2864,20.17,13491,95.01,3449,24.29,2034,14.32,71,0.5,3291,23.18,3482,24.52,8,0.3,506,18.74,4,0.18,12,0.55,304,13.82,2,0.09,390,17.73
Aomori,14800,227.69,674,16.05,482,11.48,2517,59.93,5973,142.21,579,13.79,5668,134.95,889,21.17,799,19.02,7,0.17,636,15.14,169,4.02,-,-,221,20.09,11,1.83,11,1.83,151,25.17,-,-,121,20.17
Iwate,15455,241.48,909,23.31,453,11.62,4722,121.08,8944,229.33,770,19.74,4467,114.54,763,19.56,774,19.85,12,0.31,889,22.79,178,4.56,3,0.21,200,14.29,5,0.26,8,0.42,216,11.37,3,0.16,143,7.53
Miyagi,19613,208.65,1231,21.22,1043,17.98,6006,103.55,15855,273.36,1283,22.12,10729,184.98,1570,27.07,1576,27.17,1,0.02,1900,32.76,304,5.24,3,0.25,162,13.5,5,0.42,4,0.33,309,25.75,1,0.08,78,6.5
Akita,13229,249.6,279,8.21,528,15.53,1993,58.62,4934,145.12,455,13.38,2458,72.29,449,13.21,359,10.56,4,0.12,460,13.53,329,9.68,10,1.43,97,13.86,1,0.13,-,-,148,18.5,-,-,74,9.25
Yamagata,10046,213.74,922,31.79,864,29.79,4909,169.28,9238,318.55,662,22.83,5996,206.76,923,31.83,878,30.28,14,0.48,1178,40.62,1002,34.55,-,-,48,6.86,6,0.6,8,0.8,41,4.1,14,1.4,50,5
Fukushima,19086,251.13,1672,37.16,698,15.51,4203,93.4,9173,203.84,866,19.24,7557,167.93,1894,42.09,1262,28.04,19,0.42,994,22.09,976,21.69,-,-,339,28.25,5,0.71,9,1.29,152,21.71,3,0.43,129,18.43
Ibaraki,22573,188.11,613,8.17,1073,14.31,7270,96.93,17460,232.8,1347,17.96,6083,81.11,2158,28.77,1167,15.56,25,0.33,1618,21.57,1580,21.07,12,0.71,728,42.82,3,0.23,5,0.38,83,6.38,1,0.08,39,3
Tochigi,13917,183.12,556,11.58,313,6.52,3410,71.04,5661,117.94,622,12.96,6298,131.21,1387,28.9,1161,24.19,46,0.96,453,9.44,644,13.42,5,0.42,237,19.75,4,0.57,16,2.29,99,14.14,3,0.43,47,6.71
