"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45th week, 2015",,,,,,"Data collected as of November 11, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1153755,234.36,70288,22.35,58869,18.72,331450,105.39,783359,249.08,60660,19.29,376326,119.66,81378,25.88,74004,23.53,2289,0.73,97133,30.88,61585,19.58,416,0.61,20671,30.09,378,0.79,917,1.93,7556,15.87,325,0.68,4085,8.58
Hokkaido,41525,183.74,4356,30.68,4520,31.83,21227,149.49,18514,130.38,3022,21.28,13910,97.96,3666,25.82,2118,14.92,73,0.51,3369,23.73,3767,26.53,8,0.3,527,19.52,5,0.23,12,0.55,354,16.09,2,0.09,390,17.73
Aomori,14800,227.69,834,19.86,509,12.12,2628,62.57,6257,148.98,607,14.45,5859,139.5,902,21.48,847,20.17,7,0.17,655,15.6,189,4.5,-,-,234,21.27,11,1.83,11,1.83,166,27.67,-,-,121,20.17
Iwate,15462,241.59,1036,26.56,473,12.13,5028,128.92,9233,236.74,811,20.79,4539,116.38,791,20.28,816,20.92,13,0.33,895,22.95,192,4.92,3,0.21,208,14.86,5,0.26,8,0.42,238,12.53,3,0.16,144,7.58
Miyagi,19630,208.83,1637,28.22,1063,18.33,6349,109.47,16294,280.93,1359,23.43,10883,187.64,1595,27.5,1650,28.45,2,0.03,1906,32.86,310,5.34,3,0.25,169,14.08,5,0.42,4,0.33,321,26.75,1,0.08,78,6.5
Akita,13229,249.6,404,11.88,547,16.09,2066,60.76,5100,150,491,14.44,2548,74.94,525,15.44,376,11.06,4,0.12,461,13.56,330,9.71,10,1.43,100,14.29,1,0.13,-,-,152,19,-,-,74,9.25
Yamagata,10053,213.89,1293,44.59,919,31.69,5195,179.14,9474,326.69,707,24.38,6047,208.52,1014,34.97,923,31.83,14,0.48,1186,40.9,1060,36.55,-,-,54,7.71,6,0.6,9,0.9,42,4.2,15,1.5,50,5
Fukushima,19097,251.28,2150,47.78,712,15.82,4376,97.24,9519,211.53,933,20.73,7652,170.04,1967,43.71,1324,29.42,20,0.44,1002,22.27,997,22.16,-,-,351,29.25,5,0.71,11,1.57,162,23.14,3,0.43,130,18.57
Ibaraki,22589,188.24,804,10.72,1108,14.77,7520,100.27,18187,242.49,1403,18.71,6173,82.31,2262,30.16,1215,16.2,28,0.37,1629,21.72,1700,22.67,12,0.71,763,44.88,3,0.23,6,0.46,97,7.46,1,0.08,39,3
Tochigi,13927,183.25,860,17.92,321,6.69,3567,74.31,5860,122.08,648,13.5,6341,132.1,1448,30.17,1222,25.46,48,1,454,9.46,677,14.1,5,0.42,258,21.5,4,0.57,16,2.29,106,15.14,4,0.57,47,6.71
Gunma,19578,201.84,784,13.29,665,11.27,7278,123.36,14272,241.9,796,13.49,8460,143.39,1600,27.12,1382,23.42,55,0.93,1192,20.2,962,16.31,1,0.08,1049,80.69,5,0.63,8,1,142,17.75,-,-,188,23.5
