"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4th week, 2016",,,,,,"Data collected as of February 3, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,194549,39.32,10118,3.21,5402,1.71,34466,10.92,98898,31.35,6986,2.21,580,0.18,10007,3.17,5177,1.64,165,0.05,209,0.07,11388,3.61,30,0.04,2141,3.12,35,0.07,73,0.15,1311,2.77,42,0.09,371,0.78
Hokkaido,11643,51.52,421,2.96,280,1.97,2482,17.48,1934,13.62,289,2.04,57,0.4,1005,7.08,164,1.15,5,0.04,7,0.05,873,6.15,-,-,33,1.18,1,0.04,2,0.09,31,1.35,3,0.13,46,2
Aomori,3042,46.8,65,1.55,58,1.38,250,5.95,612,14.57,45,1.07,4,0.1,97,2.31,61,1.45,-,-,2,0.05,122,2.9,-,-,22,2,4,0.67,3,0.5,15,2.5,-,-,2,0.33
Iwate,2642,40.65,80,2,27,0.68,666,16.65,1120,28,37,0.93,2,0.05,59,1.48,57,1.43,3,0.08,2,0.05,69,1.73,-,-,37,2.64,1,0.05,1,0.05,34,1.79,-,-,1,0.05
Miyagi,2966,31.22,149,2.53,66,1.12,942,15.97,2155,36.53,169,2.86,3,0.05,61,1.03,98,1.66,-,-,-,-,115,1.95,-,-,15,1.25,2,0.17,-,-,46,3.83,-,-,1,0.08
Akita,2299,42.57,27,0.77,29,0.83,189,5.4,738,21.09,42,1.2,3,0.09,388,11.09,17,0.49,2,0.06,2,0.06,18,0.51,1,0.14,3,0.43,-,-,-,-,15,1.88,-,-,7,0.88
Yamagata,1257,26.74,27,0.93,69,2.38,843,29.07,1343,46.31,67,2.31,6,0.21,344,11.86,78,2.69,-,-,-,-,223,7.69,-,-,8,1,-,-,1,0.1,15,1.5,3,0.3,1,0.1
Fukushima,2362,30.68,133,2.89,84,1.83,343,7.46,1230,26.74,102,2.22,4,0.09,162,3.52,92,2,3,0.07,3,0.07,61,1.33,-,-,38,3.17,1,0.14,1,0.14,11,1.57,-,-,1,0.14
Ibaraki,5468,45.57,114,1.52,99,1.32,653,8.71,2586,34.48,194,2.59,13,0.17,171,2.28,71,0.95,1,0.01,4,0.05,325,4.33,-,-,84,4.94,-,-,-,-,36,2.77,-,-,-,-
