"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8th week, 2016",,,,,,"Data collected as of March 2, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,928876,187.58,15263,4.83,9930,3.14,76927,24.36,185159,58.63,11726,3.71,935,0.3,16347,5.18,9749,3.09,326,0.1,360,0.11,21289,6.74,57,0.08,3862,5.61,62,0.13,129,0.27,2312,4.88,78,0.16,1185,2.5
Hokkaido,46304,204.88,653,4.6,439,3.09,5936,41.8,3678,25.9,499,3.51,87,0.61,1479,10.42,283,1.99,9,0.06,17,0.12,1617,11.39,-,-,67,2.39,1,0.04,3,0.13,62,2.7,3,0.13,96,4.17
Aomori,8590,132.15,73,1.74,121,2.88,537,12.79,1159,27.6,85,2.02,12,0.29,138,3.29,112,2.67,-,-,3,0.07,217,5.17,-,-,55,5,5,0.83,4,0.67,38,6.33,-,-,15,2.5
Iwate,9947,153.03,125,3.13,53,1.33,1614,40.35,2373,59.33,76,1.9,7,0.18,97,2.43,110,2.75,6,0.15,2,0.05,104,2.6,2,0.14,58,4.14,1,0.05,2,0.11,56,2.95,-,-,9,0.47
Miyagi,12627,132.92,204,3.46,117,1.98,2679,45.41,3786,64.17,290,4.92,4,0.07,94,1.59,210,3.56,2,0.03,1,0.02,212,3.59,-,-,18,1.5,2,0.17,-,-,77,6.42,-,-,3,0.25
Akita,5603,103.76,47,1.34,63,1.8,421,12.03,1499,42.83,63,1.8,6,0.17,704,20.11,42,1.2,5,0.14,3,0.09,34,0.97,1,0.14,11,1.57,-,-,-,-,34,4.25,-,-,51,6.38
Yamagata,5867,124.83,32,1.1,124,4.28,1829,63.07,2419,83.41,126,4.34,9,0.31,602,20.76,149,5.14,1,0.03,-,-,420,14.48,-,-,9,1.13,-,-,1,0.1,27,2.7,3,0.3,2,0.2
Fukushima,11719,152.19,197,4.28,136,2.96,817,17.76,2132,46.35,170,3.7,10,0.22,271,5.89,186,4.04,6,0.13,3,0.07,89,1.93,-,-,72,6,1,0.14,1,0.14,19,2.71,-,-,3,0.43
Ibaraki,21694,180.78,150,2,179,2.39,1294,17.25,4987,66.49,282,3.76,22,0.29,266,3.55,131,1.75,1,0.01,7,0.09,632,8.43,-,-,156,9.18,-,-,2,0.15,67,5.15,-,-,1,0.08
Tochigi,11651,153.3,103,2.15,48,1,788,16.42,1993,41.52,117,2.44,8,0.17,252,5.25,164,3.42,2,0.04,3,0.06,220,4.58,-,-,95,7.92,-,-,2,0.29,45,6.43,2,0.29,3,0.43
Gunma,17134,180.36,164,2.83,147,2.53,1800,31.03,3051,52.6,174,3,6,0.1,197,3.4,187,3.22,10,0.17,8,0.14,141,2.43,-,-,65,4.64,-,-,1,0.13,63,7.88,-,-,15,1.88
Saitama,56398,224.69,399,2.53,419,2.65,3973,25.15,10948,69.29,871,5.51,48,0.3,879,5.56,492,3.11,7,0.04,17,0.11,1239,7.84,7,0.18,208,5.2,2,0.2,1,0.1,48,4.8,9,0.9,5,0.5
