"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18th week, 2016",,,,,,"Data collected as of May 11, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1572768,317.8,21683,6.87,19244,6.1,150691,47.73,365982,115.93,22556,7.14,1988,0.63,27930,8.85,23311,7.38,744,0.24,1234,0.39,46814,14.83,152,0.22,7718,11.2,150,0.32,328,0.69,4281,9.03,144,0.3,4086,8.62
Hokkaido,82510,366.71,836,5.89,814,5.73,12603,88.75,7828,55.13,952,6.7,122,0.86,2227,15.68,649,4.57,27,0.19,23,0.16,3644,25.66,-,-,148,5.29,3,0.13,6,0.26,120,5.22,3,0.13,216,9.39
Aomori,17077,262.72,99,2.36,233,5.55,1265,30.12,2787,66.36,157,3.74,16,0.38,234,5.57,282,6.71,1,0.02,5,0.12,491,11.69,1,0.09,96,8.73,8,1.33,7,1.17,81,13.5,-,-,64,10.67
Iwate,20793,324.89,166,4.15,121,3.03,3139,78.48,5077,126.93,208,5.2,13,0.33,163,4.08,253,6.33,6,0.15,8,0.2,231,5.78,3,0.21,110,7.86,1,0.05,2,0.11,124,6.53,1,0.05,108,5.68
Miyagi,27725,291.84,251,4.25,229,3.88,4437,75.2,6971,118.15,492,8.34,11,0.19,190,3.22,492,8.34,7,0.12,4,0.07,392,6.64,-,-,49,4.08,4,0.33,-,-,133,11.08,-,-,10,0.83
Akita,14003,259.31,59,1.69,131,3.74,878,25.09,2674,76.4,137,3.91,13,0.37,1181,33.74,133,3.8,20,0.57,4,0.11,59,1.69,1,0.14,37,5.29,-,-,-,-,64,8,-,-,107,13.38
Yamagata,13738,292.3,41,1.41,222,7.66,3359,115.83,4202,144.9,217,7.48,13,0.45,1067,36.79,335,11.55,7,0.24,1,0.03,1120,38.62,-,-,15,1.88,1,0.1,4,0.4,41,4.1,4,0.4,7,0.7
Fukushima,22563,293.03,279,6.07,289,6.28,1679,36.5,3610,78.48,368,8,18,0.39,500,10.87,474,10.3,13,0.28,4,0.09,164,3.57,-,-,165,13.75,2,0.29,5,0.71,39,5.57,-,-,16,2.29
Ibaraki,32965,274.71,191,2.55,316,4.21,2663,35.51,8768,116.91,550,7.33,66,0.88,434,5.79,367,4.89,6,0.08,21,0.28,1253,16.71,-,-,274,16.12,-,-,4,0.31,105,8.08,-,-,21,1.62
Tochigi,18717,246.28,118,2.46,102,2.13,1577,32.85,3076,64.08,258,5.38,18,0.38,493,10.27,400,8.33,5,0.1,5,0.1,477,9.94,3,0.25,153,12.75,1,0.14,6,0.86,71,10.14,2,0.29,20,2.86
Gunma,27189,289.24,184,3.23,252,4.42,3279,57.53,5855,102.72,373,6.54,19,0.33,447,7.84,438,7.68,30,0.53,17,0.3,337,5.91,-,-,171,12.21,2,0.25,2,0.25,117,14.63,-,-,49,6.13
Saitama,84630,337.17,490,3.1,805,5.09,8213,51.98,18879,119.49,1671,10.58,102,0.65,1290,8.16,1291,8.17,19,0.12,48,0.3,2722,17.23,17,0.43,394,9.85,3,0.3,4,0.4,85,8.5,11,1.1,26,2.6
Chiba,70634,331.62,349,2.6,578,4.31,7867,58.71,14373,107.26,1145,8.54,86,0.64,1192,8.9,963,7.19,27,0.2,39,0.29,2682,20.01,5,0.15,346,10.48,6,0.67,28,3.11,69,7.67,2,0.22,20,2.22
Tokyo,108733,263.28,896,3.45,1097,4.22,12543,48.24,31448,120.95,1961,7.54,185,0.71,1225,4.71,2109,8.11,42,0.16,69,0.27,2356,9.06,3,0.08,342,9,13,0.52,16,0.64,222,8.88,16,0.64,77,3.08
Kanagawa,100056,293.42,609,2.87,717,3.38,7844,37,24102,113.69,1893,8.93,95,0.45,669,3.16,1696,8,27,0.13,47,0.22,2286,10.78,22,0.46,1096,22.83,3,0.3,17,1.7,58,5.8,1,0.1,47,4.7
Niigata,35418,380.84,331,5.71,713,12.29,3646,62.86,7074,121.97,471,8.12,40,0.69,244,4.21,413,7.12,30,0.52,6,0.1,1196,20.62,11,1.1,137,13.7,3,0.23,4,0.31,72,5.54,33,2.54,27,2.08
Toyama,14055,299.04,71,2.54,259,9.25,2029,72.46,3362,120.07,261,9.32,53,1.89,318,11.36,219,7.82,3,0.11,21,0.75,372,13.29,-,-,17,2.43,-,-,2,0.4,80,16,1,0.2,18,3.6
Ishikawa,16515,344.06,30,1.03,478,16.48,1552,53.52,2622,90.41,147,5.07,13,0.45,308,10.62,182,6.28,-,-,-,-,1278,44.07,-,-,35,5,2,0.4,3,0.6,94,18.8,-,-,22,4.4
Fukui,12478,389.94,90,4.09,256,11.64,1268,57.64,2665,121.14,182,8.27,10,0.45,430,19.55,172,7.82,9,0.41,9,0.41,99,4.5,1,0.33,11,3.67,1,0.17,7,1.17,31,5.17,-,-,24,4
Yamanashi,13207,330.18,92,3.83,70,2.92,1390,57.92,2255,93.96,104,4.33,5,0.21,177,7.38,126,5.25,4,0.17,2,0.08,64,2.67,-,-,66,7.33,3,0.3,6,0.6,53,5.3,3,0.3,19,1.9
Nagano,33044,384.23,376,7.09,160,3.02,2248,42.42,6016,113.51,263,4.96,16,0.3,479,9.04,321,6.06,15,0.28,5,0.09,747,14.09,-,-,51,4.64,1,0.09,1,0.09,113,10.27,-,-,81,7.36
Gifu,31069,357.11,210,3.96,245,4.62,1317,24.85,3909,73.75,172,3.25,33,0.62,202,3.81,234,4.42,16,0.3,10,0.19,234,4.42,1,0.09,38,3.45,1,0.2,12,2.4,94,18.8,-,-,57,11.4
Shizuoka,43279,311.36,506,5.69,454,5.1,7103,79.81,10119,113.7,543,6.1,21,0.24,512,5.75,544,6.11,15,0.17,16,0.18,1355,15.22,1,0.05,124,5.9,3,0.3,7,0.7,163,16.3,27,2.7,17,1.7
Aichi,85138,436.61,1044,5.77,706,3.9,6894,38.09,17391,96.08,986,5.45,98,0.54,1378,7.61,1069,5.91,29,0.16,27,0.15,1304,7.2,5,0.15,247,7.26,9,0.64,13,0.93,187,13.36,-,-,315,22.5
Mie,23394,324.92,381,8.47,286,6.36,1257,27.93,5948,132.18,273,6.07,12,0.27,588,13.07,351,7.8,5,0.11,4,0.09,204,4.53,2,0.17,33,2.75,3,0.33,8,0.89,86,9.56,7,0.78,16,1.78
Shiga,15367,289.94,180,5.63,97,3.03,780,24.38,4304,134.5,349,10.91,51,1.59,131,4.09,204,6.38,2,0.06,16,0.5,233,7.28,-,-,24,3,3,0.43,3,0.43,31,4.43,-,-,86,12.29
Kyoto,33675,273.78,210,2.84,335,4.53,1969,26.61,8692,117.46,416,5.62,32,0.43,445,6.01,360,4.86,7,0.09,45,0.61,1112,15.03,1,0.06,67,3.94,-,-,3,0.43,77,11,-,-,109,15.57
Osaka,89817,292.56,1484,7.46,1285,6.46,7708,38.73,24736,124.3,1453,7.3,91,0.46,1334,6.7,1452,7.3,43,0.22,112,0.56,2877,14.46,14,0.27,273,5.35,9,0.53,11,0.65,270,15.88,-,-,346,20.35
Hyogo,61863,312.44,991,7.68,1071,8.3,4385,33.99,16147,125.17,1002,7.77,43,0.33,910,7.05,740,5.74,17,0.13,27,0.21,1891,14.66,7,0.21,231,6.79,12,1.09,6,0.55,80,7.27,1,0.09,162,14.73
Nara,15212,281.7,274,8.06,227,6.68,1085,31.91,3468,102,169,4.97,9,0.26,350,10.29,291,8.56,3,0.09,8,0.24,766,22.53,1,0.11,53,5.89,4,0.67,3,0.5,82,13.67,-,-,91,15.17
Wakayama,11488,229.76,321,10.35,190,6.13,448,14.45,2119,68.35,169,5.45,3,0.1,540,17.42,221,7.13,2,0.06,5,0.16,239,7.71,4,1,25,6.25,-,-,6,0.55,38,3.45,1,0.09,88,8
