"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2016",,,,,,"Data collected as of June 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1580123,319.28,22672,7.18,25043,7.93,177106,56.1,424160,134.36,27109,8.59,3276,1.04,31722,10.05,29021,9.19,947,0.3,3016,0.96,55504,17.58,181,0.26,9143,13.25,176,0.37,412,0.87,5032,10.62,166,0.35,4600,9.7
Hokkaido,83214,369.84,895,6.3,1070,7.54,14648,103.15,9611,67.68,1215,8.56,131,0.92,2408,16.96,790,5.56,33,0.23,30,0.21,4118,29,-,-,177,6.32,4,0.18,16,0.73,254,11.55,3,0.14,276,12.55
Aomori,17445,268.38,103,2.45,286,6.81,1454,34.62,3569,84.98,214,5.1,18,0.43,287,6.83,330,7.86,2,0.05,10,0.24,556,13.24,1,0.09,107,9.73,8,1.33,8,1.33,98,16.33,-,-,90,15
Iwate,21183,330.98,169,4.23,180,4.5,3545,88.63,5927,148.18,267,6.68,18,0.45,186,4.65,304,7.6,8,0.2,8,0.2,300,7.5,4,0.29,141,10.07,3,0.16,2,0.11,153,8.05,1,0.05,126,6.63
Miyagi,27978,294.51,260,4.41,302,5.12,5116,86.71,8291,140.53,579,9.81,15,0.25,231,3.92,617,10.46,9,0.15,9,0.15,466,7.9,-,-,58,4.83,4,0.33,-,-,150,12.5,-,-,11,0.92
Akita,14260,264.07,64,1.83,166,4.74,1032,29.49,3059,87.4,182,5.2,15,0.43,1272,36.34,165,4.71,36,1.03,9,0.26,79,2.26,1,0.14,43,6.14,-,-,-,-,76,9.5,-,-,123,15.38
Yamagata,13920,296.17,45,1.55,322,11.1,3756,129.52,4821,166.24,249,8.59,18,0.62,1196,41.24,410,14.14,7,0.24,2,0.07,1367,47.14,-,-,25,3.13,2,0.2,4,0.4,45,4.5,4,0.4,9,0.9
Fukushima,22958,298.16,289,6.28,391,8.5,1942,42.22,4262,92.65,439,9.54,21,0.46,589,12.8,576,12.52,14,0.3,7,0.15,195,4.24,-,-,190,15.83,2,0.29,5,0.71,45,6.43,-,-,34,4.86
Ibaraki,33059,275.49,196,2.61,411,5.48,3148,41.97,9801,130.68,653,8.71,82,1.09,491,6.55,443,5.91,7,0.09,36,0.48,1426,19.01,1,0.06,317,18.65,-,-,4,0.31,115,8.85,-,-,28,2.15
Tochigi,18769,246.96,118,2.46,148,3.08,1908,39.75,3378,70.38,315,6.56,24,0.5,643,13.4,494,10.29,6,0.13,7,0.15,580,12.08,3,0.25,180,15,4,0.57,6,0.86,76,10.86,2,0.29,28,4
Gunma,27267,290.07,186,3.26,315,5.53,3805,66.75,6899,121.04,447,7.84,21,0.37,586,10.28,564,9.89,40,0.7,25,0.44,409,7.18,-,-,206,14.71,2,0.25,3,0.38,133,16.63,-,-,59,7.38
Saitama,84751,337.65,512,3.24,1104,6.99,9821,62.16,21986,139.15,1995,12.63,133,0.84,1372,8.68,1665,10.54,26,0.16,78,0.49,3339,21.13,24,0.6,491,12.28,3,0.3,5,0.5,96,9.6,11,1.1,37,3.7
Chiba,70773,332.27,368,2.75,797,5.95,9286,69.3,16556,123.55,1347,10.05,111,0.83,1320,9.85,1221,9.11,34,0.25,58,0.43,3094,23.09,11,0.33,436,13.21,11,1.22,28,3.11,79,8.78,2,0.22,24,2.67
Tokyo,109004,263.93,950,3.65,1590,6.12,14867,57.18,36381,139.93,2317,8.91,262,1.01,1401,5.39,2726,10.48,49,0.19,137,0.53,2779,10.69,4,0.11,426,11.21,14,0.56,20,0.8,241,9.64,18,0.72,83,3.32
Kanagawa,100219,293.9,629,2.95,1046,4.91,9364,43.96,27657,129.85,2206,10.36,156,0.73,758,3.56,2126,9.98,39,0.18,104,0.49,2869,13.47,24,0.5,1346,28.04,3,0.3,19,1.9,67,6.7,1,0.1,56,5.6
