"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22nd week, 2016",,,,,,"Data collected as of June 8, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1580986,319.46,22941,7.27,27410,8.68,186318,59.02,442960,140.31,28454,9.01,3868,1.23,32833,10.4,31007,9.82,1031,0.33,4341,1.38,58993,18.69,189,0.27,9603,13.92,189,0.4,437,0.92,5299,11.18,170,0.36,4698,9.91
Hokkaido,83322,370.32,918,6.46,1167,8.22,15322,107.9,10226,72.01,1294,9.11,138,0.97,2442,17.2,835,5.88,35,0.25,31,0.22,4305,30.32,-,-,196,7,4,0.18,17,0.77,293,13.32,3,0.14,296,13.45
Aomori,17461,268.63,105,2.5,314,7.48,1514,36.05,3813,90.79,236,5.62,19,0.45,303,7.21,358,8.52,2,0.05,11,0.26,572,13.62,1,0.09,116,10.55,8,1.33,8,1.33,105,17.5,-,-,98,16.33
Iwate,21195,331.17,169,4.23,197,4.93,3653,91.33,6150,153.75,283,7.08,19,0.48,188,4.7,327,8.18,8,0.2,9,0.23,328,8.2,4,0.29,148,10.57,3,0.16,6,0.32,162,8.53,1,0.05,136,7.16
Miyagi,28000,294.74,265,4.49,340,5.76,5320,90.17,8675,147.03,619,10.49,19,0.32,236,4,654,11.08,9,0.15,16,0.27,498,8.44,-,-,58,4.83,4,0.33,-,-,154,12.83,-,-,11,0.92
Akita,14286,264.56,64,1.83,180,5.14,1082,30.91,3189,91.11,198,5.66,15,0.43,1303,37.23,182,5.2,45,1.29,9,0.26,88,2.51,1,0.14,50,7.14,-,-,-,-,78,9.75,-,-,125,15.63
Yamagata,13925,296.28,45,1.55,343,11.83,3902,134.55,5058,174.41,254,8.76,19,0.66,1233,42.52,424,14.62,7,0.24,3,0.1,1449,49.97,-,-,27,3.38,2,0.2,4,0.4,45,4.5,4,0.4,9,0.9
Fukushima,23012,298.86,299,6.5,454,9.87,2026,44.04,4488,97.57,453,9.85,21,0.46,610,13.26,618,13.43,15,0.33,8,0.17,203,4.41,-,-,195,16.25,3,0.43,5,0.71,48,6.86,-,-,38,5.43
Ibaraki,33070,275.58,198,2.64,451,6.01,3349,44.65,10229,136.39,684,9.12,87,1.16,515,6.87,471,6.28,8,0.11,43,0.57,1502,20.03,2,0.12,341,20.06,-,-,4,0.31,121,9.31,-,-,28,2.15
Tochigi,18771,246.99,121,2.52,165,3.44,2019,42.06,3500,72.92,325,6.77,26,0.54,669,13.94,524,10.92,7,0.15,9,0.19,611,12.73,3,0.25,190,15.83,4,0.57,6,0.86,78,11.14,4,0.57,29,4.14
Gunma,27268,290.09,186,3.26,339,5.95,3977,69.77,7233,126.89,464,8.14,24,0.42,623,10.93,604,10.6,42,0.74,27,0.47,437,7.67,-,-,212,15.14,2,0.25,3,0.38,137,17.13,-,-,61,7.63
Saitama,84765,337.71,518,3.28,1246,7.89,10434,66.04,22985,145.47,2098,13.28,151,0.96,1405,8.89,1813,11.47,29,0.18,109,0.69,3586,22.7,24,0.6,511,12.78,3,0.3,6,0.6,99,9.9,11,1.1,38,3.8
Chiba,70811,332.45,371,2.77,903,6.74,9836,73.4,17300,129.1,1406,10.49,133,0.99,1359,10.14,1309,9.77,35,0.26,77,0.57,3287,24.53,11,0.33,453,13.73,12,1.33,29,3.22,83,9.22,2,0.22,26,2.89
Tokyo,109038,264.01,962,3.71,1799,6.95,15715,60.68,38160,147.34,2422,9.35,305,1.18,1443,5.57,2941,11.36,51,0.2,201,0.78,2923,11.29,4,0.11,451,11.87,16,0.64,20,0.8,248,9.92,19,0.76,85,3.4
Kanagawa,100245,294.84,634,2.98,1215,5.7,9935,46.64,28934,135.84,2313,10.86,172,0.81,783,3.68,2261,10.62,44,0.21,154,0.72,3112,14.61,26,0.53,1450,29.59,3,0.3,19,1.9,70,7,1,0.1,57,5.7
Niigata,35787,384.81,355,6.12,973,16.78,4532,78.14,9342,161.07,592,10.21,51,0.88,323,5.57,546,9.41,39,0.67,21,0.36,1484,25.59,12,1.2,161,16.1,3,0.23,4,0.31,80,6.15,41,3.15,50,3.85
Toyama,14096,299.91,85,3.04,349,12.46,2359,84.25,3940,140.71,293,10.46,57,2.04,415,14.82,274,9.79,5,0.18,23,0.82,561,20.04,-,-,18,2.57,-,-,2,0.4,89,17.8,1,0.2,22,4.4
Ishikawa,16544,344.67,32,1.1,630,21.72,1863,64.24,3097,106.79,174,6,18,0.62,350,12.07,234,8.07,-,-,8,0.28,1484,51.17,-,-,37,5.29,3,0.6,6,1.2,109,21.8,-,-,28,5.6
