"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31st week, 2016",,,,,,"Data collected as of August 10, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1582883,320.03,27852,8.82,44642,14.14,254057,80.45,577196,182.77,39486,12.5,19762,6.26,43038,13.63,46773,14.81,1817,0.58,78171,24.75,91812,29.07,253,0.37,14502,20.99,287,0.61,750,1.58,8669,18.29,219,0.46,4999,10.55
Hokkaido,83458,370.92,1380,9.72,2086,14.69,20066,141.31,13869,97.67,2098,14.77,347,2.44,2864,20.17,1299,9.15,54,0.38,918,6.46,6298,44.35,-,-,310,11.07,7,0.32,22,1,642,29.18,5,0.23,367,16.68
Aomori,17486,269.02,159,3.79,498,11.86,2099,49.98,4900,116.67,359,8.55,56,1.33,473,11.26,553,13.17,4,0.1,114,2.71,771,18.36,3,0.27,158,14.36,9,1.5,11,1.83,136,22.67,-,-,105,17.5
Iwate,21213,331.45,185,4.63,387,9.68,4706,117.65,7607,190.18,425,10.63,48,1.2,229,5.73,512,12.8,8,0.2,169,4.23,580,14.5,4,0.29,229,16.36,4,0.21,4,0.21,224,11.79,1,0.05,162,8.53
Miyagi,28054,295.31,324,5.49,624,10.58,6961,117.98,11193,189.71,980,16.61,406,6.88,289,4.9,1007,17.07,12,0.2,1061,17.98,733,12.42,-,-,81,6.75,8,0.67,-,-,224,18.67,-,-,13,1.08
Akita,14323,265.24,70,2,249,7.11,1617,46.2,4067,116.2,296,8.46,86,2.46,1466,41.89,284,8.11,126,3.6,85,2.43,163,4.66,1,0.14,71,10.14,-,-,-,-,120,15,-,-,139,17.38
Yamagata,13929,296.36,76,2.62,594,20.48,5008,172.69,6273,216.31,360,12.41,91,3.14,1427,49.21,614,21.17,13,0.45,760,26.21,1959,67.55,-,-,43,5.38,3,0.3,6,0.6,69,6.9,4,0.4,17,1.7
Fukushima,23124,300.31,393,8.54,859,18.67,2719,59.11,5715,124.24,659,14.33,84,1.83,874,19,893,19.41,17,0.37,698,15.17,289,6.28,-,-,310,25.83,6,0.86,6,0.86,77,11,7,1,60,8.57
Ibaraki,33101,275.84,224,2.99,782,10.43,4601,61.35,13090,174.53,937,12.49,579,7.72,676,9.01,724,9.65,17,0.23,1350,18,2205,29.4,2,0.12,568,33.41,2,0.15,8,0.62,179,13.77,-,-,35,2.69
Tochigi,18804,250.72,138,2.88,313,6.52,2856,59.5,4331,90.23,454,9.46,329,6.85,1129,23.52,785,16.35,10,0.21,1279,26.65,921,19.19,4,0.33,274,22.83,5,0.71,15,2.14,113,16.14,4,0.57,34,4.86
Gunma,27278,290.19,214,3.75,616,10.81,5497,96.44,9486,166.42,650,11.4,98,1.72,996,17.47,880,15.44,79,1.39,1466,25.72,809,14.19,1,0.07,318,22.71,2,0.25,3,0.38,218,27.25,1,0.13,69,8.63
Saitama,84813,339.25,689,4.33,2240,14.09,14865,93.49,30954,194.68,2900,18.24,1084,6.82,1679,10.56,2741,17.24,52,0.33,5150,32.39,5742,36.11,33,0.83,766,19.15,4,0.4,18,1.8,160,16,13,1.3,43,4.3
Chiba,70880,332.77,502,3.75,1552,11.58,14254,106.37,22525,168.1,2005,14.96,1771,13.22,1719,12.83,1995,14.89,65,0.49,3531,26.35,4544,33.91,14,0.41,716,21.06,12,1.33,45,5,148,16.44,2,0.22,29,3.22
Tokyo,109131,264.24,1326,5.12,3383,13.06,22057,85.16,51128,197.41,3379,13.05,1897,7.32,1869,7.22,4484,17.31,99,0.38,8395,32.41,4758,18.37,8,0.21,721,18.97,26,1.04,35,1.4,398,15.92,26,1.04,90,3.6
Kanagawa,100327,296.83,819,3.85,2454,11.52,14458,67.88,38029,178.54,3245,15.23,1292,6.07,1107,5.2,3407,16,60,0.28,6764,31.76,5515,25.89,36,0.73,2506,51.14,5,0.5,26,2.6,107,10.7,1,0.1,64,6.4
Niigata,35828,389.43,491,8.47,1521,26.22,5766,99.41,12139,209.29,742,12.79,195,3.36,556,9.59,882,15.21,86,1.48,2193,37.81,2543,43.84,14,1.4,217,21.7,6,0.46,7,0.54,115,8.85,53,4.08,55,4.23
Toyama,14101,300.02,110,3.93,487,17.39,2764,98.71,5091,181.82,365,13.04,100,3.57,600,21.43,416,14.86,7,0.25,557,19.89,1112,39.71,1,0.14,24,3.43,-,-,2,0.4,131,26.2,1,0.2,24,4.8
Ishikawa,16549,344.77,40,1.38,870,30,2372,81.79,4040,139.31,214,7.38,82,2.83,448,15.45,371,12.79,-,-,449,15.48,1777,61.28,-,-,51,7.29,5,1,11,2.2,156,31.2,-,-,29,5.8
Fukui,12538,391.81,96,4.36,630,28.64,1884,85.64,4552,206.91,279,12.68,56,2.55,594,27,321,14.59,22,1,541,24.59,224,10.18,1,0.33,13,4.33,4,0.67,7,1.17,73,12.17,3,0.5,34,5.67
Yamanashi,13234,330.85,103,4.29,279,11.63,2045,85.21,3463,144.29,213,8.88,110,4.58,471,19.63,228,9.5,17,0.71,553,23.04,174,7.25,2,0.22,86,9.56,4,0.4,12,1.2,84,8.4,3,0.3,27,2.7
Nagano,33244,386.56,383,7.23,338,6.38,4561,86.06,10379,195.83,564,10.64,213,4.02,1035,19.53,639,12.06,84,1.58,868,16.38,1599,30.17,1,0.09,138,12.55,3,0.27,3,0.27,189,17.18,-,-,122,11.09
Gifu,31130,357.82,219,4.13,440,8.3,2265,42.74,5897,111.26,298,5.62,319,6.02,319,6.02,496,9.36,26,0.49,649,12.25,571,10.77,1,0.09,70,6.36,1,0.2,15,3,232,46.4,-,-,76,15.2
Shizuoka,43436,312.49,557,6.26,1121,12.6,10722,120.47,15052,169.12,968,10.88,313,3.52,709,7.97,1157,13,31,0.35,2759,31,2349,26.39,5,0.24,255,12.14,4,0.4,15,1.5,311,31.1,33,3.3,22,2.2
Aichi,85316,437.52,1179,6.51,1746,9.65,11846,65.45,26425,145.99,1682,9.29,590,3.26,2407,13.3,2104,11.62,70,0.39,3818,21.09,2919,16.13,9,0.26,566,16.65,14,1,30,2.14,330,23.57,3,0.21,359,25.64
