"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33rd week, 2016",,,,,,"Data collected as of August 24, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1583111,320.53,30106,9.55,46936,14.88,260407,82.56,595496,188.81,41103,13.03,23118,7.33,43984,13.95,49512,15.7,1919,0.61,90785,28.78,98432,31.21,262,0.38,15474,22.43,304,0.64,832,1.76,9533,20.11,230,0.49,5011,10.57
Hokkaido,83463,370.95,1573,11.08,2181,15.36,20474,144.18,14217,100.12,2160,15.21,456,3.21,2905,20.46,1383,9.74,57,0.4,1994,14.04,6598,46.46,-,-,321,11.46,7,0.32,23,1.05,663,30.14,5,0.23,370,16.82
Aomori,17490,269.08,178,4.24,517,12.31,2171,51.69,5063,120.55,372,8.86,82,1.95,485,11.55,600,14.29,5,0.12,212,5.05,800,19.05,3,0.27,165,15,10,1.67,13,2.17,143,23.83,-,-,107,17.83
Iwate,21213,331.45,201,5.03,414,10.35,4842,121.05,7795,194.88,441,11.03,65,1.63,235,5.88,540,13.5,8,0.2,306,7.65,636,15.9,4,0.29,242,17.29,5,0.26,5,0.26,246,12.95,1,0.05,164,8.63
Miyagi,28056,295.33,341,5.78,646,10.95,7127,120.8,11424,193.63,1012,17.15,621,10.53,294,4.98,1063,18.02,17,0.29,1613,27.34,762,12.92,-,-,83,6.92,8,0.67,-,-,244,20.33,-,-,14,1.17
Akita,14324,265.26,71,2.03,268,7.66,1698,48.51,4171,119.17,316,9.03,128,3.66,1479,42.26,320,9.14,129,3.69,194,5.54,178,5.09,1,0.14,74,10.57,-,-,1,0.13,129,16.13,-,-,139,17.38
Yamagata,13929,296.36,110,3.79,610,21.03,5108,176.14,6389,220.31,366,12.62,134,4.62,1438,49.59,648,22.34,14,0.48,1299,44.79,2061,71.07,-,-,44,5.5,3,0.3,8,0.8,79,7.9,4,0.4,18,1.8
Fukushima,23125,300.32,437,9.5,887,19.28,2819,61.28,5839,126.93,690,15,131,2.85,897,19.5,955,20.76,18,0.39,1134,24.65,300,6.52,-,-,323,26.92,6,0.86,7,1,82,11.71,7,1,60,8.57
Ibaraki,33104,275.87,237,3.16,803,10.71,4758,63.44,13499,179.99,962,12.83,704,9.39,685,9.13,750,10,20,0.27,1632,21.76,2319,30.92,2,0.12,623,36.65,2,0.15,9,0.69,194,14.92,-,-,35,2.69
Tochigi,18804,250.72,145,3.02,322,6.71,2895,60.31,4413,91.94,471,9.81,416,8.67,1164,24.25,824,17.17,11,0.23,1574,32.79,978,20.38,4,0.33,303,25.25,5,0.71,16,2.29,121,17.29,4,0.57,34,4.86
Gunma,27278,290.19,254,4.46,635,11.14,5623,98.65,9723,170.58,672,11.79,109,1.91,1018,17.86,922,16.18,87,1.53,1752,30.74,907,15.91,1,0.07,342,24.43,3,0.38,3,0.38,244,30.5,1,0.13,69,8.63
Saitama,84813,340.61,761,4.82,2306,14.59,15183,96.09,31764,201.04,3001,18.99,1260,7.97,1696,10.73,2852,18.05,53,0.34,5991,37.92,6037,38.21,33,0.83,794,19.85,4,0.4,19,1.9,181,18.1,16,1.6,43,4.3
Chiba,70885,334.36,552,4.12,1617,12.07,14649,109.32,23011,171.72,2065,15.41,2115,15.78,1753,13.08,2095,15.63,71,0.53,4126,30.79,4698,35.06,15,0.45,776,23.52,13,1.44,46,5.11,166,18.44,2,0.22,29,3.22
Tokyo,109141,265.55,1527,5.92,3519,13.64,22519,87.28,52645,204.05,3512,13.61,2210,8.57,1926,7.47,4674,18.12,101,0.39,9598,37.2,5120,19.84,9,0.24,767,20.18,27,1.08,43,1.72,447,17.88,27,1.08,90,3.6
Kanagawa,100349,299.55,921,4.36,2552,12.09,14742,69.87,39072,185.18,3354,15.9,1496,7.09,1154,5.47,3567,16.91,62,0.29,7840,37.16,5985,28.36,37,0.76,2627,53.61,5,0.5,27,2.7,116,11.6,1,0.1,64,6.4
Niigata,35835,389.51,567,9.78,1553,26.78,5866,101.14,12354,213,759,13.09,236,4.07,586,10.1,947,16.33,90,1.55,2808,48.41,2814,48.52,14,1.4,235,23.5,6,0.46,8,0.62,125,9.62,55,4.23,55,4.23
Toyama,14104,300.09,129,4.61,502,17.93,2795,99.82,5248,187.43,379,13.54,109,3.89,615,21.96,432,15.43,8,0.29,767,27.39,1220,43.57,1,0.14,24,3.43,-,-,2,0.4,141,28.2,1,0.2,24,4.8
Ishikawa,16555,344.9,55,1.9,902,31.1,2430,83.79,4192,144.55,223,7.69,125,4.31,455,15.69,399,13.76,-,-,604,20.83,1837,63.34,-,-,53,7.57,5,1,12,2.4,168,33.6,-,-,29,5.8
Fukui,12538,391.81,105,4.77,693,31.5,1916,87.09,4733,215.14,286,13,64,2.91,600,27.27,338,15.36,22,1,611,27.77,259,11.77,1,0.33,14,4.67,4,0.67,7,1.17,87,14.5,3,0.5,34,5.67
Yamanashi,13234,330.85,103,4.29,290,12.08,2086,86.92,3568,148.67,229,9.54,178,7.42,492,20.5,239,9.96,19,0.79,740,30.83,195,8.13,3,0.33,88,9.78,4,0.4,15,1.5,88,8.8,3,0.3,27,2.7
Nagano,33244,386.56,388,7.32,371,7,4676,88.23,10651,200.96,587,11.08,272,5.13,1055,19.91,687,12.96,87,1.64,1347,25.42,1729,32.62,1,0.09,153,13.91,3,0.27,4,0.36,210,19.09,-,-,122,11.09
