"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37th week, 2016",,,,,,"Data collected as of September 21, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1582854,321,42291,13.43,51814,16.45,277191,88.03,641512,203.72,44189,14.03,32062,10.18,45946,14.59,56315,17.88,2205,0.7,112576,35.75,111154,35.3,298,0.43,18108,26.24,351,0.74,986,2.08,11215,
Hokkaido,83464,370.95,2172,15.3,2281,16.06,21670,152.61,14982,105.51,2270,15.99,829,5.84,2991,21.06,1561,10.99,68,0.48,6091,42.89,6998,49.28,-,-,369,13.18,7,0.32,33,1.5,760,
Aomori,17491,269.09,430,10.24,538,12.81,2355,56.07,5473,130.31,400,9.52,212,5.05,519,12.36,661,15.74,14,0.33,653,15.55,864,20.57,4,0.36,184,16.73,13,2.17,15,2.5,163,
Iwate,21213,331.45,524,13.1,454,11.35,5173,129.33,8326,208.15,455,11.38,130,3.25,243,6.08,627,15.68,8,0.2,799,19.98,724,18.1,4,0.29,259,18.5,5,0.26,5,0.26,285,
Miyagi,28061,295.38,691,11.71,666,11.29,7496,127.05,12037,204.02,1086,18.41,1312,22.24,310,5.25,1218,20.64,20,0.34,3045,51.61,816,13.83,-,-,89,7.42,8,0.67,-,-,284,
Akita,14327,265.31,108,3.09,292,8.34,1842,52.63,4452,127.2,346,9.89,200,5.71,1489,42.54,368,10.51,138,3.94,658,18.8,201,5.74,1,0.14,76,10.86,-,-,1,0.13,148,
Yamagata,13930,296.38,326,11.24,629,21.69,5382,185.59,6727,231.97,381,13.14,262,9.03,1445,49.83,726,25.03,14,0.48,2386,82.28,2265,78.1,-,-,54,6.75,6,0.6,10,1,97,
Fukushima,23128,300.36,748,16.26,925,20.11,3027,65.8,6169,134.11,728,15.83,270,5.87,940,20.43,1084,23.57,23,0.5,2066,44.91,340,7.39,-,-,352,29.33,7,1,9,1.29,107,
Ibaraki,33150,276.25,441,5.88,843,11.24,5090,67.87,14622,194.96,1020,13.6,1040,13.87,705,9.4,854,11.39,31,0.41,1979,26.39,2455,32.73,2,0.12,729,42.88,2,0.15,10,0.77,226,
Tochigi,18828,251.04,309,6.44,336,7,3007,62.65,4605,95.94,499,10.4,594,12.38,1238,25.79,929,19.35,13,0.27,1954,40.71,1084,22.58,5,0.42,353,29.42,5,0.71,19,2.71,149,
Gunma,27287,290.29,645,11.32,668,11.72,6003,105.32,10463,183.56,717,12.58,195,3.42,1065,18.68,1047,18.37,95,1.67,2158,37.86,1104,19.37,2,0.14,400,28.57,3,0.38,5,0.63,310,
Saitama,84834,340.7,1334,8.44,2509,15.88,16103,101.92,34193,216.41,3175,20.09,1780,11.27,1777,11.25,3200,20.25,56,0.35,6997,44.28,6649,42.08,36,0.9,931,23.28,5,0.5,21,2.1,215,
Chiba,70932,334.58,1155,8.68,1705,12.82,15724,118.23,24618,185.1,2204,16.57,2871,21.59,1808,13.59,2382,17.91,85,0.64,4878,36.68,4984,37.47,15,0.45,898,27.21,17,1.89,49,5.44,197,
Tokyo,109254,265.82,3037,11.77,3834,14.86,23855,92.46,56910,220.58,3749,14.53,3302,12.8,2059,7.98,5333,20.67,113,0.44,11389,44.14,5803,22.49,9,0.24,887,23.34,30,1.2,54,2.16,540,
Kanagawa,100433,300.7,1807,8.56,2720,12.89,15663,74.23,42001,199.06,3579,16.96,2112,10.01,1221,5.79,4074,19.31,76,0.36,9277,43.97,6836,32.4,46,0.94,2980,60.82,6,0.6,30,3,142,
Niigata,35838,389.54,1261,21.74,1621,27.95,6114,105.41,13042,224.86,815,14.05,330,5.69,631,10.88,1072,18.48,107,1.84,3632,62.62,3529,60.84,14,1.4,248,24.8,7,0.54,10,0.77,152,
Toyama,14107,300.15,269,9.61,534,19.07,2872,102.57,5597,199.89,398,14.21,138,4.93,633,22.61,481,17.18,9,0.32,1077,38.46,1573,56.18,1,0.14,26,3.71,1,0.2,3,0.6,155,
Ishikawa,16555,344.9,237,8.17,942,32.48,2586,89.17,4581,157.97,262,9.03,256,8.83,463,15.97,459,15.83,-,-,856,29.52,1979,68.24,-,-,60,8.57,5,1,12,2.4,197,
Fukui,12539,391.84,169,7.68,854,38.82,2035,92.5,5185,235.68,310,14.09,78,3.55,607,27.59,372,16.91,27,1.23,698,31.73,339,15.41,1,0.33,14,4.67,6,1,7,1.17,110,
Yamanashi,13238,330.95,149,6.21,318,13.25,2193,91.38,3844,160.17,261,10.88,226,9.42,509,21.21,288,12,24,1,987,41.13,233,9.71,3,0.33,103,11.44,4,0.4,17,1.7,114,
Nagano,33245,386.57,431,8.13,402,7.58,4979,93.94,11272,212.68,624,11.77,431,8.13,1088,20.53,769,14.51,94,1.77,2295,43.3,1999,37.72,1,0.09,237,21.55,3,0.27,4,0.36,252,
Gifu,31140,362.09,290,5.58,520,10,2519,48.44,6547,125.9,378,7.27,506,9.73,334,6.42,597,11.48,30,0.58,979,18.83,844,16.23,2,0.18,113,10.27,1,0.2,20,4,311,
Shizuoka,43484,312.83,774,8.7,1298,14.58,11545,129.72,16756,188.27,1043,11.72,575,6.46,741,8.33,1369,15.38,37,0.42,3434,38.58,2706,30.4,7,0.33,334,15.9,5,0.5,21,2.1,370,
Aichi,85365,437.77,1431,7.91,2068,11.43,12989,71.76,29351,162.16,1938,10.71,900,4.97,2610,14.42,2566,14.18,81,0.45,4900,27.07,3754,20.74,11,0.32,772,22.71,23,1.64,44,3.14,452,
Mie,23444,325.61,679,15.09,890,19.78,2365,52.56,9839,218.64,466,10.36,204,4.53,1264,28.09,829,18.42,29,0.64,2226,49.47,449,9.98,8,0.67,71,5.92,9,1,27,3,171,
Shiga,15398,296.12,234,7.31,368,11.5,1728,54,7035,219.84,564,17.63,324,10.13,215,6.72,464,14.5,8,0.25,1464,45.75,776,24.25,-,-,61,7.63,7,1,14,2,71,
Kyoto,33849,275.2,376,5.08,842,11.38,3765,50.88,15667,211.72,853,11.53,1296,17.51,742,10.03,917,12.39,19,0.26,1762,23.81,2619,35.39,2,0.12,136,8,-,-,12,1.71,135,
