"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40th week, 2016",,,,,,"Data collected as of October 12, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1571721,320.69,58872,18.8,54107,17.28,289339,92.41,670442,214.13,46638,14.9,42138,13.46,46919,14.99,60516,19.33,2340,0.75,121216,38.71,120942,38.63,333,0.48,20062,29.12,388,0.83,1064,2.27,12727,27.19,251,0.54,4821,10.3
Hokkaido,83473,370.99,2769,19.5,2329,16.4,22625,159.33,15444,108.76,2399,16.89,1032,7.27,3005,21.16,1688,11.89,72,0.51,6963,49.04,7317,51.53,1,0.04,416,14.86,9,0.41,36,1.64,926,42.09,6,0.27,371,16.86
Aomori,17492,269.11,623,14.83,543,12.93,2496,59.43,5698,135.67,413,9.83,263,6.26,538,12.81,705,16.79,15,0.36,876,20.86,909,21.64,4,0.36,197,17.91,14,2.33,16,2.67,198,33,-,-,110,18.33
Iwate,21220,331.56,778,19.45,485,12.13,5379,134.48,8592,214.8,466,11.65,190,4.75,251,6.28,672,16.8,10,0.25,1012,25.3,783,19.58,4,0.29,271,19.36,6,0.32,5,0.26,333,17.53,1,0.05,168,8.84
Miyagi,28076,295.54,1311,22.22,674,11.42,7781,131.88,12431,210.69,1113,18.86,1840,31.19,319,5.41,1305,22.12,21,0.36,3638,61.66,852,14.44,-,-,96,8,9,0.75,2,0.17,339,28.25,-,-,15,1.25
Akita,14328,265.33,256,7.31,303,8.66,1981,56.6,4604,131.54,358,10.23,238,6.8,1492,42.63,392,11.2,142,4.06,840,24,223,6.37,1,0.14,78,11.14,1,0.13,1,0.13,169,21.13,-,-,139,17.38
Yamagata,13931,296.4,720,24.83,644,22.21,5611,193.48,6875,237.07,400,13.79,309,10.66,1451,50.03,773,26.66,16,0.55,2782,95.93,2419,83.41,1,0.13,57,7.13,6,0.6,11,1.1,104,10.4,4,0.4,18,1.8
Fukushima,23132,300.42,1157,25.15,946,20.57,3188,69.3,6369,138.46,748,16.26,382,8.3,973,21.15,1166,25.35,24,0.52,2390,51.96,378,8.22,-,-,378,31.5,7,1,12,1.71,136,19.43,8,1.14,60,8.57
Ibaraki,33244,277.03,831,11.08,866,11.55,5389,71.85,15368,204.91,1073,14.31,1436,19.15,714,9.52,918,12.24,35,0.47,2133,28.44,2531,33.75,4,0.24,790,46.47,2,0.15,11,0.85,273,21,-,-,35,2.69
Tochigi,18862,251.49,634,13.21,345,7.19,3112,64.83,4785,99.69,531,11.06,752,15.67,1275,26.56,1002,20.88,13,0.27,2100,43.75,1165,24.27,6,0.5,420,35,5,0.71,20,2.86,170,24.29,5,0.71,35,5
Gunma,27312,290.55,1049,18.4,701,12.3,6325,110.96,10967,192.4,757,13.28,322,5.65,1099,19.28,1113,19.53,99,1.74,2378,41.72,1255,22.02,2,0.14,446,31.86,3,0.38,7,0.88,377,47.13,1,0.13,70,8.75
Saitama,84916,341.03,2331,14.75,2603,16.47,16836,106.56,35939,227.46,3350,21.2,2471,15.64,1811,11.46,3457,21.88,62,0.39,7406,46.87,7096,44.91,39,0.98,1013,25.33,5,0.5,23,2.3,252,25.2,22,2.2,45,4.5
Chiba,71037,335.08,1977,14.75,1753,13.08,16611,123.96,25670,191.57,2308,17.22,3884,28.99,1852,13.82,2551,19.04,92,0.69,5288,39.46,5215,38.92,16,0.48,964,29.21,18,2,58,6.44,236,26.22,3,0.33,30,3.33
Tokyo,109452,266.31,4936,19.13,4023,15.59,24975,96.8,60118,233.02,4007,15.53,4593,17.8,2111,8.18,5770,22.36,123,0.48,12397,48.05,6425,24.9,9,0.24,962,25.32,33,1.32,61,2.44,644,25.76,35,1.4,93,3.72
Kanagawa,100591,301.17,2896,13.73,2854,13.53,16512,78.26,44184,209.4,3775,17.89,2987,14.16,1273,6.03,4420,20.95,86,0.41,9891,46.88,7526,35.67,55,1.12,3229,65.9,7,0.7,39,3.9,166,16.6,1,0.1,64,6.4
Niigata,35868,389.87,2076,35.79,1660,28.62,6323,109.02,13400,231.03,855,14.74,413,7.12,673,11.6,1155,19.91,125,2.16,3903,67.29,4195,72.33,14,1.4,263,26.3,7,0.54,10,0.77,179,13.77,66,5.08,56,4.31
Toyama,14107,300.15,461,16.46,551,19.68,2922,104.36,5895,210.54,423,15.11,149,5.32,640,22.86,507,18.11,20,0.71,1147,40.96,1827,65.25,1,0.14,29,4.14,1,0.2,4,0.8,166,33.2,2,0.4,25,5
Ishikawa,16571,345.23,619,21.34,963,33.21,2717,93.69,4875,168.1,307,10.59,353,12.17,466,16.07,497,17.14,1,0.03,916,31.59,2089,72.03,-,-,68,9.71,6,1.2,12,2.4,225,45,-,-,29,5.8
Fukui,12542,391.94,313,14.23,899,40.86,2092,95.09,5473,248.77,335,15.23,101,4.59,610,27.73,396,18,28,1.27,750,34.09,383,17.41,1,0.33,14,4.67,8,1.33,7,1.17,131,21.83,4,0.67,36,6
Yamanashi,13244,331.1,227,9.46,325,13.54,2257,94.04,4019,167.46,279,11.63,290,12.08,514,21.42,304,12.67,26,1.08,1064,44.33,281,11.71,3,0.33,119,13.22,4,0.4,19,1.9,141,14.1,3,0.3,27,2.7
Nagano,33249,386.62,550,10.38,423,7.98,5197,98.06,11676,220.3,658,12.42,563,10.62,1105,20.85,816,15.4,102,1.92,2626,49.55,2227,42.02,1,0.09,322,29.27,3,0.27,4,0.36,272,24.73,-,-,122,11.09
Gifu,31170,362.44,389,7.48,557,10.71,2614,50.27,6891,132.52,418,8.04,680,13.08,345,6.63,635,12.21,31,0.6,1068,20.54,1011,19.44,2,0.18,180,16.36,1,0.2,21,4.2,368,73.6,-,-,76,15.2
Shizuoka,43545,313.27,1159,13.02,1373,15.43,12157,136.6,17579,197.52,1075,12.08,848,9.53,750,8.43,1481,16.64,39,0.44,3599,40.44,2927,32.89,8,0.38,385,18.33,5,0.5,24,2.4,410,41,40,4,22,2.2
Aichi,85499,438.46,2104,11.62,2172,12,13693,75.65,30912,170.78,2087,11.53,1308,7.23,2671,14.76,2751,15.2,89,0.49,5319,29.39,4137,22.86,11,0.32,892,26.24,25,1.79,44,3.14,521,37.21,4,0.29,359,25.64
Mie,23457,325.79,948,21.07,925,20.56,2483,55.18,10361,230.24,490,10.89,255,5.67,1312,29.16,893,19.84,32,0.71,2295,51,498,11.07,9,0.75,76,6.33,11,1.22,31,3.44,187,20.78,16,1.78,21,2.33
Shiga,15404,296.23,274,8.84,377,12.16,1789,57.71,7334,236.58,598,19.29,391,12.61,222,7.16,502,16.19,9,0.29,1499,48.35,893,28.81,-,-,62,7.75,8,1.14,14,2,78,11.14,-,-,98,14
Kyoto,33857,275.26,610,8.13,955,12.73,3965,52.87,16382,218.43,925,12.33,1481,19.75,748,9.97,978,13.04,20,0.27,1843,24.57,2858,38.11,2,0.12,162,9.53,1,0.14,12,1.71,148,21.14,1,0.14,122,17.43
Osaka,90250,293.97,4121,20.61,3986,19.93,17050,85.25,46697,233.49,3105,15.53,1592,7.96,1858,9.29,3872,19.36,134,0.67,8281,41.41,10422,52.11,25,0.49,1061,20.8,28,1.65,42,2.47,757,44.53,4,0.24,403,23.71
Hyogo,62112,313.7,1934,15.11,2476,19.34,8352,65.25,32535,254.18,2063,16.12,931,7.27,1564,12.22,2122,16.58,86,0.67,4051,31.65,5594,43.7,13,0.38,537,15.79,22,2,25,2.27,319,29,1,0.09,184,16.73
Nara,15275,282.87,629,18.5,600,17.65,2227,65.5,6241,183.56,374,11,180,5.29,814,23.94,722,21.24,10,0.29,1058,31.12,1924,56.59,3,0.33,215,23.89,12,2,11,1.83,199,33.17,1,0.17,99,16.5
Wakayama,11515,230.3,527,17,499,16.1,827,26.68,3970,128.06,364,11.74,85,2.74,786,25.35,580,18.71,13,0.42,1313,42.35,1248,40.26,5,1.25,37,9.25,3,0.27,25,2.27,124,11.27,4,0.36,94,8.55
Tottori,7800,268.97,206,10.84,516,27.16,3652,192.21,4434,233.37,182,9.58,177,9.32,563,29.63,349,18.37,17,0.89,855,45,334,17.58,12,3,206,51.5,4,0.8,11,2.2,135,27,2,0.4,134,26.8
Shimane,7691,202.39,457,19.87,1060,46.09,2186,95.04,7197,312.91,214,9.3,293,12.74,592,25.74,591,25.7,13,0.57,510,22.17,780,33.91,-,-,68,22.67,2,0.25,34,4.25,142,17.75,2,0.25,236,29.5
Okayama,22438,267.12,621,11.5,629,11.65,2214,41,12341,228.54,576,10.67,431,7.98,650,12.04,802,14.85,16,0.3,1652,30.59,2687,49.76,7,0.58,155,12.92,5,1,14,2.8,45,9,1,0.2,25,5
Hiroshima,35514,311.53,1349,19,1771,24.94,5737,80.8,18215,256.55,1000,14.08,367,5.17,1740,24.51,1203,16.94,104,1.46,1501,21.14,2030,28.59,8,0.44,598,33.22,7,0.33,9,0.43,314,14.95,3,0.14,381,18.14
Yamaguchi,24685,363.01,1476,30.75,700,14.58,5344,111.33,10668,222.25,485,10.1,326,6.79,1346,28.04,1040,21.67,30,0.63,1202,25.04,1281,26.69,2,0.22,156,17.33,8,0.89,2,0.22,251,27.89,-,-,108,12
Tokushima,9423,254.68,954,41.48,383,16.65,983,42.74,6693,291,227,9.87,174,7.57,240,10.43,633,27.52,23,1,845,36.74,993,43.17,1,0.25,22,5.5,1,0.14,2,0.29,46,6.57,-,-,58,8.29
Kagawa,13115,279.04,410,14.64,634,22.64,1833,65.46,7558,269.93,282,10.07,322,11.5,518,18.5,559,19.96,32,1.14,1152,41.14,928,33.14,3,0.6,77,15.4,3,0.6,8,1.6,181,36.2,2,0.4,151,30.2
Ehime,21154,346.79,779,21.05,553,14.95,4262,115.19,11746,317.46,475,12.84,473,12.78,793,21.43,968,26.16,28,0.76,1812,48.97,616,16.65,5,0.63,611,76.38,3,0.5,4,0.67,106,17.67,-,-,80,13.33
Kochi,1,0.08,166,23.71,274,39.14,220,31.43,698,99.71,111,15.86,67,9.57,68,9.71,112,16,27,3.86,175,25,180,25.71,-,-,6,0,6,3,8,4,81,40.5,2,1,4,2
Fukuoka,82384,416.08,4197,34.98,3446,28.72,14238,118.65,34565,288.04,2307,19.23,1433,11.94,1985,16.54,3412,28.43,133,1.11,3112,25.93,6466,53.88,18,0.69,1155,44.42,25,1.79,115,8.21,1022,73,1,0.07,25,1.79
Saga,12589,322.79,539,23.43,709,30.83,1614,70.17,3372,146.61,294,12.78,173,7.52,362,15.74,714,31.04,20,0.87,590,25.65,2093,91,-,-,114,28.5,2,0.33,15,2.5,152,25.33,-,-,61,10.17
Nagasaki,23954,347.16,947,21.52,741,16.84,3525,80.11,7027,159.7,651,14.8,284,6.45,401,9.11,789,17.93,10,0.23,441,10.02,1880,42.73,4,0.5,721,90.13,2,0.17,51,4.25,346,28.83,-,-,53,4.42
Kumamoto,22801,288.62,1562,31.88,780,15.92,2715,55.41,15711,320.63,551,11.24,859,17.53,1411,28.8,1416,28.9,15,0.31,1652,33.71,3449,70.39,3,0.33,689,76.56,10,0.67,73,4.87,284,18.93,2,0.13,176,11.73
Oita,19684,339.38,878,24.39,739,20.53,4823,133.97,15448,429.11,855,23.75,293,8.14,685,19.03,1105,30.69,50,1.39,1683,46.75,635,17.64,4,0.8,127,25.4,-,-,-,-,262,23.82,2,0.18,20,1.82
