"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2016",,,,,,"Data collected as of November 2, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1591900,322.38,77184,24.47,56453,17.9,306080,97.05,716289,227.1,49777,15.78,52478,16.64,48128,15.26,64914,20.58,2607,0.83,125825,39.89,131598,41.72,350,0.51,21828,31.59,422,0.89,1179,2.49,14953,31.55,288,0.61,5077,10.71
Hokkaido,83677,371.9,3415,24.05,2422,17.06,23777,167.44,16060,113.1,2693,18.96,1206,8.49,3027,21.32,1826,12.86,80,0.56,7137,50.26,7608,53.58,1,0.04,452,16.14,9,0.41,37,1.68,1055,47.95,6,0.27,372,16.91
Aomori,17492,269.11,764,18.19,561,13.36,2647,63.02,5960,141.9,422,10.05,307,7.31,546,13,755,17.98,16,0.38,962,22.9,972,23.14,4,0.36,222,20.18,14,2.33,16,2.67,246,41,-,-,110,18.33
Iwate,21293,332.7,1058,26.45,524,13.1,5570,139.25,8868,221.7,495,12.38,210,5.25,259,6.48,714,17.85,8,0.2,1084,27.1,865,21.63,5,0.36,278,19.86,6,0.32,5,0.26,394,20.74,1,0.05,168,8.84
Miyagi,28112,295.92,1826,30.95,686,11.63,8186,138.75,12966,219.76,1170,19.83,2134,36.17,329,5.58,1390,23.56,23,0.39,3795,64.32,882,14.95,-,-,107,8.92,12,1,2,0.17,389,32.42,-,-,15,1.25
Akita,14385,266.39,455,13,315,9,2109,60.26,4788,136.8,388,11.09,252,7.2,1496,42.74,412,11.77,144,4.11,910,26,242,6.91,2,0.29,82,11.71,1,0.13,1,0.13,202,25.25,-,-,139,17.38
Yamagata,13953,296.87,1173,40.45,654,22.55,5936,204.69,7107,245.07,426,14.69,351,12.1,1453,50.1,825,28.45,19,0.66,2855,98.45,2548,87.86,1,0.13,61,7.63,6,0.6,12,1.2,117,11.7,4,0.4,19,1.9
Fukushima,23160,300.78,1676,36.43,952,20.7,3361,73.07,6615,143.8,792,17.22,490,10.65,993,21.59,1239,26.93,25,0.54,2479,53.89,411,8.93,-,-,408,34,8,1.14,12,1.71,155,22.14,8,1.14,61,8.71
Ibaraki,33405,278.38,1210,16.13,881,11.75,5701,76.01,16172,215.63,1137,15.16,1678,22.37,738,9.84,979,13.05,37,0.49,2191,29.21,2586,34.48,4,0.24,849,49.94,3,0.23,11,0.85,333,25.62,-,-,35,2.69
