"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50th week, 2016",,,,,,"Data collected as of December 21, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1668396,337.73,100558,31.86,64720,20.51,355684,112.7,1031500,326.84,61870,19.6,67157,21.28,50766,16.09,74188,23.51,2927,0.93,128961,40.86,153999,48.8,386,0.56,25251,36.49,482,1.01,1352,2.85,18912,39.81,342,0.72,5205,10.96
Hokkaido,90555,402.47,4876,34.34,2923,20.58,28381,199.87,20060,141.27,3714,26.15,1582,11.14,3135,22.08,2099,14.78,90,0.63,7272,51.21,8543,60.16,2,0.07,521,17.97,9,0.41,39,1.77,1241,56.41,7,0.32,373,16.95
Aomori,17811,274.02,998,23.76,647,15.4,3049,72.6,7764,184.86,474,11.29,417,9.93,593,14.12,888,21.14,18,0.43,1041,24.79,1066,25.38,4,0.36,261,23.73,14,2.33,17,2.83,306,51,-,-,112,18.67
Iwate,23484,366.94,1312,32.8,707,17.68,6363,159.08,10926,273.15,618,15.45,255,6.38,269,6.73,819,20.48,8,0.2,1146,28.65,1051,26.28,5,0.36,317,22.64,6,0.32,12,0.63,478,25.16,1,0.05,170,8.95
Miyagi,29899,314.73,2162,36.64,746,12.64,9364,158.71,25205,427.2,1455,24.66,2331,39.51,344,5.83,1599,27.1,26,0.44,3834,64.98,968,16.41,-,-,122,10.17,12,1,2,0.17,502,41.83,-,-,20,1.67
Akita,15180,281.11,696,19.89,398,11.37,2568,73.37,6019,171.97,491,14.03,279,7.97,1507,43.06,458,13.09,146,4.17,960,27.43,311,8.89,3,0.43,88,12.57,1,0.13,1,0.13,288,36,-,-,141,17.63
Yamagata,14337,305.04,1576,54.34,719,24.79,7274,250.83,12467,429.9,592,20.41,398,13.72,1464,50.48,945,32.59,20,0.69,2938,101.31,2943,101.48,1,0.13,66,8.25,7,0.7,13,1.3,171,17.1,4,0.4,20,2
Fukushima,25158,326.73,2455,53.37,1019,22.15,4082,88.74,10128,220.17,1013,22.02,614,13.35,1105,24.02,1438,31.26,29,0.63,2515,54.67,492,10.7,-,-,441,36.75,8,1.33,15,2.5,217,36.17,8,1.33,64,10.67
Ibaraki,34979,291.49,1521,20.28,963,12.84,6784,90.45,23203,309.37,1443,19.24,1977,26.36,814,10.85,1110,14.8,39,0.52,2221,29.61,2730,36.4,5,0.29,938,55.18,3,0.23,12,0.92,433,33.31,-,-,35,2.69
Tochigi,22246,296.61,1320,27.5,473,9.85,3694,76.96,9466,197.21,677,14.1,1018,21.21,1319,27.48,1231,25.65,13,0.27,2177,45.35,1310,27.29,6,0.5,535,44.58,5,0.71,25,3.57,243,34.71,7,1,35,5
Gunma,29453,313.33,1495,26.23,909,15.95,7866,138,16360,287.02,925,16.23,728,12.77,1188,20.84,1362,23.89,106,1.86,2565,45,1653,29,2,0.14,631,45.07,4,0.5,10,1.25,619,77.38,1,0.13,73,9.13
