"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51st week, 2016",,,,,,"Data collected as of December 28, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1709920,346.07,102779,32.57,66239,20.99,362952,115,1086299,344.2,63774,20.21,68381,21.67,51167,16.21,75396,23.89,2963,0.94,129173,40.93,156778,49.68,395,0.57,25728,37.18,487,1.03,1364,2.87,19326,40.69,352,0.74,5231,11.01
Hokkaido,93339,414.84,5037,35.47,3007,21.18,29049,204.57,20878,147.03,3867,27.23,1612,11.35,3151,22.19,2133,15.02,91,0.64,7280,51.27,8635,60.81,2,0.07,527,18.17,10,0.45,39,1.77,1261,57.32,7,0.32,373,16.95
Aomori,17947,276.11,1015,24.17,669,15.93,3115,74.17,8143,193.88,483,11.5,424,10.1,600,14.29,901,21.45,18,0.43,1045,24.88,1085,25.83,4,0.36,263,23.91,14,2.33,17,2.83,319,53.17,-,-,112,18.67
Iwate,24087,376.36,1335,33.38,734,18.35,6483,162.08,11532,288.3,632,15.8,255,6.38,271,6.78,833,20.83,9,0.23,1150,28.75,1080,27,5,0.36,324,23.14,6,0.32,12,0.63,483,25.42,1,0.05,170,8.95
Miyagi,30712,323.28,2186,37.05,755,12.8,9555,161.95,26564,450.24,1512,25.63,2332,39.53,348,5.9,1630,27.63,26,0.44,3835,65,981,16.63,-,-,125,10.42,12,1,2,0.17,510,42.5,-,-,20,1.67
Akita,15923,294.87,717,20.49,408,11.66,2631,75.17,6292,179.77,499,14.26,290,8.29,1509,43.11,463,13.23,146,4.17,962,27.49,323,9.23,3,0.43,88,12.57,1,0.13,1,0.13,300,37.5,-,-,141,17.63
Yamagata,14618,311.02,1597,55.07,737,25.41,7505,258.79,13463,464.24,619,21.34,399,13.76,1466,50.55,962,33.17,20,0.69,2940,101.38,2990,103.1,1,0.13,69,8.63,7,0.7,13,1.3,184,18.4,4,0.4,20,2
Fukushima,26036,338.13,2502,54.39,1027,22.33,4207,91.46,10897,236.89,1055,22.93,617,13.41,1132,24.61,1465,31.85,29,0.63,2515,54.67,509,11.07,-,-,452,37.67,8,1.33,15,2.5,228,38,8,1.33,69,11.5
Ibaraki,36188,301.57,1540,20.53,984,13.12,6940,92.53,24651,328.68,1488,19.84,1985,26.47,821,10.95,1130,15.07,42,0.56,2227,29.69,2758,36.77,7,0.41,946,55.65,3,0.23,14,1.08,444,34.15,-,-,35,2.69
Tochigi,23158,308.77,1356,28.25,488,10.17,3758,78.29,9991,208.15,708,14.75,1026,21.38,1321,27.52,1264,26.33,15,0.31,2179,45.4,1320,27.5,6,0.5,545,45.42,5,0.71,25,3.57,253,36.14,8,1.14,35,5
Gunma,30816,327.83,1512,26.53,933,16.37,8047,141.18,17246,302.56,957,16.79,768,13.47,1202,21.09,1388,24.35,106,1.86,2569,45.07,1674,29.37,2,0.14,643,45.93,4,0.5,10,1.25,631,78.88,1,0.13,73,9.13
Saitama,93319,374.78,3914,24.77,3043,19.26,21315,134.91,64080,405.57,4552,28.81,3757,23.78,1974,12.49,4292,27.16,70,0.44,7674,48.57,8864,56.1,45,1.13,1298,32.45,7,0.7,34,3.4,465,46.5,31,3.1,55,5.5
Chiba,76622,359.73,2781,20.75,2060,15.37,21280,158.81,45348,338.42,2969,22.16,5839,43.57,2023,15.1,3135,23.4,134,1,5541,41.35,5935,44.29,17,0.52,1204,36.48,25,2.78,67,7.44,402,44.67,3,0.33,32,3.56
Tokyo,121618,295.19,6994,27,4950,19.11,30893,119.28,107734,415.96,5427,20.95,6956,26.86,2465,9.52,7175,27.7,177,0.68,13088,50.53,8446,32.61,11,0.29,1189,31.29,33,1.32,77,3.08,1041,41.64,49,1.96,106,4.24
Kanagawa,110269,329.16,4091,19.39,3383,16.03,20334,96.37,79697,377.71,5124,24.28,4747,22.5,1436,6.81,5457,25.86,105,0.5,10227,48.47,9919,47.01,68,1.39,4099,83.65,8,0.8,45,4.5,295,29.5,1,0.1,67,6.7
Niigata,37949,412.49,3489,60.16,1981,34.16,7812,134.69,18356,316.48,1225,21.12,541,9.33,764,13.17,1431,24.67,161,2.78,4046,69.76,6291,108.47,17,1.7,328,32.8,9,0.69,13,1,314,24.15,83,6.38,60,4.62
Toyama,16280,346.38,946,33.79,650,23.21,3279,117.11,9643,344.39,511,18.25,196,7,663,23.68,599,21.39,22,0.79,1187,42.39,2949,105.32,1,0.14,40,5.71,1,0.2,4,0.8,282,56.4,3,0.6,26,5.2
Ishikawa,18146,378.04,1064,36.69,1203,41.48,3413,117.69,8333,287.34,448,15.45,512,17.66,474,16.34,640,22.07,3,0.1,945,32.59,2290,78.97,-,-,89,12.71,6,1.2,17,3.4,352,70.4,-,-,30,6
Fukui,14221,444.41,901,40.95,1048,47.64,2498,113.55,8643,392.86,458,20.82,146,6.64,625,28.41,473,21.5,42,1.91,775,35.23,552,25.09,1,0.33,18,6,16,2.67,9,1.5,234,39,4,0.67,37,6.17
Yamanashi,14278,356.95,560,23.33,423,17.63,2684,111.83,6666,277.75,354,14.75,542,22.58,542,22.58,377,15.71,27,1.13,1107,46.13,581,24.21,3,0.33,176,19.56,6,0.6,22,2.2,279,27.9,3,0.3,28,2.8
Nagano,34624,402.6,1501,28.32,485,9.15,6311,119.08,16433,310.06,935,17.64,854,16.11,1183,22.32,990,18.68,125,2.36,2788,52.6,3371,63.6,2,0.18,478,43.45,4,0.36,5,0.45,459,41.73,-,-,131,11.91
Gifu,33223,386.31,1034,19.88,748,14.38,3080,59.23,10688,205.54,539,10.37,937,18.02,366,7.04,776,14.92,39,0.75,1120,21.54,1629,31.33,2,0.18,279,25.36,1,0.2,27,5.4,581,116.2,-,-,80,16
Shizuoka,46207,332.42,2324,26.11,1570,17.64,15740,176.85,28928,325.03,1382,15.53,1581,17.76,801,9,1830,20.56,40,0.45,3729,41.9,3676,41.3,8,0.38,534,25.43,6,0.67,30,3.33,582,64.67,55,6.11,22,2.44
Aichi,90102,462.06,4628,25.57,2574,14.22,16622,91.83,52777,291.59,2845,15.72,2508,13.86,2839,15.69,3431,18.96,110,0.61,5645,31.19,5171,28.57,15,0.44,1130,33.24,32,2.29,51,3.64,795,56.79,4,0.29,363,25.93
Mie,24506,340.36,1585,35.22,1098,24.4,3096,68.8,18767,417.04,669,14.87,459,10.2,1453,32.29,1114,24.76,35,0.78,2336,51.91,685,15.22,11,0.92,102,8.5,13,1.44,41,4.56,285,31.67,20,2.22,21,2.33
Shiga,16172,311,601,19.39,437,14.1,2176,70.19,10685,344.68,739,23.84,687,22.16,230,7.42,613,19.77,14,0.45,1568,50.58,1209,39,-,-,72,9,10,1.43,16,2.29,103,14.71,-,-,99,14.14
Kyoto,35644,289.79,1365,18.2,1424,18.99,4815,64.2,24706,329.41,1175,15.67,1844,24.59,772,10.29,1213,16.17,23,0.31,1963,26.17,3634,48.45,3,0.18,207,12.18,1,0.14,15,2.14,220,31.43,1,0.14,123,17.57
Osaka,94851,308.96,8345,41.73,5125,25.63,21338,106.69,72840,364.2,4145,20.73,2634,13.17,1995,9.98,4798,23.99,163,0.82,8553,42.77,14306,71.53,30,0.59,1433,28.1,29,1.71,57,3.35,1083,63.71,4,0.24,405,23.82
Hyogo,65549,329.39,3928,30.45,2963,22.97,9877,76.57,52445,406.55,2828,21.92,1461,11.33,1717,13.31,2645,20.5,101,0.78,4273,33.12,7701,59.7,15,0.44,690,20.29,31,2.58,49,4.08,497,41.42,1,0.08,200,16.67
Nara,16326,302.33,1286,37.82,753,22.15,2796,82.24,11446,336.65,545,16.03,396,11.65,849,24.97,895,26.32,14,0.41,1089,32.03,2549,74.97,4,0.44,336,37.33,17,2.83,13,2.17,317,52.83,1,0.17,99,16.5
Wakayama,12006,240.12,1115,35.97,589,19,952,30.71,6299,203.19,534,17.23,155,5,820,26.45,734,23.68,19,0.61,1344,43.35,1865,60.16,7,1.75,55,13.75,3,0.27,30,2.73,201,18.27,5,0.45,99,9
Tottori,7919,273.07,741,39,575,30.26,4454,234.42,6792,357.47,325,17.11,237,12.47,582,30.63,427,22.47,22,1.16,866,45.58,627,33,12,3,267,66.75,7,1.4,15,3,187,37.4,2,0.4,136,27.2
Shimane,7973,209.82,1030,44.78,1186,51.57,2704,117.57,10149,441.26,313,13.61,560,24.35,742,32.26,717,31.17,15,0.65,530,23.04,1110,48.26,-,-,78,26,2,0.25,41,5.13,190,23.75,2,0.25,240,30
Okayama,23664,281.71,1229,22.76,827,15.31,2748,50.89,19773,366.17,776,14.37,940,17.41,704,13.04,1022,18.93,22,0.41,1700,31.48,3028,56.07,7,0.58,205,17.08,6,1.2,19,3.8,70,14,1,0.2,25,5
Hiroshima,38110,334.3,2214,31.18,2136,30.08,7054,99.35,29463,414.97,1409,19.85,859,12.1,1896,26.7,1466,20.65,116,1.63,1668,23.49,2483,34.97,12,0.67,827,45.94,9,0.43,11,0.52,453,21.57,3,0.14,381,18.14
Yamaguchi,25612,376.65,2394,49.88,903,18.81,6571,136.9,16883,351.73,684,14.25,416,8.67,1483,30.9,1283,26.73,40,0.83,1401,29.19,2240,46.67,2,0.22,188,20.89,12,1.33,7,0.78,384,42.67,-,-,111,12.33
Tokushima,9672,261.41,1928,83.83,434,18.87,1313,57.09,9431,410.04,285,12.39,329,14.3,338,14.7,782,34,30,1.3,875,38.04,1379,59.96,1,0.25,29,7.25,2,0.29,3,0.43,57,8.14,1,0.14,58,8.29
Kagawa,14379,305.94,920,32.86,748,26.71,2371,84.68,11288,403.14,378,13.5,472,16.86,559,19.96,676,24.14,40,1.43,1213,43.32,1327,47.39,4,0.8,94,18.8,6,1.2,11,2.2,258,51.6,2,0.4,152,30.4
Ehime,22372,366.75,1576,42.59,621,16.78,5071,137.05,16910,457.03,619,16.73,1108,29.95,961,25.97,1182,31.95,40,1.08,1934,52.27,1020,27.57,5,0.63,765,95.63,4,0.67,5,0.83,203,33.83,-,-,84,14
Kochi,15247,317.65,1134,37.8,708,23.6,2500,83.33,6998,233.27,546,18.2,357,11.9,357,11.9,520,17.33,122,4.07,789,26.3,952,31.73,-,-,21,7,10,1.25,34,4.25,321,40.13,34,4.25,242,30.25
Fukuoka,86941,439.1,6144,51.2,4239,35.33,18125,151.04,47565,396.38,3080,25.67,3675,30.63,2079,17.33,4228,35.23,182,1.52,3663,30.53,7838,65.32,20,0.77,1361,52.35,33,2.36,139,9.93,1391,99.36,2,0.14,28,2
Saga,13087,335.56,933,40.57,860,37.39,2088,90.78,5092,221.39,397,17.26,469,20.39,381,16.57,874,38,20,0.87,717,31.17,2310,100.43,-,-,208,52,2,0.33,17,2.83,190,31.67,-,-,63,10.5
Nagasaki,24746,358.64,1351,30.7,908,20.64,4574,103.95,10003,227.34,830,18.86,793,18.02,414,9.41,959,21.8,13,0.3,691,15.7,2518,57.23,4,0.5,843,105.38,3,0.25,57,4.75,453,37.75,-,-,53,4.42
Kumamoto,23536,297.92,2411,49.2,996,20.33,3478,70.98,22078,450.57,847,17.29,2012,41.06,1448,29.55,1755,35.82,21,0.43,1994,40.69,4415,90.1,8,0.89,995,110.56,11,0.73,88,5.87,393,26.2,3,0.2,178,11.87
Oita,20580,354.83,1597,44.36,850,23.61,5944,165.11,20416,567.11,1130,31.39,647,17.97,708,19.67,1363,37.86,61,1.69,1847,51.31,855,23.75,4,0.8,154,30.8,1,0.09,2,0.18,342,31.09,3,0.27,36,3.27
Miyazaki,21539,365.07,2025,56.25,1075,29.86,3930,109.17,18450,512.5,782,21.72,2337,64.92,1642,45.61,1643,45.64,18,0.5,1759,48.86,4302,119.5,8,1.6,914,182.8,2,0.29,29,4.14,303,43.29,-,-,84,12
Kagoshima,36472,392.17,2226,40.47,1991,36.2,6829,124.16,23405,425.55,1389,25.25,4084,74.25,923,16.78,1239,22.53,49,0.89,1444,26.25,5295,96.27,-,-,514,73.43,4,0.33,20,1.67,252,21,-,-,129,10.75
Okinawa,33335,574.74,1677,49.32,933,27.44,1597,46.97,7432,218.59,760,22.35,2626,77.24,138,4.06,473,13.91,226,6.65,382,11.24,2101,61.79,18,2,526,58.44,45,6.43,96,13.71,479,68.43,2,0.29,100,14.29
