"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52nd week, 2016",,,,,,"Data collected as of January 6, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1751440,354.69,104620,33.17,67455,21.39,367704,116.58,1116104,353.87,65353,20.72,69121,21.92,51397,16.3,76241,24.17,2989,0.95,129324,41,158994,50.41,401,0.58,26079,37.74,495,1.04,1378,2.89,19693,41.29,354,0.74,5265,11.04
Hokkaido,95954,426.46,5184,36.51,3088,21.75,29501,207.75,21504,151.44,3957,27.87,1632,11.49,3163,22.27,2162,15.23,91,0.64,7291,51.35,8727,61.46,2,0.07,529,18.24,12,0.55,41,1.86,1288,58.55,7,0.32,374,17
Aomori,18293,285.83,1024,24.98,689,16.8,3161,77.1,8475,206.71,493,12.02,432,10.54,606,14.78,914,22.29,18,0.44,1047,25.54,1092,26.63,4,0.36,267,24.27,14,2.33,18,3,324,54,-,-,113,18.83
Iwate,24669,385.45,1349,33.73,746,18.65,6542,163.55,11892,297.3,648,16.2,257,6.43,273,6.83,838,20.95,9,0.23,1154,28.85,1099,27.48,5,0.36,329,23.5,6,0.32,12,0.63,495,26.05,1,0.05,170,8.95
Miyagi,31118,327.56,2206,37.39,767,13,9667,163.85,27135,459.92,1544,26.17,2336,39.59,350,5.93,1643,27.85,26,0.44,3837,65.03,986,16.71,-,-,127,10.58,13,1.08,2,0.17,517,43.08,-,-,20,1.67
Akita,16870,312.41,726,20.74,422,12.06,2695,77,6490,185.43,518,14.8,297,8.49,1510,43.14,471,13.46,146,4.17,962,27.49,327,9.34,3,0.43,89,12.71,1,0.13,1,0.13,304,38,-,-,141,17.63
Yamagata,14887,316.74,1606,55.38,754,26,7624,262.9,13884,478.76,638,22,403,13.9,1468,50.62,974,33.59,21,0.72,2941,101.41,3030,104.48,1,0.13,69,8.63,7,0.7,13,1.3,191,19.1,4,0.4,20,2
Fukushima,26892,349.25,2553,55.5,1034,22.48,4293,93.33,11260,244.78,1100,23.91,619,13.46,1146,24.91,1481,32.2,29,0.63,2515,54.67,526,11.43,-,-,466,38.83,8,1.33,15,2.5,231,38.5,8,1.33,73,12.17
Ibaraki,37905,315.88,1558,20.77,992,13.23,7069,94.25,25551,340.68,1553,20.71,1992,26.56,824,10.99,1150,15.33,42,0.56,2228,29.71,2781,37.08,7,0.41,960,56.47,3,0.23,14,1.08,450,34.62,-,-,35,2.69
Tochigi,23793,317.24,1375,28.65,497,10.35,3788,78.92,10266,213.88,722,15.04,1030,21.46,1322,27.54,1283,26.73,16,0.33,2179,45.4,1323,27.56,6,0.5,564,47,5,0.71,25,3.57,257,36.71,8,1.14,35,5
Gunma,31874,339.09,1525,26.75,955,16.75,8149,142.96,17780,311.93,972,17.05,783,13.74,1212,21.26,1404,24.63,106,1.86,2573,45.14,1697,29.77,2,0.14,657,46.93,4,0.5,10,1.25,648,81,1,0.13,73,9.13
Saitama,96025,385.64,3959,25.06,3075,19.46,21588,136.63,65347,413.59,4661,29.5,3770,23.86,1983,12.55,4325,27.37,71,0.45,7675,48.58,8926,56.49,46,1.15,1314,32.85,7,0.7,35,3.5,473,47.3,31,3.1,55,5.5
Chiba,78335,369.5,2807,20.95,2084,15.55,21571,160.98,46446,346.61,3020,22.54,5866,43.78,2029,15.14,3173,23.68,135,1.01,5545,41.38,5965,44.51,17,0.52,1227,37.18,25,2.78,67,7.44,410,45.56,3,0.33,32,3.56
Tokyo,125079,304.33,7020,27.1,5026,19.41,31200,120.46,110188,425.44,5541,21.39,6993,27,2485,9.59,7230,27.92,181,0.7,13094,50.56,8524,32.91,11,0.29,1199,31.55,33,1.32,77,3.08,1047,41.88,50,2,108,4.32
Kanagawa,113179,337.85,4120,19.53,3441,16.31,20546,97.37,81396,385.76,5219,24.73,4795,22.73,1451,6.88,5520,26.16,105,0.5,10231,48.49,10041,47.59,68,1.39,4166,85.02,8,0.8,45,4.5,299,29.9,1,0.1,69,6.9
Niigata,38720,420.87,3537,60.98,2026,34.93,7928,136.69,19143,330.05,1269,21.88,542,9.34,766,13.21,1447,24.95,162,2.79,4046,69.76,6448,111.17,19,1.9,330,33,9,0.69,13,1,323,24.85,84,6.46,61,4.69
Toyama,16710,355.53,966,34.5,666,23.79,3305,118.04,10058,359.21,522,18.64,196,7,664,23.71,603,21.54,22,0.79,1187,42.39,3040,108.57,1,0.14,41,5.86,1,0.2,4,0.8,287,57.4,3,0.6,26,5.2
Ishikawa,18513,385.69,1069,36.86,1222,42.14,3472,119.72,8760,302.07,471,16.24,516,17.79,476,16.41,644,22.21,3,0.1,945,32.59,2300,79.31,-,-,91,13,6,1.2,17,3.4,359,71.8,-,-,30,6
Fukui,14626,457.06,914,41.55,1056,48,2537,115.32,9161,416.41,464,21.09,146,6.64,625,28.41,479,21.77,42,1.91,775,35.23,569,25.86,1,0.33,18,6,17,2.83,9,1.5,240,40,4,0.67,37,6.17
Yamanashi,14506,371.95,550,23.91,420,18.26,2647,115.09,6913,300.57,347,15.09,548,23.83,527,22.91,379,16.48,27,1.17,1107,48.13,589,25.61,3,0.38,168,21,6,0.67,22,2.44,282,31.33,3,0.33,27,3
