"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3rd week, 2017",,,,,,"Data collected as of January 25, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,270099,54.57,3801,1.2,2840,0.9,14206,4.5,59450,18.83,4267,1.35,1644,0.52,930,0.29,3337,1.06,67,0.02,271,0.09,7196,2.28,25,0.04,1190,1.72,24,0.05,45,0.09,959,2.02,20,0.04,84,0.18
Hokkaido,7539,33.36,260,1.83,175,1.23,988,6.96,1185,8.35,317,2.23,18,0.13,27,0.19,101,0.71,1,0.01,6,0.04,236,1.66,2,0.07,32,1.1,-,-,1,0.04,31,1.35,-,-,3,0.13
Aomori,2137,33.39,24,0.59,32,0.78,159,3.88,783,19.1,19,0.46,26,0.63,19,0.46,53,1.29,-,-,10,0.24,38,0.93,1,0.09,26,2.36,1,0.17,-,-,17,2.83,-,-,5,0.83
Iwate,2407,37.03,20,0.5,59,1.48,218,5.45,787,19.68,31,0.78,4,0.1,9,0.23,53,1.33,-,-,2,0.05,50,1.25,2,0.14,12,0.86,1,0.05,-,-,19,1,-,-,2,0.11
Miyagi,4678,49.24,30,0.51,34,0.58,352,5.97,789,13.37,134,2.27,6,0.1,8,0.14,71,1.2,1,0.02,6,0.1,30,0.51,-,-,9,0.75,1,0.08,-,-,29,2.42,-,-,1,0.08
Akita,2776,51.41,28,0.8,20,0.57,140,4,383,10.94,23,0.66,41,1.17,3,0.09,16,0.46,-,-,4,0.11,17,0.49,-,-,-,-,-,-,-,-,15,1.88,-,-,1,0.13
Yamagata,2090,43.54,13,0.43,19,0.63,302,10.07,468,15.6,41,1.37,11,0.37,6,0.2,49,1.63,1,0.03,11,0.37,103,3.43,-,-,3,0.38,1,0.1,-,-,20,2,-,-,1,0.1
Fukushima,3776,49.04,80,1.74,25,0.54,249,5.41,681,14.8,94,2.04,8,0.17,61,1.33,61,1.33,1,0.02,2,0.04,26,0.57,-,-,21,1.75,-,-,-,-,18,2.57,-,-,11,1.57
Ibaraki,7570,63.08,44,0.59,36,0.48,314,4.19,1444,19.25,100,1.33,16,0.21,21,0.28,50,0.67,-,-,1,0.01,62,0.83,-,-,46,2.71,-,-,-,-,22,1.69,-,-,-,-
Tochigi,3027,39.83,22,0.46,21,0.44,167,3.48,479,9.98,48,1,6,0.13,4,0.08,63,1.31,-,-,1,0.02,27,0.56,-,-,47,3.92,-,-,-,-,19,2.71,2,0.29,1,0.14
Gunma,5481,57.69,42,0.72,42,0.72,329,5.67,999,17.22,65,1.12,53,0.91,23,0.4,72,1.24,-,-,6,0.1,93,1.6,-,-,38,2.71,-,-,-,-,29,3.63,-,-,4,0.5
Saitama,17985,72.81,79,0.51,97,0.62,943,6.04,2806,17.99,240,1.54,34,0.22,23,0.15,175,1.12,3,0.02,8,0.05,285,1.83,2,0.05,45,1.15,-,-,1,0.1,16,1.6,3,0.3,-,-
Chiba,15111,70.28,44,0.33,51,0.38,829,6.14,2196,16.27,163,1.21,49,0.36,38,0.28,134,0.99,3,0.02,4,0.03,106,0.79,2,0.06,67,1.97,-,-,1,0.11,18,2,-,-,-,-
Tokyo,21926,53.09,80,0.31,180,0.69,1096,4.22,4531,17.43,285,1.1,63,0.24,112,0.43,277,1.07,3,0.01,4,0.02,260,1,-,-,48,1.26,-,-,1,0.04,29,1.16,3,0.12,3,0.12
Kanagawa,20553,59.57,79,0.37,90,0.42,717,3.35,3120,14.58,289,1.35,55,0.26,49,0.23,240,1.12,2,0.01,7,0.03,439,2.05,-,-,206,4.29,1,0.1,2,0.2,15,1.5,-,-,12,1.2
Niigata,3488,37.91,100,1.72,113,1.95,323,5.57,1669,28.78,73,1.26,3,0.05,14,0.24,77,1.33,2,0.03,4,0.07,548,9.45,1,0.1,26,2.6,-,-,-,-,35,2.69,2,0.15,1,0.08
Toyama,1661,34.6,90,3.1,45,1.55,86,2.97,773,26.66,35,1.21,22,0.76,1,0.03,25,0.86,-,-,3,0.1,161,5.55,1,0.14,10,1.43,-,-,-,-,9,1.8,-,-,2,0.4
Ishikawa,2231,46.48,7,0.24,26,0.9,182,6.28,809,27.9,25,0.86,6,0.21,6,0.21,27,0.93,-,-,1,0.03,20,0.69,-,-,2,0.29,-,-,-,-,18,3.6,-,-,-,-
Fukui,2180,68.13,20,0.91,34,1.55,120,5.45,973,44.23,26,1.18,3,0.14,3,0.14,26,1.18,1,0.05,-,-,30,1.36,-,-,2,0.67,-,-,1,0.17,13,2.17,-,-,-,-
Yamanashi,2531,61.73,13,0.54,33,1.38,101,4.21,805,33.54,22,0.92,12,0.5,4,0.17,15,0.63,-,-,1,0.04,75,3.13,1,0.11,12,1.33,1,0.1,-,-,32,3.2,-,-,-,-
Nagano,5108,59.4,72,1.36,6,0.11,259,4.89,1556,29.36,43,0.81,38,0.72,12,0.23,37,0.7,-,-,2,0.04,353,6.66,-,-,11,1,-,-,1,0.09,23,2.09,-,-,-,-
Gifu,5979,68.72,45,0.85,43,0.81,103,1.94,668,12.6,49,0.92,15,0.28,1,0.02,32,0.6,2,0.04,-,-,146,2.75,-,-,7,0.64,-,-,2,0.4,35,7,-,-,7,1.4
Shizuoka,8866,63.78,94,1.06,65,0.73,425,4.78,1508,16.94,83,0.93,25,0.28,12,0.13,75,0.84,4,0.04,3,0.03,136,1.53,5,0.24,27,1.29,-,-,1,0.1,28,2.8,2,0.2,1,0.1
Aichi,16662,85.45,185,1.02,129,0.71,641,3.52,2394,13.15,175,0.96,86,0.47,26,0.14,131,0.72,2,0.01,5,0.03,199,1.09,-,-,35,1,1,0.07,3,0.2,53,3.53,1,0.07,2,0.13
Mie,4493,62.4,108,2.4,78,1.73,111,2.47,667,14.82,31,0.69,25,0.56,22,0.49,40,0.89,-,-,1,0.02,41,0.91,1,0.08,3,0.25,2,0.22,4,0.44,14,1.56,4,0.44,-,-
Shiga,2761,52.09,48,1.5,10,0.31,50,1.56,587,18.34,48,1.5,15,0.47,1,0.03,34,1.06,-,-,4,0.13,59,1.84,-,-,4,0.5,-,-,2,0.29,13,1.86,-,-,-,-
Kyoto,6104,48.83,32,0.42,85,1.12,181,2.38,996,13.11,64,0.84,27,0.36,9,0.12,44,0.58,3,0.04,3,0.04,144,1.89,1,0.06,12,0.71,1,0.14,2,0.29,17,2.43,-,-,-,-
Osaka,14301,46.58,407,2.05,203,1.02,731,3.67,2750,13.82,259,1.3,101,0.51,22,0.11,217,1.09,4,0.02,27,0.14,688,3.46,2,0.04,52,1,2,0.12,1,0.06,48,2.82,-,-,1,0.06
Hyogo,9302,46.98,241,1.88,147,1.15,330,2.58,2361,18.45,177,1.38,43,0.34,29,0.23,121,0.95,2,0.02,4,0.03,400,3.13,-,-,30,0.86,2,0.18,3,0.27,23,2.09,-,-,2,0.18
Nara,2116,39.19,99,2.91,29,0.85,110,3.24,290,8.53,30,0.88,13,0.38,3,0.09,43,1.26,-,-,2,0.06,113,3.32,-,-,27,2.7,1,0.17,4,0.67,12,2,-,-,-,-
Wakayama,1844,36.88,69,2.23,37,1.19,27,0.87,446,14.39,42,1.35,7,0.23,10,0.32,32,1.03,-,-,3,0.1,220,7.1,1,0.25,3,0.75,-,-,2,0.18,13,1.18,1,0.09,1,0.09
