"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2017",,,,,,"Data collected as of May 31, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1351787,272.81,17585,5.56,27119,8.57,154043,48.7,398172,125.88,24478,7.74,18462,5.84,5236,1.66,28620,9.05,523,0.17,3437,1.09,39871,12.61,178,0.26,8146,11.74,212,0.44,325,0.68,3620,7.59,108,0.23,4233,8.87
Hokkaido,48709,216.48,1379,9.78,1763,12.5,11552,81.93,9519,67.51,1412,10.01,118,0.84,175,1.24,816,5.79,37,0.26,48,0.34,1287,9.13,7,0.25,204,7.29,5,0.22,11,0.48,111,4.83,-,-,149,6.48
Aomori,15227,237.92,103,2.51,271,6.61,1767,43.1,3812,92.98,200,4.88,147,3.59,145,3.54,374,9.12,2,0.05,57,1.39,234,5.71,1,0.09,65,5.91,5,0.83,-,-,84,14,-,-,52,8.67
Iwate,14248,222.63,113,2.9,631,16.18,2521,64.64,4559,116.9,167,4.28,19,0.49,75,1.92,410,10.51,-,-,6,0.15,579,14.85,3,0.21,83,5.93,4,0.21,1,0.05,118,6.21,-,-,89,4.68
Miyagi,26913,283.29,218,3.69,520,8.81,3524,59.73,5600,94.92,516,8.75,49,0.83,57,0.97,646,10.95,6,0.1,19,0.32,232,3.93,-,-,46,3.83,2,0.17,-,-,109,9.08,-,-,50,4.17
Akita,13070,242.04,116,3.31,129,3.69,1215,34.71,2611,74.6,181,5.17,508,14.51,28,0.8,157,4.49,4,0.11,26,0.74,64,1.83,4,0.57,27,3.86,1,0.13,-,-,93,11.63,1,0.13,52,6.5
Yamagata,11344,241.36,134,4.47,205,6.83,3619,120.63,2985,99.5,309,10.3,43,1.43,107,3.57,405,13.5,10,0.33,21,0.7,381,12.7,-,-,39,4.88,1,0.1,4,0.4,87,8.7,-,-,55,5.5
Fukushima,23595,306.43,269,5.85,289,6.28,2515,54.67,4293,93.33,403,8.76,24,0.52,231,5.02,577,12.54,6,0.13,13,0.28,216,4.7,1,0.08,191,15.92,5,0.71,4,0.57,53,7.57,4,0.57,215,30.71
Ibaraki,30793,256.61,162,2.16,425,5.67,3919,52.25,7798,103.97,538,7.17,102,1.36,90,1.2,407,5.43,11,0.15,17,0.23,331,4.41,3,0.18,321,18.88,2,0.15,-,-,61,4.69,-,-,119,9.15
