"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23rd week, 2017",,,,,,"Data collected as of June 14, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1355457,273.55,19107,6.04,33208,10.5,175515,55.49,440432,139.25,27256,8.62,27746,8.77,5807,1.84,32147,10.16,586,0.19,5917,1.87,43245,13.67,203,0.29,9346,13.47,228,0.48,367,0.77,3849,8.07,119,0.25,4484,9.4
Hokkaido,48980,218.66,1703,12.08,2316,16.43,12682,89.94,10438,74.03,1546,10.96,205,1.45,182,1.29,895,6.35,38,0.27,79,0.56,1365,9.68,8,0.29,224,8,5,0.22,12,0.52,116,5.04,-,-,168,7.3
Aomori,15309,239.2,109,2.66,322,7.85,1955,47.68,4330,105.61,245,5.98,162,3.95,164,4,414,10.1,2,0.05,63,1.54,276,6.73,1,0.09,74,6.73,6,1,1,0.17,89,14.83,-,-,59,9.83
Iwate,14427,225.42,126,3.23,689,17.67,2757,70.69,5083,130.33,178,4.56,35,0.9,88,2.26,441,11.31,-,-,9,0.23,666,17.08,3,0.21,92,6.57,4,0.21,2,0.11,132,6.95,-,-,95,5
Miyagi,26992,284.13,259,4.39,652,11.05,3894,66,6415,108.73,550,9.32,98,1.66,67,1.14,731,12.39,6,0.1,25,0.42,257,4.36,-,-,55,4.58,2,0.17,-,-,119,9.92,-,-,51,4.25
Akita,13117,242.91,119,3.4,149,4.26,1312,37.49,2979,85.11,237,6.77,611,17.46,30,0.86,184,5.26,5,0.14,29,0.83,72,2.06,5,0.71,28,4,1,0.13,-,-,107,13.38,1,0.13,54,6.75
Yamagata,11399,242.53,143,4.77,270,9,4024,134.13,3582,119.4,345,11.5,68,2.27,157,5.23,447,14.9,12,0.4,30,1,399,13.3,-,-,41,5.13,1,0.1,6,0.6,92,9.2,-,-,65,6.5
Fukushima,23724,308.1,335,7.28,350,7.61,2827,61.46,4758,103.43,485,10.54,29,0.63,249,5.41,656,14.26,6,0.13,20,0.43,278,6.04,1,0.08,219,18.25,5,0.71,5,0.71,54,7.71,4,0.57,215,30.71
Ibaraki,30814,256.78,175,2.33,565,7.53,4450,59.33,8517,113.56,589,7.85,130,1.73,100,1.33,460,6.13,13,0.17,33,0.44,382,5.09,3,0.18,365,21.47,2,0.15,-,-,64,4.92,-,-,122,9.38
