"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25th week, 2017",,,,,,"Data collected as of June 28, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1357875,274.1,20759,6.56,39359,12.44,197770,62.53,483976,153.01,29892,9.45,41900,13.25,6439,2.04,35583,11.25,676,0.21,9793,3.1,46588,14.73,218,0.31,10461,15.07,245,0.51,403,0.84,4059,8.51,134,0.28,4698,9.85
Hokkaido,49176,219.54,2115,15,2898,20.55,13857,98.28,11311,80.22,1666,11.82,404,2.87,193,1.37,979,6.94,40,0.28,133,0.94,1426,10.11,8,0.29,250,8.93,5,0.22,14,0.61,124,5.39,-,-,185,8.04
Aomori,15367,240.11,127,3.1,375,9.15,2087,50.9,4998,121.9,265,6.46,180,4.39,172,4.2,459,11.2,2,0.05,70,1.71,333,8.12,1,0.09,77,7,9,1.5,2,0.33,97,16.17,-,-,66,11
Iwate,14489,226.39,138,3.54,748,19.18,2995,76.79,5571,142.85,214,5.49,50,1.28,114,2.92,471,12.08,-,-,12,0.31,766,19.64,4,0.29,100,7.14,4,0.21,2,0.11,147,7.74,-,-,102,5.37
Miyagi,27036,284.59,307,5.2,865,14.66,4284,72.61,7541,127.81,609,10.32,151,2.56,86,1.46,802,13.59,6,0.1,41,0.69,284,4.81,-,-,60,5,2,0.17,1,0.08,127,10.58,-,-,51,4.25
Akita,13126,243.07,119,3.4,174,4.97,1417,40.49,3211,91.74,282,8.06,742,21.2,34,0.97,198,5.66,10,0.29,40,1.14,83,2.37,8,1.14,31,4.43,1,0.13,-,-,118,14.75,1,0.13,56,7
Yamagata,11410,242.77,147,4.9,338,11.27,4352,145.07,4119,137.3,378,12.6,101,3.37,216,7.2,499,16.63,13,0.43,40,1.33,413,13.77,-,-,44,5.5,1,0.1,6,0.6,97,9.7,-,-,74,7.4
Fukushima,23746,308.39,428,9.3,411,8.93,3170,68.91,5191,112.85,564,12.26,36,0.78,260,5.65,721,15.67,8,0.17,36,0.78,330,7.17,1,0.08,241,20.08,5,0.71,8,1.14,59,8.43,4,0.57,217,31
Ibaraki,30826,256.88,184,2.45,686,9.15,5060,67.47,9186,122.48,637,8.49,161,2.15,115,1.53,504,6.72,14,0.19,45,0.6,427,5.69,4,0.24,418,24.59,2,0.15,-,-,65,5,-,-,122,9.38
Tochigi,17669,232.49,150,3.13,403,8.4,1807,37.65,3592,74.83,482,10.04,90,1.88,48,1,569,11.85,1,0.02,18,0.38,291,6.06,-,-,264,22,2,0.29,5,0.71,71,10.14,2,0.29,89,12.71
Gunma,23685,251.97,169,2.96,510,8.95,4350,76.32,9605,168.51,391,6.86,367,6.44,246,4.32,633,11.11,2,0.04,87,1.53,955,16.75,2,0.15,228,17.54,1,0.13,4,0.5,138,17.25,-,-,309,38.63
Saitama,84762,336.36,592,3.7,1883,11.77,12502,78.14,27325,170.78,1852,11.58,691,4.32,311,1.94,2042,12.76,18,0.11,234,1.46,1890,11.81,38,0.95,685,17.13,6,0.6,13,1.3,75,7.5,10,1,111,11.1
Chiba,68371,319.49,410,3.06,1263,9.43,11212,83.67,19226,143.48,1378,10.28,607,4.53,213,1.59,1494,11.15,29,0.22,370,2.76,880,6.57,18,0.53,736,21.65,15,1.67,16,1.78,100,11.11,-,-,100,11.11
Tokyo,107289,259.15,1040,3.98,2805,10.75,15123,57.94,45415,174,2434,9.33,1989,7.62,728,2.79,3443,13.19,44,0.17,395,1.51,1626,6.23,4,0.11,475,12.5,15,0.6,15,0.6,121,4.84,28,1.12,228,9.12
Kanagawa,97599,282.9,672,3.13,1678,7.8,12328,57.34,32291,150.19,2556,11.89,1245,5.79,363,1.69,2609,12.13,20,0.09,269,1.25,2493,11.6,21,0.42,1733,34.66,5,0.5,13,1.3,66,6.6,-,-,209,20.9
Niigata,25998,285.69,473,8.3,1076,18.88,4008,70.32,10027,175.91,500,8.77,335,5.88,190,3.33,594,10.42,11,0.19,44,0.77,2797,49.07,9,0.9,187,18.7,5,0.38,9,0.69,118,9.08,20,1.54,78,6
Toyama,10661,222.1,419,14.45,400,13.79,1425,49.14,5247,180.93,220,7.59,397,13.69,14,0.48,277,9.55,2,0.07,45,1.55,926,31.93,5,0.71,210,30,1,0.2,3,0.6,44,8.8,2,0.4,56,11.2
Ishikawa,15978,332.88,143,4.93,522,18,1904,65.66,6809,234.79,328,11.31,218,7.52,45,1.55,291,10.03,4,0.14,44,1.52,102,3.52,-,-,74,10.57,1,0.2,4,0.8,75,15,-,-,85,17
