"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26th week, 2017",,,,,,"Data collected as of July 5, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1358888,274.36,21614,6.83,42288,13.37,207340,65.55,503095,159.06,31322,9.9,53074,16.78,6790,2.15,37373,11.82,723,0.23,12747,4.03,48274,15.26,227,0.33,11012,15.84,251,0.53,423,0.89,4165,8.73,140,0.29,4752,9.96
Hokkaido,49253,219.88,2253,15.98,3237,22.96,14378,101.97,11722,83.13,1713,12.15,616,4.37,194,1.38,1017,7.21,42,0.3,185,1.31,1455,10.32,8,0.29,264,9.43,5,0.22,15,0.65,130,5.65,-,-,189,8.22
Aomori,15388,240.44,134,3.27,400,9.76,2151,52.46,5271,128.56,278,6.78,215,5.24,175,4.27,481,11.73,2,0.05,80,1.95,360,8.78,1,0.09,80,7.27,9,1.5,2,0.33,106,17.67,-,-,70,11.67
Iwate,14514,226.78,149,3.82,792,20.31,3117,79.92,5770,147.95,223,5.72,51,1.31,124,3.18,491,12.59,-,-,20,0.51,814,20.87,4,0.29,107,7.64,4,0.21,2,0.11,156,8.21,2,0.11,102,5.37
Miyagi,27041,284.64,364,6.17,952,16.14,4543,77,8074,136.85,641,10.86,218,3.69,94,1.59,853,14.46,8,0.14,61,1.03,305,5.17,-,-,65,5.42,2,0.17,1,0.08,128,10.67,-,-,51,4.25
Akita,13128,243.11,119,3.4,188,5.37,1458,41.66,3318,94.8,315,9,822,23.49,40,1.14,209,5.97,11,0.31,46,1.31,87,2.49,8,1.14,32,4.57,1,0.13,-,-,121,15.13,2,0.25,56,7
Yamagata,11411,242.79,148,4.93,369,12.3,4497,149.9,4362,145.4,398,13.27,145,4.83,257,8.57,517,17.23,13,0.43,48,1.6,420,14,-,-,44,5.5,1,0.1,6,0.6,102,10.2,-,-,74,7.4
Fukushima,23757,308.53,470,10.22,441,9.59,3303,71.8,5393,117.24,620,13.48,42,0.91,267,5.8,752,16.35,8,0.17,43,0.93,352,7.65,1,0.08,254,21.17,5,0.71,9,1.29,62,8.86,4,0.57,217,31
Ibaraki,30834,256.95,198,2.64,762,10.16,5320,70.93,9506,126.75,674,8.99,184,2.45,120,1.6,535,7.13,15,0.2,70,0.93,448,5.97,5,0.29,441,25.94,2,0.15,-,-,68,5.23,-,-,122,9.38
Tochigi,17672,232.53,160,3.33,454,9.46,1897,39.52,3701,77.1,493,10.27,110,2.29,53,1.1,599,12.48,1,0.02,23,0.48,307,6.4,-,-,282,23.5,2,0.29,5,0.71,72,10.29,2,0.29,89,12.71
Gunma,23688,252,179,3.14,543,9.53,4568,80.14,9944,174.46,415,7.28,447,7.84,267,4.68,676,11.86,2,0.04,110,1.93,1012,17.75,2,0.15,236,18.15,1,0.13,4,0.5,141,17.63,-,-,309,38.63
Saitama,84781,336.43,630,3.94,2080,13,13138,82.11,28354,177.21,1945,12.16,876,5.48,345,2.16,2152,13.45,20,0.13,315,1.97,1968,12.3,40,1,729,18.23,7,0.7,13,1.3,76,7.6,10,1,111,11.1
Chiba,68399,319.62,437,3.26,1413,10.54,11719,87.46,19908,148.57,1454,10.85,827,6.17,216,1.61,1567,11.69,32,0.24,492,3.67,934,6.97,18,0.53,778,22.88,15,1.67,16,1.78,104,11.56,-,-,101,11.22
Tokyo,107306,259.19,1116,4.28,3093,11.85,15949,61.11,47048,180.26,2566,9.83,2609,10,757,2.9,3619,13.87,44,0.17,526,2.02,1708,6.54,4,0.11,506,13.32,17,0.68,17,0.68,122,4.88,30,1.2,228,9.12
Kanagawa,97613,282.94,741,3.45,1879,8.74,13107,60.96,33599,156.27,2666,12.4,1774,8.25,389,1.81,2739,12.74,21,0.1,400,1.86,2608,12.13,21,0.42,1817,36.34,5,0.5,14,1.4,67,6.7,-,-,211,21.1
Niigata,26003,285.75,502,8.81,1147,20.12,4156,72.91,10419,182.79,531,9.32,460,8.07,194,3.4,625,10.96,16,0.28,53,0.93,2882,50.56,10,1,197,19.7,5,0.38,9,0.69,122,9.38,20,1.54,78,6
Toyama,10666,222.21,428,14.76,434,14.97,1485,51.21,5364,184.97,227,7.83,462,15.93,14,0.48,288,9.93,2,0.07,54,1.86,952,32.83,5,0.71,213,30.43,1,0.2,3,0.6,44,8.8,2,0.4,58,11.6
Ishikawa,15980,332.92,143,4.93,557,19.21,1991,68.66,6916,238.48,334,11.52,361,12.45,58,2,307,10.59,4,0.14,60,2.07,114,3.93,-,-,82,11.71,1,0.2,5,1,78,15.6,-,-,86,17.2
Fukui,11645,363.91,74,3.36,312,14.18,1491,67.77,5490,249.55,209,9.5,202,9.18,16,0.73,197,8.95,9,0.41,31,1.41,230,10.45,-,-,11,3.67,9,1.5,5,0.83,46,7.67,1,0.17,70,11.67
Yamanashi,10611,258.8,29,1.21,601,25.04,1771,73.79,3587,149.46,154,6.42,166,6.92,46,1.92,180,7.5,2,0.08,26,1.08,400,16.67,1,0.11,155,17.22,4,0.4,4,0.4,97,9.7,2,0.2,55,5.5
Nagano,27770,322.91,228,4.3,195,3.68,3348,63.17,10315,194.62,514,9.7,142,2.68,124,2.34,434,8.19,11,0.21,85,1.6,2784,52.53,9,0.9,93,9.3,1,0.09,1,0.09,127,11.55,-,-,139,12.64
Gifu,22484,261.44,216,4.15,475,9.13,1501,28.87,5209,100.17,313,6.02,306,5.88,44,0.85,395,7.6,10,0.19,62,1.19,1009,19.4,-,-,89,8.09,1,0.2,9,1.8,111,22.2,-,-,88,17.6
Shizuoka,38644,278.01,310,3.48,956,10.74,6785,76.24,13984,157.12,634,7.12,596,6.7,148,1.66,839,9.43,11,0.12,77,0.87,952,10.7,10,0.48,243,11.57,10,1,19,1.9,99,9.9,28,2.8,71,7.1
Aichi,65850,337.69,852,4.68,1786,9.81,8453,46.45,22872,125.67,1461,8.03,2488,13.67,194,1.07,1575,8.65,23,0.13,267,1.47,1445,7.94,6,0.17,341,9.74,7,0.47,16,1.07,204,13.6,6,0.4,195,13
Mie,19189,266.51,469,10.42,920,20.44,1996,44.36,6558,145.73,362,8.04,929,20.64,91,2.02,554,12.31,13,0.29,228,5.07,359,7.98,4,0.33,29,2.42,16,1.78,19,2.11,78,8.67,10,1.11,19,2.11
Shiga,12044,231.62,160,5.16,333,10.74,1003,32.35,4862,156.84,353,11.39,1140,36.77,16,0.52,319,10.29,4,0.13,295,9.52,519,16.74,1,0.13,40,5,3,0.43,11,1.57,38,5.43,1,0.14,16,2.29
Kyoto,27797,224.17,183,2.44,993,13.24,3152,42.03,10752,143.36,409,5.45,2548,33.97,62,0.83,633,8.44,16,0.21,338,4.51,799,10.65,2,0.12,144,8.47,3,0.43,4,0.57,46,6.57,-,-,65,9.29
