"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34th week, 2017",,,,,,"Data collected as of August 30, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1365760,276.36,52410,16.6,59397,18.81,248930,78.85,599491,189.89,38419,12.17,245515,77.77,8711,2.76,49461,15.67,1046,0.33,61799,19.58,59742,18.92,309,0.45,16034,23.1,338,0.71,621,1.3,5164,10.83,172,0.36,4842,10.15
Hokkaido,49339,220.26,3920,27.8,5353,37.96,16806,119.19,13223,93.78,2019,14.32,10527,74.66,214,1.52,1353,9.6,54,0.38,2198,15.59,1630,11.56,9,0.32,381,13.61,6,0.26,17,0.74,163,7.09,-,-,203,8.83
Aomori,15399,240.61,390,9.51,471,11.49,2414,58.88,6252,152.49,327,7.98,2019,49.24,185,4.51,631,15.39,5,0.12,520,12.68,580,14.15,3,0.27,94,8.55,10,1.67,5,0.83,134,22.33,-,-,74,12.33
Iwate,14537,227.14,658,16.87,978,25.08,3685,94.49,6856,175.79,302,7.74,1226,31.44,195,5,610,15.64,5,0.13,373,9.56,1206,30.92,5,0.36,160,11.43,5,0.26,2,0.11,202,10.63,4,0.21,107,5.63
Miyagi,27083,285.08,1209,20.49,1345,22.8,5351,90.69,10164,172.27,781,13.24,3605,61.1,164,2.78,1137,19.27,10,0.17,591,10.02,448,7.59,-,-,98,8.17,2,0.17,1,0.08,169,14.08,-,-,51,4.25
Akita,13139,243.31,248,7.09,319,9.11,1625,46.43,3782,108.06,399,11.4,1605,45.86,43,1.23,295,8.43,14,0.4,262,7.49,121,3.46,9,1.29,43,6.14,1,0.13,-,-,221,27.63,2,0.25,56,7
Yamagata,11417,242.91,470,16.21,626,21.59,5073,174.93,5377,185.41,441,15.21,2127,73.34,485,16.72,647,22.31,22,0.76,818,28.21,481,16.59,-,-,67,8.38,2,0.2,7,0.7,140,14,-,-,78,7.8
Fukushima,23767,308.66,1497,32.54,583,12.67,3906,84.91,6163,133.98,786,17.09,1871,40.67,308,6.7,1001,21.76,9,0.2,510,11.09,603,13.11,1,0.08,358,29.83,5,0.71,15,2.14,80,11.43,4,0.57,218,31.14
Ibaraki,30943,257.86,672,8.96,1128,15.04,6464,86.19,11462,152.83,844,11.25,3242,43.23,154,2.05,749,9.99,21,0.28,813,10.84,544,7.25,6,0.35,610,35.88,2,0.15,-,-,88,6.77,-,-,122,9.38
Tochigi,17693,232.8,374,7.79,649,13.52,2191,45.65,4329,90.19,586,12.21,2317,48.27,69,1.44,813,16.94,2,0.04,360,7.5,447,9.31,-,-,372,31,4,0.57,6,0.86,86,12.29,2,0.29,89,12.71
Gunma,23704,252.17,487,8.54,777,13.63,5532,97.05,11493,201.63,518,9.09,3131,54.93,317,5.56,930,16.32,2,0.04,1283,22.51,1415,24.82,2,0.15,354,27.23,2,0.25,5,0.63,187,23.38,-,-,314,39.25
Saitama,84883,338.18,2533,15.93,3444,21.66,15737,98.97,33864,212.98,2413,15.18,11484,72.23,551,3.47,2891,18.18,33,0.21,2591,16.3,2376,14.94,50,1.28,1111,28.49,11,1.1,23,2.3,89,8.9,10,1,111,11.1
Chiba,68651,322.31,1322,9.87,2396,17.88,14027,104.68,23194,173.09,1714,12.79,7046,52.58,277,2.07,2068,15.43,38,0.28,3670,27.39,1197,8.93,23,0.68,979,28.79,19,2.11,23,2.56,138,15.33,1,0.11,102,11.33
Tokyo,107680,262.63,4160,16.06,4828,18.64,19379,74.82,55267,213.39,3137,12.11,20479,79.07,926,3.58,4714,18.2,67,0.26,4332,16.73,2203,8.51,9,0.24,741,19.5,27,1.08,26,1.04,152,6.08,31,1.24,231,9.24
Kanagawa,97748,286.65,3576,16.71,2805,13.11,16366,76.48,39841,186.17,3100,14.49,16550,77.34,570,2.66,3668,17.14,30,0.14,4051,18.93,3178,14.85,28,0.56,2485,49.7,7,0.7,24,2.4,86,8.6,-,-,213,21.3
Niigata,26102,290.02,1591,27.91,1428,25.05,4741,83.18,11846,207.82,672,11.79,6447,113.11,233,4.09,831,14.58,41,0.72,970,17.02,3497,61.35,13,1.3,273,27.3,8,0.62,13,1,161,12.38,26,2,79,6.08
Toyama,10674,222.38,694,23.93,523,18.03,1704,58.76,6275,216.38,261,9,2509,86.52,23,0.79,371,12.79,2,0.07,389,13.41,1053,36.31,5,0.71,243,34.71,2,0.4,4,0.8,50,10,4,0.8,58,11.6
Ishikawa,15991,333.15,437,15.07,679,23.41,2408,83.03,7614,262.55,396,13.66,2977,102.66,97,3.34,424,14.62,7,0.24,405,13.97,167,5.76,-,-,134,19.14,1,0.2,8,1.6,108,21.6,-,-,86,17.2
Fukui,11650,364.06,320,14.55,366,16.64,1862,84.64,6212,282.36,275,12.5,2860,130,17,0.77,254,11.55,18,0.82,371,16.86,273,12.41,1,0.33,11,3.67,14,2.33,6,1,53,8.83,3,0.5,70,11.67
Yamanashi,10613,258.85,80,3.33,782,32.58,2011,83.79,4222,175.92,173,7.21,1774,73.92,49,2.04,240,10,2,0.08,261,10.88,519,21.63,1,0.11,256,28.44,5,0.5,8,0.8,110,11,3,0.3,55,5.5
Nagano,27782,323.05,361,6.81,302,5.7,4010,75.66,11840,223.4,623,11.75,3901,73.6,147,2.77,584,11.02,27,0.51,802,15.13,3493,65.91,11,1.1,118,11.8,2,0.18,2,0.18,148,13.45,-,-,141,12.82
Gifu,22529,261.97,524,10.08,678,13.04,1843,35.44,6221,119.63,385,7.4,3167,60.9,57,1.1,516,9.92,13,0.25,458,8.81,1247,23.98,-,-,160,14.55,1,0.2,11,2.2,131,26.2,-,-,89,17.8
Shizuoka,38768,278.91,1018,11.44,1363,15.31,7811,87.76,17231,193.61,797,8.96,6857,77.04,227,2.55,1091,12.26,17,0.19,929,10.44,1227,13.79,10,0.48,402,19.14,10,1,27,2.7,131,13.1,37,3.7,74,7.4
Aichi,65945,338.18,2053,11.28,2445,13.43,10517,57.79,27582,151.55,1871,10.28,14343,78.81,279,1.53,2101,11.54,34,0.19,2118,11.64,1833,10.07,6,0.17,526,15.03,10,0.67,25,1.67,243,16.2,6,0.4,197,13.13
Mie,19253,267.4,812,18.04,1162,25.82,2368,52.62,8118,180.4,445,9.89,4669,103.76,98,2.18,750,16.67,17,0.38,1205,26.78,527,11.71,7,0.58,42,3.5,17,1.89,22,2.44,85,9.44,10,1.11,19,2.11
Shiga,12071,232.13,256,8.26,456,14.71,1212,39.1,5794,186.9,499,16.1,3280,105.81,18,0.58,427,13.77,6,0.19,755,24.35,605,19.52,1,0.13,50,6.25,5,0.71,12,1.71,41,5.86,1,0.14,16,2.29
Kyoto,27861,224.69,464,6.19,1274,16.99,3921,52.28,12958,172.77,518,6.91,4945,65.93,69,0.92,873,11.64,20,0.27,793,10.57,970,12.93,5,0.29,216,12.71,3,0.43,4,0.57,51,7.29,-,-,67,9.57
Osaka,67353,219.39,4563,22.93,3791,19.05,14617,73.45,37487,188.38,2538,12.75,19510,98.04,288,1.45,3151,15.83,72,0.36,3727,18.73,4142,20.81,29,0.56,677,13.02,14,0.88,34,2.13,227,14.19,2,0.13,230,14.38
Hyogo,45043,227.49,1646,12.86,2861,22.35,6517,50.91,29162,227.83,1421,11.1,13517,105.6,481,3.76,1729,13.51,38,0.3,2615,20.43,2856,22.31,14,0.4,559,15.97,20,1.54,32,2.46,129,9.92,6,0.46,159,12.23
Nara,10266,190.11,729,21.44,883,25.97,2457,72.26,5249,154.38,386,11.35,2459,72.32,72,2.12,548,16.12,8,0.24,448,13.18,733,21.56,1,0.1,184,18.4,13,2.17,22,3.67,98,16.33,1,0.17,52,8.67
