"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50th week, 2018",,,,,,"Data collected as of December 19, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1803678,365.12,117261,37.18,69942,22.18,341168,108.17,794009,251.75,51496,16.33,120155,38.1,44050,13.97,68996,21.88,98989,31.39,23018,7.3,537,0.77,29388,42.22,490,1.02,782,1.63,5251,10.94,140,0.29,3180,6.63
Hokkaido,78460,353.42,6211,44.68,3854,27.73,24468,176.03,15243,109.66,2444,17.58,7492,53.9,354,2.55,1832,13.18,3371,24.25,500,3.6,20,0.71,723,25.82,12,0.52,15,0.65,416,18.09,-,-,182,7.91
Aomori,23487,361.34,902,21.48,546,13,2650,63.1,8750,208.33,505,12.02,2087,49.69,249,5.93,780,18.57,796,18.95,916,21.81,2,0.18,198,18,8,1.33,12,2,272,45.33,-,-,113,18.83
Iwate,26413,412.7,1525,39.1,988,25.33,5741,147.21,7195,184.49,480,12.31,1861,47.72,1225,31.41,808,20.72,1091,27.97,598,15.33,-,-,432,30.86,9,0.47,4,0.21,220,11.58,7,0.37,58,3.05
Miyagi,34421,362.33,2435,41.27,1182,20.03,7970,135.08,13416,227.39,1298,22,2327,39.44,3418,57.93,1490,25.25,3355,56.86,236,4,6,0.5,169,14.08,5,0.42,3,0.25,179,14.92,1,0.08,33,2.75
Akita,20120,379.62,911,26.79,575,16.91,1719,50.56,4434,130.41,376,11.06,368,10.82,127,3.74,391,11.5,913,26.85,195,5.74,7,1,87,12.43,8,1,1,0.13,610,76.25,3,0.38,70,8.75
Yamagata,16481,350.66,1712,59.03,932,32.14,4610,158.97,7470,257.59,677,23.34,1352,46.62,565,19.48,855,29.48,2854,98.41,139,4.79,1,0.14,127,18.14,10,1,7,0.7,152,15.2,-,-,22,2.2
Fukushima,31628,390.47,3001,62.52,1192,24.83,5214,108.63,7963,165.9,871,18.15,1015,21.15,548,11.42,1370,28.54,2556,53.25,475,9.9,7,0.58,936,78,3,0.5,4,0.67,68,11.33,2,0.33,28,4.67
Ibaraki,42278,352.32,1803,24.04,1686,22.48,7703,102.71,14510,193.47,1067,14.23,1095,14.6,454,6.05,1082,14.43,2136,28.48,267,3.56,6,0.35,1039,61.12,2,0.15,7,0.54,220,16.92,-,-,20,1.54
Tochigi,21660,285,1453,30.27,499,10.4,3694,76.96,6084,126.75,663,13.81,809,16.85,945,19.69,1113,23.19,1328,27.67,174,3.63,3,0.25,318,26.5,6,0.86,8,1.14,92,13.14,3,0.43,24,3.43
Gunma,29998,344.8,1471,27.75,1409,26.58,6064,114.42,13907,262.4,722,13.62,2876,54.26,362,6.83,1276,24.08,2232,42.11,474,8.94,8,0.57,811,57.93,4,0.44,13,1.44,96,10.67,-,-,54,6
Saitama,99979,392.07,4880,30.31,3961,24.6,25108,155.95,47643,295.92,4041,25.1,5450,33.85,3694,22.94,4047,25.14,5140,31.93,929,5.77,68,1.7,1996,49.9,7,0.7,60,6,86,8.6,4,0.4,43,4.3
Chiba,82274,388.08,2941,22.11,3482,26.18,16369,123.08,27183,204.38,2306,17.34,3852,28.96,2363,17.77,2604,19.58,4004,30.11,735,5.53,28,0.82,1283,37.74,22,2.44,54,6,118,13.11,4,0.44,38,4.22
Tokyo,129480,314.27,7720,29.81,4492,17.34,30641,118.31,73260,282.86,4199,16.21,8189,31.62,9799,37.83,6588,25.44,8175,31.56,1218,4.7,14,0.38,1023,27.65,30,1.2,33,1.32,208,8.32,37,1.48,109,4.36
Kanagawa,123428,361.96,4763,22.26,3613,16.88,21604,100.95,48099,224.76,4541,21.22,5117,23.91,9557,44.66,5063,23.66,5859,27.38,1485,6.94,25,0.49,4756,93.25,12,1.09,27,2.45,96,8.73,-,-,51,4.64
Niigata,35520,399.1,3446,61.54,3014,53.82,9056,161.71,11527,205.84,1064,19,1152,20.57,1362,24.32,1307,23.34,3855,68.84,665,11.88,37,3.7,688,68.8,12,0.92,7,0.54,129,9.92,14,1.08,21,1.62
Toyama,15769,328.52,1341,46.24,1126,38.83,2167,74.72,7497,258.52,355,12.24,573,19.76,213,7.34,583,20.1,978,33.72,92,3.17,17,2.43,62,8.86,5,1,2,0.4,37,7.4,4,0.8,16,3.2
Ishikawa,15696,327,1277,44.03,871,30.03,4769,164.45,7889,272.03,550,18.97,483,16.66,305,10.52,609,21,783,27,106,3.66,1,0.14,116,16.57,3,0.6,13,2.6,172,34.4,-,-,10,2
Fukui,11888,349.65,899,40.86,657,29.86,3382,153.73,6650,302.27,311,14.14,653,29.68,60,2.73,451,20.5,392,17.82,234,10.64,-,-,41,13.67,23,3.83,4,0.67,28,4.67,7,1.17,85,14.17
Yamanashi,15241,371.73,576,24,266,11.08,1917,79.88,4653,193.88,246,10.25,539,22.46,371,15.46,374,15.58,785,32.71,159,6.63,11,1.22,390,43.33,10,1,13,1.3,112,11.2,4,0.4,31,3.1
Nagano,33844,393.53,1330,25.09,803,15.15,6204,117.06,13731,259.08,709,13.38,652,12.3,405,7.64,809,15.26,3451,65.11,371,7,15,1.5,176,17.6,16,1.45,5,0.45,131,11.91,2,0.18,86,7.82
Gifu,26402,307,1338,25.73,785,15.1,2653,51.02,9342,179.65,353,6.79,582,11.19,165,3.17,710,13.65,1087,20.9,256,4.92,3,0.27,180,16.36,1,0.2,10,2,62,12.4,-,-,95,19
Shizuoka,50828,368.32,2809,31.56,1754,19.71,7487,84.12,21271,239,833,9.36,1619,18.19,946,10.63,1517,17.04,4392,49.35,1117,12.55,10,0.48,766,36.48,8,0.89,39,4.33,53,5.89,4,0.44,19,2.11
Aichi,82960,425.44,5100,28.02,2265,12.45,15060,82.75,39979,219.66,2571,14.13,2828,15.54,842,4.63,2986,16.41,5438,29.88,934,5.13,9,0.26,1079,30.83,10,0.67,34,2.27,210,14,3,0.2,157,10.47
Mie,27962,393.83,2306,52.41,1071,24.34,4525,102.84,11704,266,661,15.02,820,18.64,166,3.77,1063,24.16,2112,48,220,5,5,0.45,64,5.82,14,1.56,23,2.56,78,8.67,2,0.22,16,1.78
Shiga,17771,341.75,697,22.48,413,13.32,1831,59.06,6632,213.94,500,16.13,1392,44.9,79,2.55,509,16.42,1073,34.61,326,10.52,1,0.13,161,20.13,6,0.86,15,2.14,15,2.14,-,-,12,1.71
Kyoto,40170,321.36,1827,24.04,980,12.89,5325,70.07,17168,225.89,886,11.66,2008,26.42,272,3.58,1198,15.76,1484,19.53,264,3.47,3,0.18,337,19.82,7,1,2,0.29,43,6.14,-,-,52,7.43
Osaka,91974,302.55,9896,49.98,4866,24.58,20307,102.56,51948,262.36,3662,18.49,4779,24.14,1466,7.4,4366,22.05,5265,26.59,1228,6.2,43,0.84,1237,24.25,18,1.06,26,1.53,157,9.24,2,0.12,219,12.88
Hyogo,66777,337.26,4611,36.02,2619,20.46,8522,66.58,36319,283.74,2255,17.62,3190,24.92,494,3.86,2297,17.95,2816,22,640,5,31,0.91,1195,35.15,37,2.85,32,2.46,84,6.46,2,0.15,112,8.62
Nara,16302,301.89,1589,46.74,669,19.68,2816,82.82,7913,232.74,446,13.12,1148,33.76,261,7.68,712,20.94,941,27.68,119,3.5,2,0.2,354,35.4,13,2.17,11,1.83,66,11,-,-,56,9.33
Wakayama,15069,313.94,1199,39.97,533,17.77,1325,44.17,4587,152.9,387,12.9,546,18.2,162,5.4,600,20,734,24.47,139,4.63,56,18.67,61,20.33,6,0.55,10,0.91,86,7.82,6,0.55,52,4.73
Tottori,10983,378.72,611,32.16,437,23,4328,227.79,6105,321.32,176,9.26,553,29.11,22,1.16,410,21.58,504,26.53,53,2.79,3,0.6,132,26.4,9,1.8,18,3.6,25,5,1,0.2,62,12.4
Shimane,10180,275.14,859,39.05,337,15.32,2358,107.18,6410,291.36,224,10.18,1193,54.23,21,0.95,609,27.68,410,18.64,206,9.36,-,-,28,9.33,14,1.75,53,6.63,21,2.63,-,-,78,9.75
Okayama,28790,342.74,1239,22.94,664,12.3,4253,78.76,17098,316.63,739,13.69,920,17.04,244,4.52,1012,18.74,807,14.94,282,5.22,16,1.33,453,37.75,7,1.4,3,0.6,21,4.2,-,-,30,6
Hiroshima,34808,305.33,2428,34.2,1612,22.7,6754,95.13,22170,312.25,856,12.06,2792,39.32,161,2.27,1234,17.38,1754,24.7,409,5.76,21,1.11,840,44.21,7,0.35,6,0.3,86,4.3,2,0.1,380,19
Yamaguchi,27072,404.06,2687,57.17,812,17.28,6612,140.68,12175,259.04,580,12.34,2835,60.32,158,3.36,1180,25.11,1423,30.28,280,5.96,2,0.22,305,33.89,7,0.78,6,0.67,44,4.89,-,-,104,11.56
Tokushima,12055,325.81,1649,71.7,454,19.74,1676,72.87,5984,260.17,244,10.61,1207,52.48,190,8.26,834,36.26,815,35.43,110,4.78,-,-,54,13.5,4,0.57,3,0.43,26,3.71,1,0.14,2,0.29
Kagawa,15963,347.02,1292,47.85,533,19.74,2444,90.52,8943,331.22,335,12.41,735,27.22,84,3.11,731,27.07,1342,49.7,239,8.85,5,1,169,33.8,7,1.4,6,1.2,33,6.6,1,0.2,43,8.6
