"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52nd week, 2018",,,,,,"Data collected as of January 7, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1898134,384.32,120720,38.29,73932,23.45,358275,113.63,849712,269.49,55480,17.6,122714,38.92,49148,15.59,71159,22.57,99304,31.5,23693,7.51,560,0.8,30621,44,509,1.06,804,1.68,5595,11.66,142,0.3,3235,6.74
Hokkaido,90751,408.79,6795,48.88,4031,29,26005,187.09,15941,114.68,2659,19.13,7541,54.25,441,3.17,1893,13.62,3384,24.35,509,3.66,20,0.71,753,26.89,14,0.61,15,0.65,484,21.04,-,-,185,8.04
Aomori,23839,366.75,932,22.19,591,14.07,2740,65.24,9087,216.36,541,12.88,2113,50.31,281,6.69,814,19.38,798,19,939,22.36,2,0.18,201,18.27,9,1.5,12,2,277,46.17,-,-,114,19
Iwate,26903,420.36,1576,40.41,1094,28.05,6002,153.9,7513,192.64,550,14.1,1971,50.54,1367,35.05,833,21.36,1095,28.08,664,17.03,1,0.07,448,32,9,0.47,5,0.26,233,12.26,7,0.37,59,3.11
Miyagi,35026,368.69,2525,42.8,1245,21.1,8456,143.32,14072,238.51,1433,24.29,2403,40.73,4023,68.19,1534,26,3361,56.97,248,4.2,6,0.5,174,14.5,5,0.42,3,0.25,188,15.67,1,0.08,33,2.75
Akita,20737,391.26,928,27.29,622,18.29,1822,53.59,4673,137.44,435,12.79,373,10.97,195,5.74,403,11.85,914,26.88,195,5.74,7,1,96,13.71,8,1,1,0.13,643,80.38,3,0.38,70,8.75
Yamagata,17007,361.85,1770,61.03,962,33.17,4825,166.38,7929,273.41,718,24.76,1363,47,670,23.1,878,30.28,2859,98.59,140,4.83,1,0.14,144,20.57,10,1,7,0.7,165,16.5,-,-,22,2.2
Fukushima,32162,397.06,3113,63.53,1278,26.08,5544,113.14,8633,176.18,973,19.86,1081,22.06,652,13.31,1420,28.98,2558,52.2,487,9.94,7,0.58,1001,83.42,3,0.5,5,0.83,68,11.33,2,0.33,29,4.83
Ibaraki,43973,366.44,1867,24.89,1801,24.01,8032,107.09,15598,207.97,1169,15.59,1117,14.89,521,6.95,1141,15.21,2158,28.77,278,3.71,7,0.41,1087,63.94,2,0.15,7,0.54,241,18.54,-,-,21,1.62
