"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1st week, 2019",,,,,,"Data collected as of January 9, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,78116,16.3,909,0.3,728,0.24,2481,0.82,9560,3.15,1331,0.44,332,0.11,1167,0.38,471,0.16,32,0.01,195,0.06,10,0.01,362,0.54,6,0.01,6,0.01,74,0.15,-,-,26,0.05
Hokkaido,7252,33.57,110,0.82,27,0.2,152,1.13,86,0.64,43,0.32,7,0.05,19,0.14,12,0.09,-,-,-,-,-,-,7,0.25,-,-,-,-,10,0.43,-,-,1,0.04
Aomori,434,6.68,11,0.26,15,0.36,18,0.43,77,1.83,9,0.21,2,0.05,8,0.19,14,0.33,-,-,5,0.12,1,0.09,6,0.55,-,-,-,-,2,0.33,-,-,2,0.33
Iwate,851,13.09,10,0.25,25,0.63,83,2.08,68,1.7,24,0.6,21,0.53,24,0.6,9,0.23,-,-,12,0.3,-,-,8,0.57,1,0.05,-,-,3,0.16,-,-,3,0.16
Miyagi,587,6.18,15,0.25,11,0.19,55,0.93,112,1.9,48,0.81,5,0.08,143,2.42,9,0.15,-,-,2,0.03,1,0.08,1,0.08,-,-,-,-,1,0.08,-,-,-,-
Akita,941,17.75,6,0.18,7,0.21,11,0.32,43,1.26,15,0.44,-,-,24,0.71,5,0.15,1,0.03,-,-,-,-,1,0.14,-,-,-,-,7,0.88,-,-,-,-
Yamagata,301,6.84,13,0.46,4,0.14,29,1.04,88,3.14,10,0.36,1,0.04,20,0.71,8,0.29,1,0.04,1,0.04,-,-,14,1.75,-,-,-,-,3,0.3,-,-,-,-
Fukushima,1123,13.53,25,0.5,22,0.44,84,1.68,94,1.88,48,0.96,12,0.24,26,0.52,12,0.24,-,-,8,0.16,-,-,11,0.85,1,0.14,-,-,-,-,-,-,-,-
Ibaraki,2478,20.65,30,0.4,19,0.25,101,1.35,317,4.23,46,0.61,6,0.08,23,0.31,8,0.11,1,0.01,2,0.03,-,-,9,0.53,-,-,-,-,5,0.38,-,-,-,-
