"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16th week, 2019",,,,,,"Data collected as of April 24, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1387873,280.49,22439,7.1,16332,5.17,117729,37.26,304659,96.41,16662,5.27,8371,2.65,32528,10.29,17523,5.55,1249,0.4,4476,1.42,108,0.16,6703,9.63,160,0.33,169,0.35,1314,2.74,36,0.08,2261,4.72
Hokkaido,57460,260,1403,10.09,648,4.66,9303,66.93,5561,40.01,630,4.53,103,0.74,983,7.07,462,3.32,18,0.13,114,0.82,2,0.07,185,6.61,5,0.22,2,0.09,121,5.26,3,0.13,75,3.26
Aomori,14333,220.51,156,3.71,140,3.33,1366,32.52,3662,87.19,188,4.48,140,3.33,529,12.6,242,5.76,6,0.14,159,3.79,3,0.27,39,3.55,2,0.33,2,0.33,67,11.17,-,-,47,7.83
Iwate,16920,260.31,158,3.95,198,4.95,2463,61.58,2646,66.15,250,6.25,192,4.8,513,12.83,224,5.6,8,0.2,170,4.25,-,-,143,10.21,2,0.11,1,0.05,54,2.84,1,0.05,125,6.58
Miyagi,29761,316.61,414,7.14,216,3.72,3136,54.07,5086,87.69,520,8.97,81,1.4,2022,34.86,392,6.76,7,0.12,55,0.95,3,0.25,42,3.5,1,0.08,1,0.08,66,5.5,-,-,11,0.92
Akita,14047,265.04,57,1.68,92,2.71,947,27.85,1528,44.94,77,2.26,17,0.5,258,7.59,116,3.41,3,0.09,9,0.26,-,-,24,3.43,2,0.25,-,-,77,9.63,-,-,1,0.13
Yamagata,12355,268.59,105,3.62,182,6.28,1887,65.07,3422,118,187,6.45,105,3.62,796,27.45,242,8.34,11,0.38,22,0.76,-,-,55,6.88,2,0.2,3,0.3,31,3.1,-,-,35,3.5
Fukushima,27566,332.12,381,7.62,375,7.5,2259,45.18,2856,57.12,325,6.5,207,4.14,701,14.02,466,9.32,14,0.28,95,1.9,1,0.08,202,15.54,2,0.29,-,-,17,2.43,-,-,63,9
Ibaraki,36153,301.28,339,4.52,323,4.31,2653,35.37,6082,81.09,426,5.68,92,1.23,731,9.75,263,3.51,21,0.28,60,0.8,-,-,263,16.44,1,0.08,-,-,64,5.33,-,-,14,1.17
Tochigi,21377,285.03,225,4.69,97,2.02,1407,29.31,2522,52.54,231,4.81,127,2.65,377,7.85,292,6.08,5,0.1,59,1.23,-,-,68,5.67,1,0.14,-,-,26,3.71,-,-,23,3.29
Gunma,25355,291.44,250,4.72,271,5.11,1699,32.06,4110,77.55,244,4.6,98,1.85,375,7.08,330,6.23,12,0.23,58,1.09,1,0.07,146,9.73,-,-,1,0.11,13,1.44,-,-,64,7.11
Saitama,91802,360.01,771,4.79,687,4.27,6870,42.67,19219,119.37,1056,6.56,295,1.83,2613,16.23,923,5.73,27,0.17,260,1.61,16,0.4,313,7.83,3,0.27,12,1.09,16,1.45,1,0.09,60,5.45
Chiba,66503,315.18,503,3.81,426,3.23,6050,45.83,11935,90.42,833,6.31,119,0.9,1844,13.97,701,5.31,42,0.32,136,1.03,8,0.24,238,7,7,0.78,10,1.11,26,2.89,-,-,36,4
Tokyo,107035,262.34,1063,4.15,707,2.76,8653,33.8,28686,112.05,1632,6.38,351,1.37,3683,14.39,1551,6.06,55,0.21,235,0.92,1,0.03,170,4.59,15,0.63,12,0.5,35,1.46,14,0.58,108,4.5
Kanagawa,101706,283.3,739,3.24,530,2.32,6911,30.31,20705,90.81,1435,6.29,342,1.5,2317,10.16,1267,5.56,32,0.14,366,1.61,4,0.08,837,16.74,5,0.45,1,0.09,16,1.45,-,-,55,5
Niigata,31201,346.68,533,9.35,581,10.19,3810,66.84,4629,81.21,415,7.28,115,2.02,1627,28.54,373,6.54,5,0.09,94,1.65,12,1.2,65,6.5,3,0.23,1,0.08,61,4.69,3,0.23,15,1.15
Toyama,10603,220.9,133,4.59,312,10.76,1138,39.24,3187,109.9,169,5.83,107,3.69,398,13.72,158,5.45,46,1.59,19,0.66,6,0.86,41,5.86,3,0.6,-,-,3,0.6,-,-,11,2.2
Ishikawa,14985,312.19,206,7.1,345,11.9,2204,76,2668,92,101,3.48,32,1.1,702,24.21,156,5.38,-,-,15,0.52,-,-,34,4.86,3,0.6,2,0.4,31,6.2,-,-,18,3.6
Fukui,10592,302.63,287,13.05,301,13.68,1068,48.55,2240,101.82,162,7.36,16,0.73,112,5.09,113,5.14,7,0.32,41,1.86,-,-,65,21.67,4,0.67,4,0.67,3,0.5,-,-,15,2.5
Yamanashi,11045,269.39,61,2.54,28,1.17,552,23,1765,73.54,114,4.75,50,2.08,272,11.33,84,3.5,2,0.08,58,2.42,2,0.22,42,4.67,3,0.3,6,0.6,46,4.6,-,-,27,2.7
Nagano,27660,321.63,282,5.32,172,3.25,1237,23.34,4913,92.7,219,4.13,57,1.08,458,8.64,213,4.02,36,0.68,50,0.94,1,0.09,40,3.64,2,0.18,5,0.45,38,3.45,-,-,41,3.73
Gifu,24678,286.95,227,4.37,228,4.38,841,16.17,2470,47.5,112,2.15,41,0.79,192,3.69,216,4.15,8,0.15,12,0.23,3,0.27,51,4.64,-,-,-,-,11,2.2,-,-,50,10
Shizuoka,40065,288.24,324,3.64,265,2.98,2443,27.45,9936,111.64,236,2.65,108,1.21,751,8.44,347,3.9,16,0.18,139,1.56,-,-,170,7.73,3,0.3,12,1.2,15,1.5,1,0.1,13,1.3
Aichi,71370,366,1035,5.69,630,3.46,4666,25.64,14824,81.45,633,3.48,118,0.65,1041,5.72,791,4.35,43,0.24,164,0.9,2,0.06,185,5.29,6,0.4,7,0.47,42,2.8,1,0.07,212,14.13
Mie,16997,236.07,546,12.13,239,5.31,1411,31.36,4447,98.82,192,4.27,50,1.11,169,3.76,243,5.4,8,0.18,30,0.67,-,-,5,0.42,5,0.56,16,1.78,27,3,2,0.22,50,5.56
Shiga,13620,261.92,122,3.94,96,3.1,726,23.42,2483,80.1,116,3.74,34,1.1,81,2.61,104,3.35,20,0.65,29,0.94,-,-,14,1.75,2,0.29,1,0.14,1,0.14,1,0.14,12,1.71
Kyoto,31298,250.38,264,3.47,307,4.04,1662,21.87,6952,91.47,275,3.62,143,1.88,702,9.24,295,3.88,19,0.25,60,0.79,-,-,46,2.71,3,0.43,-,-,25,3.57,-,-,76,10.86
Osaka,70817,234.49,2859,14.44,1324,6.69,7059,35.65,20657,104.33,996,5.03,1005,5.08,1496,7.56,1024,5.17,126,0.64,235,1.19,2,0.04,226,4.35,11,0.69,4,0.25,34,2.13,-,-,261,16.31
Hyogo,47297,238.87,1357,10.6,849,6.63,3092,24.16,15705,122.7,705,5.51,395,3.09,1098,8.58,557,4.35,33,0.26,80,0.63,8,0.24,320,9.41,16,1.14,9,0.64,26,1.86,1,0.07,142,10.14
Nara,11262,204.76,322,9.47,213,6.26,1017,29.91,3552,104.47,135,3.97,116,3.41,74,2.18,171,5.03,10,0.29,19,0.56,-,-,105,10.5,3,0.5,3,0.5,26,4.33,-,-,42,7
