"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19th week, 2019",,,,,,"Data collected as of May 15, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1407112,285.3,25789,8.19,20010,6.35,135135,42.91,353872,112.38,19985,6.35,12431,3.95,37874,12.03,21280,6.76,1943,0.62,5241,1.66,132,0.19,7782,11.23,185,0.39,192,0.4,1480,3.09,41,0.09,3244,6.77
Hokkaido,58360,265.27,1625,11.78,844,6.12,10506,76.13,7078,51.29,768,5.57,131,0.95,1203,8.72,552,4,24,0.17,123,0.89,2,0.07,217,7.75,6,0.27,3,0.14,128,5.82,3,0.14,133,6.05
Aomori,14721,226.48,170,4.05,162,3.86,1544,36.76,4228,100.67,223,5.31,198,4.71,628,14.95,288,6.86,7,0.17,191,4.55,3,0.27,56,5.09,2,0.33,2,0.33,71,11.83,-,-,56,9.33
Iwate,17504,269.29,177,4.43,221,5.53,2786,69.65,3273,81.83,286,7.15,193,4.83,552,13.8,273,6.83,8,0.2,181,4.53,-,-,174,12.43,5,0.26,1,0.05,58,3.05,1,0.05,188,9.89
Miyagi,30118,320.4,499,8.6,250,4.31,3633,62.64,6050,104.31,594,10.24,94,1.62,2154,37.14,465,8.02,9,0.16,63,1.09,4,0.33,43,3.58,1,0.08,1,0.08,75,6.25,-,-,21,1.75
Akita,14726,283.19,67,1.97,106,3.12,1044,30.71,1811,53.26,94,2.76,17,0.5,277,8.15,129,3.79,3,0.09,15,0.44,-,-,30,5,2,0.25,-,-,79,9.88,-,-,6,0.75
Yamagata,12555,285.34,137,4.89,211,7.54,2133,76.18,4008,143.14,216,7.71,114,4.07,879,31.39,284,10.14,11,0.39,22,0.79,-,-,58,8.29,3,0.3,4,0.4,34,3.4,-,-,47,4.7
Fukushima,28367,341.77,448,8.96,445,8.9,2638,52.76,3388,67.76,379,7.58,288,5.76,798,15.96,550,11,14,0.28,106,2.12,1,0.08,248,19.08,2,0.29,-,-,18,2.57,-,-,90,12.86
Ibaraki,36451,303.76,392,5.23,403,5.37,3154,42.05,6977,93.03,570,7.6,114,1.52,975,13,347,4.63,35,0.47,75,1,-,-,336,21,4,0.33,1,0.08,71,5.92,-,-,20,1.67
Tochigi,21564,287.52,265,5.52,129,2.69,1679,34.98,2835,59.06,286,5.96,174,3.63,470,9.79,366,7.63,6,0.13,71,1.48,-,-,89,7.42,1,0.14,-,-,30,4.29,-,-,33,4.71
Gunma,25575,300.88,273,5.25,317,6.1,1981,38.1,4863,93.52,313,6.02,109,2.1,462,8.88,386,7.42,19,0.37,66,1.27,1,0.07,161,11.5,-,-,1,0.13,18,2.25,-,-,111,13.88
Saitama,92900,367.19,910,5.69,821,5.13,7931,49.57,22305,139.41,1356,8.48,341,2.13,3029,18.93,1156,7.23,34,0.21,323,2.02,18,0.45,361,9.03,3,0.27,13,1.18,17,1.55,1,0.09,86,7.82
Chiba,67128,318.14,586,4.44,538,4.08,6985,52.92,13434,101.77,975,7.39,159,1.2,2184,16.55,831,6.3,54,0.41,170,1.29,8,0.24,266,7.82,8,0.89,11,1.22,29,3.22,-,-,52,5.78
Tokyo,108792,268.62,1227,4.85,878,3.47,10117,39.99,33287,131.57,1989,7.86,411,1.62,3993,15.78,1925,7.61,68,0.27,282,1.11,2,0.06,204,5.67,16,0.67,12,0.5,38,1.58,17,0.71,142,5.92
Kanagawa,102630,289.92,852,3.79,665,2.96,8003,35.57,23599,104.88,1761,7.83,379,1.68,2519,11.2,1507,6.7,45,0.2,444,1.97,5,0.1,969,19.38,6,0.55,2,0.18,20,1.82,-,-,83,7.55
Niigata,31570,350.78,660,11.58,688,12.07,4377,76.79,6050,106.14,485,8.51,129,2.26,1852,32.49,427,7.49,7,0.12,106,1.86,13,1.3,77,7.7,4,0.31,1,0.08,66,5.08,3,0.23,31,2.38
Toyama,10719,223.31,142,4.9,370,12.76,1279,44.1,3694,127.38,194,6.69,115,3.97,495,17.07,190,6.55,55,1.9,24,0.83,9,1.29,45,6.43,3,0.6,1,0.2,3,0.6,-,-,14,2.8
Ishikawa,15175,316.15,246,8.48,410,14.14,2427,83.69,3336,115.03,125,4.31,37,1.28,849,29.28,184,6.34,-,-,18,0.62,-,-,43,6.14,3,0.6,3,0.6,36,7.2,-,-,36,7.2
Fukui,10747,307.06,336,15.27,364,16.55,1278,58.09,2815,127.95,204,9.27,18,0.82,147,6.68,148,6.73,11,0.5,46,2.09,-,-,71,23.67,6,1,4,0.67,5,0.83,-,-,38,6.33
