"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2019",,,,,,"Data collected as of May 29, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1414787,286.68,27685,8.79,23413,7.43,152684,48.46,397123,126.03,22386,7.1,20356,6.46,43389,13.77,24492,7.77,3527,1.12,5947,1.89,149,0.21,8598,12.39,206,0.43,212,0.44,1595,3.33,45,0.09,3778,7.89
Hokkaido,58706,266.85,1735,12.57,1049,7.6,11557,83.75,8837,64.04,873,6.33,173,1.25,1466,10.62,632,4.58,35,0.25,138,1,3,0.11,236,8.43,7,0.32,4,0.18,139,6.32,3,0.14,197,8.95
Aomori,14831,228.17,187,4.45,183,4.36,1678,39.95,4609,109.74,243,5.79,274,6.52,771,18.36,331,7.88,16,0.38,203,4.83,3,0.27,60,5.45,2,0.33,2,0.33,76,12.67,-,-,56,9.33
Iwate,17670,271.85,198,4.95,246,6.15,3055,76.38,3872,96.8,307,7.68,199,4.98,602,15.05,316,7.9,9,0.23,190,4.75,-,-,190,13.57,6,0.32,1,0.05,59,3.11,1,0.05,210,11.05
Miyagi,30316,322.51,582,10.03,277,4.78,4106,70.79,7020,121.03,675,11.64,109,1.88,2279,39.29,534,9.21,11,0.19,79,1.36,4,0.33,52,4.33,1,0.08,1,0.08,80,6.67,-,-,25,2.08
Akita,14846,280.11,72,2.12,112,3.29,1127,33.15,2119,62.32,99,2.91,17,0.5,292,8.59,146,4.29,11,0.32,20,0.59,-,-,35,5.83,2,0.25,-,-,79,9.88,-,-,15,1.88
Yamagata,12687,288.34,176,6.07,231,7.97,2434,83.93,4612,159.03,242,8.34,139,4.79,959,33.07,319,11,13,0.45,26,0.9,-,-,63,9,3,0.3,4,0.4,38,3.8,-,-,55,5.5
Fukushima,28715,345.96,508,10.16,497,9.94,2964,59.28,4034,80.68,411,8.22,333,6.66,889,17.78,607,12.14,19,0.38,117,2.34,1,0.08,265,20.38,2,0.29,-,-,19,2.71,-,-,120,17.14
Ibaraki,36593,304.94,411,5.48,466,6.21,3546,47.28,7783,103.77,655,8.73,156,2.08,1172,15.63,406,5.41,52,0.69,90,1.2,-,-,374,23.38,4,0.33,1,0.08,79,6.58,-,-,34,2.83
Tochigi,21638,288.51,293,6.1,162,3.38,1899,39.56,3141,65.44,302,6.29,222,4.63,546,11.38,434,9.04,6,0.13,79,1.65,-,-,103,8.58,1,0.14,-,-,31,4.43,-,-,42,6
Gunma,25648,301.74,299,5.75,379,7.29,2254,43.35,5522,106.19,358,6.88,138,2.65,553,10.63,452,8.69,27,0.52,80,1.54,1,0.07,175,12.5,-,-,1,0.13,19,2.38,-,-,126,15.75
Saitama,93251,368.58,1021,6.38,1019,6.37,9103,56.89,25253,157.83,1543,9.64,433,2.71,3437,21.48,1357,8.48,45,0.28,359,2.24,19,0.48,404,10.1,3,0.27,13,1.18,17,1.55,1,0.09,98,8.91
Chiba,67442,319.63,633,4.8,650,4.92,7928,60.06,14828,112.33,1106,8.38,245,1.86,2463,18.66,939,7.11,81,0.61,214,1.62,9,0.26,301,8.85,9,1,11,1.22,32,3.56,-,-,60,6.67
Tokyo,109371,270.05,1351,5.32,1100,4.33,11724,46.16,37333,146.98,2238,8.81,603,2.37,4243,16.7,2238,8.81,106,0.42,330,1.3,2,0.05,233,6.3,18,0.75,16,0.67,43,1.79,19,0.79,160,6.67
Kanagawa,103068,291.15,904,4,832,3.68,9355,41.39,26534,117.41,2050,9.07,534,2.36,2771,12.26,1750,7.74,69,0.31,511,2.26,8,0.16,1051,21.02,6,0.55,2,0.18,23,2.09,-,-,101,9.18
Niigata,31703,352.26,785,13.77,809,14.19,4969,87.18,7116,124.84,525,9.21,136,2.39,2117,37.14,497,8.72,12,0.21,121,2.12,13,1.3,79,7.9,5,0.38,1,0.08,69,5.31,3,0.23,37,2.85
Toyama,10751,223.98,156,5.38,418,14.41,1415,48.79,4239,146.17,233,8.03,120,4.14,650,22.41,212,7.31,66,2.28,26,0.9,10,1.43,51,7.29,3,0.6,1,0.2,3,0.6,-,-,16,3.2
Ishikawa,15284,318.42,265,9.14,466,16.07,2662,91.79,3930,135.52,141,4.86,63,2.17,950,32.76,215,7.41,7,0.24,20,0.69,-,-,47,6.71,3,0.6,4,0.8,41,8.2,-,-,50,10
Fukui,10816,309.03,356,16.18,393,17.86,1451,65.95,3320,150.91,220,10,55,2.5,184,8.36,168,7.64,13,0.59,54,2.45,-,-,74,24.67,6,1,4,0.67,10,1.67,-,-,52,8.67
Yamanashi,11256,274.54,73,3.04,43,1.79,705,29.38,2321,96.71,151,6.29,63,2.63,402,16.75,114,4.75,9,0.38,63,2.63,4,0.44,71,7.89,4,0.4,8,0.8,49,4.9,-,-,52,5.2
Nagano,28381,330.01,346,6.53,259,4.89,1690,31.89,6848,129.21,279,5.26,128,2.42,742,14,311,5.87,54,1.02,60,1.13,1,0.1,51,5.1,5,0.45,6,0.55,49,4.45,-,-,124,11.27
Gifu,25242,293.51,272,5.23,315,6.06,1098,21.12,3440,66.15,186,3.58,61,1.17,300,5.77,295,5.67,16,0.31,25,0.48,3,0.27,62,5.64,-,-,-,-,12,2.4,1,0.2,95,19
