"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22nd week, 2019",,,,,,"Data collected as of June 5, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1417232,287.12,28453,9.03,25406,8.06,161698,51.3,417885,132.58,23528,7.46,26562,8.43,45616,14.47,26236,8.32,4695,1.49,6378,2.02,154,0.22,9021,13,216,0.45,232,0.48,1666,3.48,47,0.1,3997,8.34
Hokkaido,58787,267.21,1793,12.99,1168,8.46,12049,87.31,9634,69.81,909,6.59,211,1.53,1581,11.46,681,4.93,42,0.3,147,1.07,3,0.11,257,9.18,8,0.36,4,0.18,144,6.55,3,0.14,226,10.27
Aomori,14867,228.72,194,4.62,198,4.71,1743,41.5,4824,114.86,248,5.9,354,8.43,809,19.26,354,8.43,26,0.62,209,4.98,3,0.27,68,6.18,2,0.33,2,0.33,83,13.83,-,-,58,9.67
Iwate,17683,272.05,206,5.15,262,6.55,3188,79.7,4187,104.68,321,8.03,203,5.08,607,15.18,342,8.55,10,0.25,196,4.9,-,-,196,14,6,0.32,1,0.05,60,3.16,1,0.05,225,11.84
Miyagi,30357,322.95,614,10.59,297,5.12,4314,74.38,7463,128.67,733,12.64,117,2.02,2330,40.17,581,10.02,16,0.28,90,1.55,4,0.33,61,5.08,1,0.08,1,0.08,82,6.83,-,-,27,2.25
Akita,14888,280.91,77,2.26,116,3.41,1172,34.47,2284,67.18,106,3.12,18,0.53,296,8.71,157,4.62,12,0.35,20,0.59,-,-,35,5.83,2,0.25,-,-,80,10,-,-,16,2
Yamagata,12720,289.09,189,6.52,249,8.59,2584,89.1,4830,166.55,258,8.9,163,5.62,996,34.34,344,11.86,13,0.45,28,0.97,-,-,63,9,3,0.3,6,0.6,38,3.8,-,-,59,5.9
Fukushima,28775,346.69,543,10.86,537,10.74,3129,62.58,4355,87.1,423,8.46,382,7.64,936,18.72,639,12.78,30,0.6,123,2.46,1,0.08,279,21.46,2,0.29,-,-,19,2.71,-,-,133,19
Ibaraki,36632,305.27,423,5.64,515,6.87,3759,50.12,8142,108.56,692,9.23,221,2.95,1254,16.72,444,5.92,62,0.83,98,1.31,-,-,402,25.13,4,0.33,1,0.08,89,7.42,-,-,35,2.92
