"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51st week, 2019",,,,,,"Data collected as of December 25, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1760592,356.4,138302,43.82,72986,23.13,344704,109.22,786135,249.09,54832,17.37,400723,126.97,106390,33.71,63438,20.1,96852,30.69,14966,4.74,331,0.48,22652,32.64,457,0.95,793,1.66,5884,12.28,98,0.2,4685,9.78
Hokkaido,85988,390.85,6975,50.91,3110,22.7,22990,167.81,17868,130.42,2366,17.27,16588,121.08,4325,31.57,1712,12.5,3269,23.86,345,2.52,7,0.25,663,23.68,13,0.59,13,0.59,728,33.09,5,0.23,335,15.23
Aomori,21478,330.43,1046,24.9,434,10.33,2878,68.52,8151,194.07,593,14.12,4776,113.71,1522,36.24,833,19.83,787,18.74,374,8.9,5,0.45,216,19.64,2,0.33,2,0.33,236,39.33,-,-,69,11.5
Iwate,21294,327.6,1596,39.9,515,12.88,6231,155.78,8194,204.85,616,15.4,4659,116.48,1058,26.45,847,21.18,937,23.43,296,7.4,-,-,316,22.57,11,0.58,9,0.47,139,7.32,2,0.11,246,12.95
Miyagi,39748,422.85,2629,45.33,1213,20.91,9452,162.97,13864,239.03,1661,28.64,10838,186.86,3118,53.76,1385,23.88,1506,25.97,269,4.64,5,0.42,226,18.83,5,0.42,4,0.33,251,20.92,-,-,35,2.92
Akita,18455,348.21,997,29.32,254,7.47,2035,59.85,4315,126.91,312,9.18,2321,68.26,392,11.53,384,11.29,548,16.12,42,1.24,-,-,76,12.67,10,1.25,1,0.13,151,18.88,1,0.13,34,4.25
Yamagata,15839,351.98,1865,64.31,748,25.79,5964,205.66,7843,270.45,733,25.28,5698,196.48,1320,45.52,777,26.79,1436,49.52,65,2.24,-,-,170,24.29,3,0.3,8,0.8,89,8.9,-,-,76,7.6
Fukushima,35721,435.62,3415,68.3,1446,28.92,6485,129.7,7548,150.96,929,18.58,7955,159.1,2282,45.64,1489,29.78,1361,27.22,235,4.7,5,0.38,617,47.46,5,0.71,8,1.14,78,11.14,-,-,146,20.86
Ibaraki,43545,362.88,2166,28.88,1567,20.89,7589,101.19,15018,200.24,1526,20.35,8354,111.39,2452,32.69,1097,14.63,2528,33.71,293,3.91,-,-,1004,62.75,8,0.67,6,0.5,239,19.92,-,-,50,4.17
Tochigi,25430,339.07,1877,39.1,527,10.98,3635,75.73,6143,127.98,687,14.31,5858,122.04,1263,26.31,1136,23.67,1566,32.63,202,4.21,2,0.17,228,19,3,0.43,6,0.86,94,13.43,-,-,49,7
Gunma,28463,330.97,1851,35.6,955,18.37,4943,95.06,13475,259.13,729,14.02,6782,130.42,1585,30.48,1241,23.87,1867,35.9,211,4.06,9,0.64,484,34.57,2,0.25,6,0.75,147,18.38,-,-,140,17.5
Saitama,113281,447.75,5845,36.53,3963,24.77,21692,135.58,49379,308.62,4163,26.02,25830,161.44,6702,41.89,3626,22.66,6127,38.29,937,5.86,70,1.75,1135,28.38,7,0.64,39,3.55,136,12.36,1,0.09,125,11.36
Chiba,82094,387.24,3417,25.69,2280,17.14,19166,144.11,29306,220.35,2679,20.14,18492,139.04,4746,35.68,2540,19.1,3306,24.86,661,4.97,15,0.44,929,27.32,15,1.88,20,2.5,161,20.13,-,-,85,10.63
Tokyo,138994,341.51,8614,33.65,4251,16.61,28358,110.77,74734,291.93,5575,21.78,33933,132.55,6039,23.59,5768,22.53,10310,40.27,980,3.83,10,0.27,626,16.92,38,1.58,46,1.92,336,14,37,1.54,187,7.79
Kanagawa,131383,370.09,5626,24.78,3380,14.89,23202,102.21,52315,230.46,5162,22.74,29079,128.1,4678,20.61,4459,19.64,5940,26.17,1302,5.74,17,0.34,2890,57.8,9,0.82,26,2.36,102,9.27,1,0.09,120,10.91
Niigata,38975,433.06,4601,80.72,2307,40.47,11766,206.42,12719,223.14,1277,22.4,10365,181.84,3154,55.33,1399,24.54,2625,46.05,289,5.07,28,2.8,230,23,13,1,9,0.69,144,11.08,4,0.31,52,4
Toyama,15349,319.77,1115,38.45,770,26.55,3159,108.93,9010,310.69,440,15.17,3823,131.83,1643,56.66,556,19.17,1143,39.41,53,1.83,13,1.86,94,13.43,6,1.2,4,0.8,28,5.6,-,-,18,3.6
Ishikawa,19206,400.13,1319,45.48,963,33.21,5109,176.17,7827,269.9,486,16.76,4262,146.97,1485,51.21,507,17.48,744,25.66,62,2.14,1,0.14,171,24.43,3,0.6,18,3.6,104,20.8,-,-,72,14.4
Fukui,12095,335.97,1232,56,1005,45.68,2997,136.23,7253,329.68,428,19.45,4388,199.45,887,40.32,477,21.68,781,35.5,93,4.23,-,-,113,37.67,13,2.17,13,2.17,28,4.67,5,0.83,77,12.83
Yamanashi,13107,319.68,539,22.46,213,8.88,1320,55,4356,181.5,372,15.5,2898,120.75,861,35.88,294,12.25,372,15.5,101,4.21,5,0.56,377,41.89,8,0.8,13,1.3,109,10.9,-,-,57,5.7
Nagano,34004,395.4,1569,29.6,686,12.94,4308,81.28,14212,268.15,775,14.62,7669,144.7,2961,55.87,794,14.98,1807,34.09,127,2.4,5,0.5,141,14.1,11,1,12,1.09,90,8.18,-,-,241,21.91
Gifu,29101,338.38,1497,28.79,836,16.08,2397,46.1,7580,145.77,389,7.48,4781,91.94,1237,23.79,719,13.83,888,17.08,100,1.92,3,0.27,175,15.91,-,-,3,0.6,70,14,1,0.2,117,23.4
Shizuoka,46222,334.94,3289,36.96,1804,20.27,7764,87.24,22694,254.99,984,11.06,11019,123.81,2774,31.17,1373,15.43,2518,28.29,456,5.12,3,0.14,788,35.82,10,1,26,2.6,107,10.7,1,0.1,20,2
Aichi,86991,446.11,6014,33.04,3008,16.53,14827,81.47,36651,201.38,2015,11.07,20139,110.65,6324,34.75,2722,14.96,4073,22.38,594,3.26,7,0.2,653,18.66,18,1.29,44,3.14,285,20.36,1,0.07,378,27
Mie,20923,294.69,2247,51.07,1041,23.66,4008,91.09,10975,249.43,511,11.61,5551,126.16,956,21.73,891,20.25,1453,33.02,112,2.55,3,0.25,56,4.67,14,1.56,26,2.89,71,7.89,3,0.33,84,9.33
Shiga,16800,323.08,867,27.97,738,23.81,2018,65.1,6614,213.35,419,13.52,3535,114.03,1286,41.48,384,12.39,1155,37.26,109,3.52,-,-,68,8.5,10,1.43,11,1.57,30,4.29,1,0.14,44,6.29
Kyoto,38365,306.92,2057,27.07,1537,20.22,5490,72.24,16868,221.95,1191,15.67,6751,88.83,2736,36,1083,14.25,1414,18.61,207,2.72,1,0.06,219,12.88,4,0.57,25,3.57,108,15.43,-,-,130,18.57
Osaka,83069,275.98,12337,62.62,5032,25.54,21919,111.26,53779,272.99,3130,15.89,20656,104.85,6741,34.22,3788,19.23,5741,29.14,824,4.18,20,0.39,863,16.92,17,1.06,31,1.94,121,7.56,1,0.06,382,23.88
Hyogo,56294,284.31,6463,50.49,3479,27.18,9305,72.7,39401,307.82,2017,15.76,17215,134.49,4923,38.46,2072,16.19,2622,20.48,383,2.99,14,0.41,1128,33.18,35,2.5,70,5,160,11.43,6,0.43,236,16.86
Nara,13152,239.13,1983,58.32,800,23.53,2930,86.18,8903,261.85,400,11.76,3218,94.65,832,24.47,650,19.12,840,24.71,90,2.65,-,-,284,28.4,18,3,22,3.67,75,12.5,-,-,81,13.5
Wakayama,10153,207.2,1538,51.27,547,18.23,1348,44.93,5957,198.57,290,9.67,2766,92.2,1092,36.4,504,16.8,751,25.03,87,2.9,15,3.75,86,21.5,8,0.73,17,1.55,124,11.27,2,0.18,98,8.91
Tottori,8275,285.34,875,46.05,815,42.89,4017,211.42,5627,296.16,322,16.95,2877,151.42,497,26.16,358,18.84,529,27.84,42,2.21,1,0.2,199,39.8,4,0.8,10,2,63,12.6,1,0.2,43,8.6
Shimane,9351,252.73,1018,46.27,432,19.64,1779,80.86,6923,314.68,263,11.95,2665,121.14,313,14.23,562,25.55,208,9.45,71,3.23,-,-,26,8.67,9,1.13,28,3.5,35,4.38,2,0.25,26,3.25
Okayama,22303,265.51,1660,30.74,1210,22.41,3625,67.13,15515,287.31,605,11.2,6284,116.37,808,14.96,745,13.8,1313,24.31,189,3.5,14,1.27,289,26.27,13,2.6,7,1.4,28,5.6,1,0.2,46,9.2
Hiroshima,35486,314.04,3323,47.47,2068,29.54,5885,84.07,18971,271.01,763,10.9,5905,84.36,1190,17,1206,17.23,1918,27.4,584,8.34,12,0.67,639,35.5,9,0.45,16,0.8,94,4.7,2,0.1,94,4.7
Yamaguchi,24661,373.65,3452,75.04,804,17.48,4130,89.78,10463,227.46,452,9.83,6567,142.76,1037,22.54,1090,23.7,2024,44,168,3.65,1,0.13,235,29.38,7,0.78,7,0.78,138,15.33,-,-,53,5.89
Tokushima,9422,254.65,1855,80.65,542,23.57,764,33.22,6089,264.74,250,10.87,2071,90.04,655,28.48,455,19.78,484,21.04,56,2.43,3,0.75,117,29.25,3,0.43,7,1,126,18,1,0.14,8,1.14
Kagawa,12362,263.02,1763,62.96,942,33.64,2439,87.11,9292,331.86,368,13.14,4481,160.04,1107,39.54,706,25.21,1057,37.75,234,8.36,6,1.2,76,15.2,4,0.8,7,1.4,110,22,1,0.2,25,5
Ehime,17069,284.48,2038,56.61,806,22.39,4918,136.61,13923,386.75,531,14.75,4611,128.08,1182,32.83,1080,30,890,24.72,512,14.22,1,0.13,1037,129.63,3,0.5,6,1,57,9.5,-,-,14,2.33
Kochi,14876,309.92,1271,42.37,794,26.47,3204,106.8,5217,173.9,388,12.93,2717,90.57,793,26.43,504,16.8,763,25.43,50,1.67,1,0.33,63,21,2,0.25,5,0.63,148,18.5,4,0.5,93,11.63
Fukuoka,81397,411.1,7970,66.42,4275,35.63,22475,187.29,39901,332.51,3174,26.45,19996,166.63,7619,63.49,3655,30.46,5261,43.84,1346,11.22,15,0.58,1404,54,35,2.33,31,2.07,134,8.93,2,0.13,95,6.33
Saga,12374,325.63,1326,60.27,988,44.91,2378,108.09,3967,180.32,471,21.41,3577,162.59,1051,47.77,763,34.68,1050,47.73,42,1.91,1,0.33,176,58.67,6,1,11,1.83,40,6.67,-,-,63,10.5
Nagasaki,25866,374.87,2128,49.49,1180,27.44,3577,83.19,6647,154.58,637,14.81,4884,113.58,1785,41.51,895,20.81,1137,26.44,181,4.21,5,0.63,244,30.5,12,1,28,2.33,115,9.58,-,-,59,4.92
Kumamoto,27879,352.9,2849,58.14,1331,27.16,4853,99.04,18672,381.06,670,13.67,6502,132.69,1588,32.41,1651,33.69,2686,54.82,389,7.94,1,0.11,983,109.22,5,0.33,29,1.93,44,2.93,2,0.13,175,11.67
Oita,23569,406.36,1530,42.5,1176,32.67,3209,89.14,15813,439.25,755,20.97,3810,105.83,1451,40.31,1064,29.56,1753,48.69,550,15.28,-,-,191,38.2,3,0.27,12,1.09,78,7.09,-,-,21,1.91
Miyazaki,22072,380.55,2966,84.74,1639,46.83,4811,137.46,12484,356.69,665,19,4104,117.26,1392,39.77,1314,37.54,2071,59.17,178,5.09,1,0.17,607,101.17,-,-,1,0.14,13,1.86,1,0.14,27,3.86
Kagoshima,33402,367.05,3124,58.94,3047,57.49,5205,98.21,18549,349.98,1006,18.98,7072,133.43,1511,28.51,1223,23.08,2791,52.66,326,6.15,3,0.43,626,89.43,7,0.58,3,0.25,24,2,-,-,36,3
Okinawa,44709,784.37,2568,77.82,1528,46.3,2150,65.15,5130,155.45,657,19.91,2401,72.76,1037,31.42,660,20,502,15.21,149,4.52,3,0.38,714,89.25,16,2.29,47,6.71,96,13.71,9,1.29,23,3.29
