"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4th week, 2020",,,,,,"Data collected as of January 29, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,328401,67.19,3579,1.15,4686,1.5,27702,8.89,66254,21.26,5308,1.7,1970,0.63,5749,1.84,3233,1.04,272,0.09,603,0.19,20,0.03,1192,1.75,29,0.06,36,0.08,596,1.25,3,0.01,38,0.08
Hokkaido,9882,45.75,455,3.42,229,1.72,1331,10.01,1080,8.12,193,1.45,21,0.16,576,4.33,92,0.69,7,0.05,18,0.14,2,0.07,47,1.68,1,0.05,3,0.14,47,2.14,-,-,8,0.36
Aomori,3101,47.71,55,1.31,40,0.95,230,5.48,953,22.69,36,0.86,72,1.71,76,1.81,47,1.12,2,0.05,3,0.07,-,-,17,1.55,-,-,-,-,5,0.83,-,-,-,-
Iwate,4205,63.71,56,1.37,36,0.88,433,10.56,726,17.71,38,0.93,47,1.15,66,1.61,44,1.07,-,-,7,0.17,-,-,15,1.07,-,-,-,-,7,0.37,-,-,-,-
Miyagi,4873,51.84,86,1.48,100,1.72,639,11.02,1055,18.19,137,2.36,58,1,56,0.97,59,1.02,-,-,3,0.05,1,0.08,13,1.08,-,-,-,-,25,2.08,-,-,-,-
Akita,5105,96.32,37,1.09,18,0.53,133,3.91,325,9.56,29,0.85,38,1.12,8,0.24,12,0.35,-,-,3,0.09,1,0.17,2,0.33,-,-,-,-,4,0.5,-,-,1,0.13
Yamagata,2368,55.07,29,1.04,88,3.14,487,17.39,450,16.07,79,2.82,1,0.04,33,1.18,53,1.89,1,0.04,3,0.11,-,-,14,1.75,1,0.1,-,-,8,0.8,-,-,-,-
Fukushima,6682,80.51,76,1.52,61,1.22,474,9.48,745,14.9,84,1.68,21,0.42,202,4.04,80,1.6,1,0.02,10,0.2,-,-,53,4.08,-,-,-,-,10,1.43,-,-,-,-
Ibaraki,8825,73.54,54,0.72,131,1.75,611,8.15,1661,22.15,208,2.77,19,0.25,76,1.01,53,0.71,2,0.03,16,0.21,-,-,57,3.35,-,-,1,0.08,22,1.83,-,-,-,-
