"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8th week, 2020",,,,,,"Data collected as of February 26, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,511076,103.79,7504,2.39,9785,3.11,71968,22.91,144233,45.9,9937,3.16,3687,1.17,10420,3.32,6967,2.22,569,0.18,1244,0.4,34,0.05,2370,3.43,60,0.13,77,0.16,1227,2.57,10,0.02,112,0.23
Hokkaido,22345,102.5,740,5.48,512,3.79,4061,30.08,2556,18.93,403,2.99,33,0.24,975,7.22,201,1.49,17,0.13,28,0.21,2,0.07,186,6.64,3,0.14,5,0.23,93,4.23,-,-,17,0.77
Aomori,4301,66.17,99,2.36,69,1.64,593,14.12,2079,49.5,76,1.81,164,3.9,174,4.14,95,2.26,3,0.07,8,0.19,-,-,29,2.64,-,-,-,-,13,2.17,-,-,1,0.17
Iwate,7275,111.92,103,2.58,62,1.55,1133,28.33,1588,39.7,89,2.23,94,2.35,134,3.35,91,2.28,5,0.13,16,0.4,-,-,36,2.57,1,0.05,-,-,14,0.74,-,-,4,0.21
Miyagi,7202,76.62,217,3.74,176,3.03,1759,30.33,2577,44.43,222,3.83,130,2.24,98,1.69,135,2.33,2,0.03,17,0.29,1,0.08,22,1.83,1,0.08,-,-,59,4.92,-,-,1,0.08
Akita,6556,123.7,51,1.5,33,0.97,272,8,1045,30.74,44,1.29,77,2.26,14,0.41,36,1.06,-,-,7,0.21,1,0.17,7,1.17,1,0.13,-,-,7,0.88,-,-,1,0.13
Yamagata,3776,85.82,89,3.07,203,7,1295,44.66,1201,41.41,153,5.28,8,0.28,100,3.45,105,3.62,8,0.28,7,0.24,-,-,22,3.14,1,0.1,-,-,17,1.7,-,-,-,-
Fukushima,9799,118.06,175,3.5,149,2.98,1153,23.06,1754,35.08,164,3.28,41,0.82,389,7.78,188,3.76,3,0.06,20,0.4,-,-,90,6.92,-,-,-,-,16,2.29,-,-,-,-
Ibaraki,11314,95.08,92,1.24,281,3.8,1474,19.92,3254,43.97,307,4.15,30,0.41,140,1.89,111,1.5,6,0.08,21,0.28,-,-,104,6.12,-,-,2,0.17,49,4.08,-,-,1,0.08
Tochigi,5741,75.54,108,2.25,48,1,668,13.92,1370,28.54,131,2.73,26,0.54,64,1.33,111,2.31,1,0.02,14,0.29,-,-,22,1.83,-,-,-,-,18,2.57,-,-,1,0.14
Gunma,10233,121.82,75,1.44,195,3.75,805,15.48,2081,40.02,190,3.65,49,0.94,120,2.31,124,2.38,9,0.17,22,0.42,-,-,68,4.86,1,0.11,1,0.11,34,3.78,-,-,1,0.11
Saitama,26512,105.63,366,2.32,559,3.54,4089,25.88,9118,57.71,737,4.66,222,1.41,286,1.81,370,2.34,16,0.1,80,0.51,5,0.13,129,3.31,1,0.09,3,0.27,37,3.36,-,-,1,0.09
Chiba,23171,108.78,199,1.5,258,1.94,4475,33.65,5747,43.21,444,3.34,136,1.02,214,1.61,237,1.78,17,0.13,68,0.51,3,0.09,137,4.03,2,0.22,-,-,34,3.78,-,-,-,-
Tokyo,30302,75.38,340,1.35,488,1.94,6011,23.85,14852,58.94,912,3.62,235,0.93,178,0.71,623,2.47,101,0.4,98,0.39,2,0.06,79,2.19,3,0.13,8,0.33,72,3,8,0.33,2,0.08
Kanagawa,26633,75.88,285,1.27,361,1.61,5232,23.36,10461,46.7,758,3.38,186,0.83,186,0.83,453,2.02,14,0.06,96,0.43,-,-,283,5.78,1,0.09,1,0.09,28,2.55,-,-,2,0.18
Niigata,9364,104.04,214,3.75,386,6.77,2947,51.7,1733,30.4,265,4.65,73,1.28,66,1.16,152,2.67,10,0.18,17,0.3,6,0.6,36,3.6,1,0.08,1,0.08,21,1.62,-,-,1,0.08
Toyama,3082,64.21,50,1.72,112,3.86,1325,45.69,1734,59.79,119,4.1,71,2.45,159,5.48,74,2.55,19,0.66,6,0.21,-,-,12,1.71,-,-,1,0.2,12,2.4,-,-,-,-
Ishikawa,5099,106.23,72,2.48,64,2.21,1711,59,2038,70.28,227,7.83,31,1.07,145,5,49,1.69,2,0.07,7,0.24,-,-,7,1,-,-,3,0.6,20,4,-,-,-,-
Fukui,4655,125.81,63,2.74,154,6.7,558,24.26,1584,68.87,26,1.13,8,0.35,233,10.13,44,1.91,9,0.39,2,0.09,-,-,4,1.33,1,0.17,1,0.17,5,0.83,-,-,-,-
Yamanashi,3960,96.59,36,1.5,20,0.83,338,14.08,817,34.04,58,2.42,5,0.21,61,2.54,26,1.08,3,0.13,6,0.25,-,-,54,6,1,0.1,1,0.1,20,2,-,-,-,-
Nagano,10167,118.22,295,5.57,51,0.96,1057,19.94,2978,56.19,172,3.25,30,0.57,312,5.89,108,2.04,28,0.53,8,0.15,-,-,27,2.7,1,0.09,-,-,18,1.64,-,-,10,0.91
Gifu,10619,123.48,94,1.81,92,1.77,374,7.19,1440,27.69,36,0.69,39,0.75,127,2.44,76,1.46,2,0.04,9,0.17,1,0.09,10,0.91,-,-,-,-,21,4.2,-,-,2,0.4
Shizuoka,15342,110.37,187,2.1,250,2.81,2033,22.84,3603,40.48,145,1.63,64,0.72,192,2.16,171,1.92,6,0.07,42,0.47,-,-,82,3.73,2,0.2,3,0.3,31,3.1,-,-,-,-
Aichi,28963,148.53,369,2.03,439,2.41,3010,16.54,6807,37.4,326,1.79,179,0.98,561,3.08,291,1.6,17,0.09,37,0.2,2,0.06,44,1.26,1,0.07,10,0.67,77,5.13,-,-,1,0.07
Mie,7599,107.03,192,4.36,226,5.14,783,17.8,1824,41.45,99,2.25,40,0.91,222,5.05,94,2.14,5,0.11,14,0.32,-,-,11,1.1,-,-,1,0.13,13,1.63,-,-,1,0.13
Shiga,6529,128.02,57,1.9,39,1.3,410,13.67,1029,34.3,49,1.63,23,0.77,82,2.73,41,1.37,13,0.43,8,0.27,1,0.13,1,0.13,3,0.43,1,0.14,10,1.43,-,-,2,0.29
Kyoto,12744,101.95,125,1.64,155,2.04,1137,14.96,2229,29.33,165,2.17,51,0.67,140,1.84,112,1.47,6,0.08,13,0.17,-,-,28,1.56,-,-,2,0.29,26,3.71,-,-,-,-
Osaka,36309,121.03,651,3.3,505,2.56,3643,18.49,7414,37.63,510,2.59,134,0.68,452,2.29,388,1.97,27,0.14,72,0.37,4,0.08,62,1.22,2,0.13,3,0.19,41,2.56,-,-,1,0.06
Hyogo,21273,107.44,359,2.78,381,2.95,1490,11.55,5962,46.22,304,2.36,33,0.26,327,2.53,230,1.78,10,0.08,41,0.32,1,0.03,134,3.83,8,0.57,6,0.43,58,4.14,1,0.07,4,0.29
Nara,5129,93.25,113,3.32,63,1.85,444,13.06,1370,40.29,65,1.91,35,1.03,179,5.26,68,2,1,0.03,4,0.12,-,-,15,1.5,1,0.17,3,0.5,18,3,-,-,4,0.67
Wakayama,4073,83.12,202,6.73,89,2.97,329,10.97,903,30.1,58,1.93,1,0.03,149,4.97,51,1.7,1,0.03,4,0.13,-,-,2,0.5,1,0.09,-,-,34,3.09,1,0.09,-,-
Tottori,3036,104.69,26,1.37,59,3.11,765,40.26,992,52.21,48,2.53,9,0.47,184,9.68,42,2.21,11,0.58,3,0.16,-,-,31,6.2,1,0.2,1,0.2,19,3.8,-,-,-,-
Shimane,3301,86.87,26,1.13,40,1.74,349,15.17,848,36.87,52,2.26,10,0.43,103,4.48,78,3.39,2,0.09,5,0.22,-,-,-,-,1,0.13,-,-,8,1,-,-,-,-
Okayama,10728,127.71,86,1.59,232,4.3,557,10.31,2771,51.31,145,2.69,14,0.26,161,2.98,71,1.31,4,0.07,17,0.31,-,-,13,1.08,3,0.6,1,0.2,7,1.4,-,-,1,0.2
Hiroshima,9527,84.31,187,2.67,371,5.3,1002,14.31,3569,50.99,141,2.01,57,0.81,194,2.77,136,1.94,9,0.13,33,0.47,1,0.06,67,3.72,2,0.1,-,-,28,1.4,-,-,1,0.05
Yamaguchi,5078,75.79,233,5.07,124,2.7,688,14.96,2138,46.48,110,2.39,80,1.74,194,4.22,158,3.43,13,0.28,15,0.33,-,-,18,2,-,-,3,0.33,16,1.78,-,-,6,0.67
Tokushima,2969,80.24,73,3.17,60,2.61,134,5.83,1270,55.22,65,2.83,17,0.74,82,3.57,51,2.22,-,-,3,0.13,-,-,8,2,3,0.43,-,-,21,3,-,-,-,-
Kagawa,4680,99.57,75,2.68,95,3.39,478,17.07,2341,83.61,80,2.86,24,0.86,162,5.79,77,2.75,7,0.25,3,0.11,1,0.2,2,0.4,1,0.2,2,0.4,20,4,-,-,2,0.4
Ehime,7472,122.49,72,1.95,81,2.19,1102,29.78,2418,65.35,69,1.86,48,1.3,187,5.05,130,3.51,7,0.19,120,3.24,-,-,86,10.75,-,-,-,-,17,2.83,-,-,2,0.33
Kochi,6880,143.33,92,3.07,64,2.13,620,20.67,848,28.27,41,1.37,73,2.43,96,3.2,54,1.8,4,0.13,22,0.73,-,-,6,2,1,0.13,-,-,20,2.5,-,-,4,0.5
Fukuoka,23838,120.39,286,2.38,631,5.26,5785,48.21,6936,57.8,742,6.18,362,3.02,737,6.14,433,3.61,42,0.35,91,0.76,1,0.04,110,4.23,3,0.2,4,0.27,40,2.67,-,-,-,-
