"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12th week, 2020",,,,,,"Data collected as of March 25, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,559796,113.43,10518,3.34,13665,4.34,103534,32.87,184726,58.64,14237,4.52,4780,1.52,13524,4.29,10341,3.28,817,0.26,1845,0.59,48,0.07,3337,4.82,94,0.2,112,0.23,1906,4,17,0.04,153,0.32
Hokkaido,26855,122.63,865,6.36,707,5.2,5445,40.04,3018,22.19,576,4.24,44,0.32,1225,9.01,278,2.04,26,0.19,43,0.32,2,0.07,264,9.43,3,0.14,5,0.23,129,5.86,-,-,19,0.86
Aomori,5003,76.97,130,3.1,93,2.21,918,21.86,2645,62.98,112,2.67,199,4.74,247,5.88,141,3.36,3,0.07,11,0.26,-,-,41,3.73,-,-,-,-,25,4.17,-,-,1,0.17
Iwate,8842,136.03,145,3.63,89,2.23,1827,45.68,2050,51.25,155,3.88,175,4.38,174,4.35,143,3.58,6,0.15,27,0.68,-,-,55,3.93,2,0.11,-,-,21,1.11,-,-,4,0.21
Miyagi,7691,81.82,341,5.88,261,4.5,2553,44.02,3353,57.81,320,5.52,204,3.52,127,2.19,198,3.41,2,0.03,29,0.5,1,0.08,25,2.08,1,0.08,-,-,92,7.67,1,0.08,1,0.08
Akita,7076,133.51,54,1.59,52,1.53,376,11.06,1349,39.68,59,1.74,127,3.74,33,0.97,61,1.79,-,-,9,0.26,1,0.17,12,2,1,0.13,-,-,12,1.5,-,-,1,0.13
Yamagata,4143,92.07,116,4,272,9.38,1904,65.66,1612,55.59,225,7.76,13,0.45,165,5.69,164,5.66,9,0.31,9,0.31,-,-,31,4.43,2,0.2,-,-,22,2.2,-,-,-,-
Fukushima,10210,123.01,281,5.62,228,4.56,1817,36.34,2405,48.1,243,4.86,58,1.16,486,9.72,258,5.16,6,0.12,27,0.54,-,-,129,9.92,2,0.29,-,-,26,3.71,-,-,2,0.29
Ibaraki,11736,97.8,141,1.88,373,4.97,2127,28.36,4151,55.35,392,5.23,38,0.51,177,2.36,160,2.13,8,0.11,34,0.45,-,-,162,9.53,-,-,2,0.17,78,6.5,-,-,2,0.17
