"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27th week, 2020",,,,,,"Data collected as of July 8, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,562865,114.03,12137,3.85,19643,6.23,144271,45.76,256768,81.44,19910,6.31,8322,2.64,17171,5.45,29778,9.44,3083,0.98,4151,1.32,110,0.16,5218,7.52,239,0.5,241,0.51,2793,5.86,44,0.09,208,0.44
Hokkaido,26991,122.69,899,6.56,1003,7.32,7237,52.82,4029,29.41,768,5.61,96,0.7,1423,10.39,875,6.39,43,0.31,97,0.71,7,0.25,323,11.54,7,0.32,7,0.32,168,7.64,1,0.05,24,1.09
Aomori,5299,81.52,187,4.45,180,4.29,1411,33.6,3594,85.57,216,5.14,270,6.43,363,8.64,393,9.36,8,0.19,26,0.62,1,0.09,65,5.91,-,-,-,-,36,6,-,-,2,0.33
Iwate,9107,140.11,169,4.12,246,6,2980,72.68,3319,80.95,258,6.29,242,5.9,211,5.15,446,10.88,13,0.32,56,1.37,-,-,108,7.71,2,0.11,1,0.05,56,2.95,-,-,5,0.26
Miyagi,7748,82.43,401,6.91,334,5.76,3256,56.14,4242,73.14,407,7.02,303,5.22,157,2.71,683,11.78,19,0.33,67,1.16,2,0.17,45,3.75,2,0.17,-,-,153,12.75,1,0.08,2,0.17
Akita,7132,134.57,57,1.68,127,3.74,704,20.71,1898,55.82,79,2.32,173,5.09,87,2.56,182,5.35,5,0.15,25,0.74,4,0.67,25,4.17,1,0.13,-,-,20,2.5,1,0.13,2,0.25
Yamagata,4164,92.53,127,4.38,380,13.1,2743,94.59,2225,76.72,282,9.72,30,1.03,220,7.59,397,13.69,14,0.48,21,0.72,-,-,47,6.71,4,0.4,-,-,28,2.8,1,0.1,1,0.1
Fukushima,10238,123.35,314,6.28,337,6.74,2792,55.84,3189,63.78,347,6.94,96,1.92,604,12.08,698,13.96,22,0.44,60,1.2,-,-,186,14.31,4,0.67,1,0.17,36,6,-,-,2,0.33
Ibaraki,11751,97.93,173,2.31,482,6.43,3032,40.43,5588,74.51,538,7.17,85,1.13,249,3.32,457,6.09,36,0.48,72,0.96,1,0.06,277,16.29,-,-,5,0.42,115,9.58,-,-,5,0.42
Tochigi,5940,78.16,163,3.4,99,2.06,1347,28.06,2157,44.94,269,5.6,72,1.5,154,3.21,520,10.83,6,0.13,49,1.02,-,-,56,4.67,1,0.14,4,0.57,56,8,1,0.14,2,0.29
Gunma,11040,128.37,112,2.11,339,6.4,1751,33.04,3895,73.49,341,6.43,97,1.83,208,3.92,534,10.08,31,0.58,77,1.45,-,-,147,10.5,6,0.67,3,0.33,84,9.33,1,0.11,1,0.11
Saitama,29314,115.87,536,3.37,964,6.06,7333,46.12,15480,97.36,1410,8.87,500,3.14,473,2.97,1566,9.85,68,0.43,275,1.73,22,0.55,315,7.88,8,0.73,9,0.82,76,6.91,-,-,1,0.09
Chiba,24827,117.11,307,2.31,435,3.27,7780,58.5,9315,70.04,857,6.44,265,1.99,355,2.67,1021,7.68,43,0.32,218,1.64,5,0.15,267,7.85,6,0.67,5,0.56,68,7.56,-,-,1,0.11
Tokyo,33387,81.63,532,2.07,828,3.22,10424,40.56,24730,96.23,1699,6.61,567,2.21,363,1.41,2335,9.09,224,0.87,344,1.34,4,0.11,163,4.41,16,0.67,19,0.79,151,6.29,21,0.88,3,0.13
Kanagawa,29720,84.91,514,2.28,618,2.75,9210,40.93,16812,74.72,1459,6.48,418,1.86,349,1.55,1759,7.82,65,0.29,302,1.34,3,0.06,654,13.08,7,0.64,11,1,43,3.91,1,0.09,3,0.27
Niigata,9882,109.8,402,7.05,889,15.6,6105,107.11,3264,57.26,567,9.95,123,2.16,158,2.77,614,10.77,22,0.39,80,1.4,17,1.7,77,7.7,5,0.38,4,0.31,84,6.46,1,0.08,1,0.08
Toyama,3563,74.23,73,2.52,290,10,2765,95.34,3233,111.48,215,7.41,79,2.72,223,7.69,257,8.86,53,1.83,21,0.72,-,-,15,2.5,1,0.2,7,1.4,48,9.6,-,-,4,0.8
