"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31st week, 2020",,,,,,"Data collected as of August 5, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,562889,114.04,12330,3.91,21860,6.93,154851,49.1,283020,89.73,21321,6.76,10000,3.17,17395,5.52,36511,11.58,7620,2.42,4866,1.54,128,0.18,5757,8.3,262,0.55,275,0.58,2909,6.1,48,0.1,212,0.44
Hokkaido,26992,122.69,905,6.61,1110,8.1,7673,56.01,4377,31.95,832,6.07,136,0.99,1430,10.44,1043,7.61,61,0.45,119,0.87,8,0.29,344,12.29,8,0.36,7,0.32,178,8.09,1,0.05,25,1.14
Aomori,5299,81.52,187,4.45,212,5.05,1460,34.76,3797,90.4,229,5.45,279,6.64,368,8.76,465,11.07,12,0.29,31,0.74,1,0.09,70,6.36,-,-,-,-,41,6.83,-,-,2,0.33
Iwate,9107,140.11,179,4.37,287,7,3195,77.93,3747,91.39,289,7.05,278,6.78,211,5.15,560,13.66,17,0.41,66,1.61,-,-,121,8.64,3,0.16,1,0.05,61,3.21,-,-,5,0.26
Miyagi,7748,82.43,402,6.93,370,6.38,3348,57.72,4575,78.88,435,7.5,328,5.66,162,2.79,840,14.48,29,0.5,77,1.33,3,0.25,48,4,2,0.17,-,-,163,13.58,1,0.08,2,0.17
Akita,7132,134.57,58,1.71,140,4.12,748,22,2036,59.88,100,2.94,208,6.12,89,2.62,224,6.59,10,0.29,27,0.79,4,0.67,27,4.5,1,0.13,-,-,20,2.5,1,0.13,2,0.25
Yamagata,4164,92.53,131,4.52,443,15.28,2936,101.24,2422,83.52,294,10.14,43,1.48,227,7.83,471,16.24,15,0.52,24,0.83,-,-,50,7.14,4,0.4,-,-,28,2.8,1,0.1,1,0.1
Fukushima,10239,123.36,314,6.28,396,7.92,2996,59.92,3434,68.68,368,7.36,104,2.08,609,12.18,863,17.26,32,0.64,76,1.52,-,-,202,15.54,4,0.67,1,0.17,36,6,-,-,2,0.33
Ibaraki,11751,97.93,177,2.36,542,7.23,3281,43.75,6129,81.72,561,7.48,115,1.53,252,3.36,561,7.48,50,0.67,85,1.13,2,0.12,325,19.12,-,-,5,0.42,119,9.92,-,-,5,0.42
Tochigi,5940,78.16,164,3.42,109,2.27,1426,29.71,2355,49.06,295,6.15,100,2.08,158,3.29,653,13.6,11,0.23,60,1.25,-,-,61,5.08,1,0.14,4,0.57,61,8.71,2,0.29,2,0.29
Gunma,11040,128.37,112,2.11,364,6.87,1901,35.87,4323,81.57,371,7,123,2.32,211,3.98,651,12.28,41,0.77,88,1.66,-,-,163,11.64,6,0.67,3,0.33,84,9.33,2,0.22,1,0.11
Saitama,29315,115.87,543,3.42,1007,6.33,7811,49.13,17192,108.13,1495,9.4,578,3.64,483,3.04,1960,12.33,101,0.64,314,1.97,28,0.7,348,8.7,9,0.82,12,1.09,77,7,-,-,1,0.09
Chiba,24827,117.66,310,2.33,456,3.43,8432,63.4,10135,76.2,897,6.74,305,2.29,362,2.72,1296,9.74,73,0.55,253,1.9,6,0.18,287,8.44,8,0.89,7,0.78,71,7.89,-,-,1,0.11
Tokyo,33387,81.63,536,2.09,895,3.48,11039,42.95,27472,106.89,1798,7,698,2.72,378,1.47,2915,11.34,337,1.31,404,1.57,6,0.16,188,5.08,18,0.75,23,0.96,153,6.38,22,0.92,4,0.17
Kanagawa,29720,84.91,517,2.29,682,3.02,9884,43.73,18435,81.57,1557,6.89,488,2.16,364,1.61,2221,9.83,111,0.49,362,1.6,4,0.08,721,14.42,7,0.64,12,1.09,44,4,1,0.09,3,0.27
Niigata,9882,109.8,408,7.16,980,17.19,6429,112.79,3547,62.23,594,10.42,163,2.86,161,2.82,758,13.3,27,0.47,91,1.6,17,1.7,83,8.3,5,0.38,4,0.31,89,6.85,2,0.15,1,0.08
Toyama,3564,74.25,73,2.52,308,10.62,2871,99,3660,126.21,222,7.66,86,2.97,227,7.83,311,10.72,65,2.24,26,0.9,-,-,15,2.5,1,0.2,7,1.4,51,10.2,-,-,4,0.8
Ishikawa,6189,128.94,105,3.62,228,7.86,3277,113,3500,120.69,400,13.79,58,2,234,8.07,303,10.45,9,0.31,25,0.86,-,-,10,1.43,-,-,5,1,56,11.2,-,-,1,0.2
