"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2020",,,,,,"Data collected as of October 28, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,562988,114.17,14592,4.63,27621,8.76,177919,56.45,347686,110.31,25727,8.16,15079,4.78,17881,5.67,53637,17.02,21386,6.78,6768,2.15,153,0.22,7616,10.97,336,0.7,386,0.81,3285,6.87,54,0.11,231,0.48
Hokkaido,26997,122.16,920,6.67,1509,10.93,9046,65.55,5488,39.77,1014,7.35,223,1.62,1445,10.47,1545,11.2,238,1.72,171,1.24,9,0.32,437,15.61,9,0.41,9,0.41,199,9.05,1,0.05,30,1.36
Aomori,5299,81.52,189,4.5,283,6.74,1584,37.71,4486,106.81,273,6.5,306,7.29,374,8.9,627,14.93,36,0.86,46,1.1,1,0.09,87,7.91,1,0.17,2,0.33,54,9,-,-,2,0.33
Iwate,9108,140.12,245,5.98,342,8.34,3745,91.34,4633,113,357,8.71,355,8.66,215,5.24,833,20.32,51,1.24,91,2.22,-,-,166,11.86,3,0.16,3,0.16,79,4.16,-,-,6,0.32
Miyagi,7749,82.44,414,7.14,491,8.47,3607,62.19,5316,91.66,494,8.52,384,6.62,172,2.97,1212,20.9,58,1,109,1.88,3,0.25,67,5.58,2,0.17,-,-,211,17.58,1,0.08,2,0.17
Akita,7134,134.6,58,1.71,169,4.97,926,27.24,2424,71.29,165,4.85,279,8.21,95,2.79,322,9.47,31,0.91,39,1.15,4,0.67,37,6.17,1,0.13,-,-,26,3.25,1,0.13,2,0.25
Yamagata,4164,92.53,132,4.55,511,17.62,3296,113.66,3134,108.07,326,11.24,90,3.1,236,8.14,681,23.48,542,18.69,32,1.1,1,0.14,60,8.57,6,0.6,-,-,30,3,1,0.1,1,0.1
Fukushima,10243,123.41,345,6.9,523,10.46,3556,71.12,4084,81.68,448,8.96,185,3.7,618,12.36,1286,25.72,181,3.62,103,2.06,-,-,259,19.92,5,0.83,3,0.5,38,6.33,-,-,3,0.5
Ibaraki,11752,97.93,183,2.44,670,8.93,3866,51.55,7449,99.32,652,8.69,183,2.44,266,3.55,816,10.88,116,1.55,120,1.6,2,0.12,441,25.94,-,-,8,0.67,127,10.58,-,-,5,0.42
