"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2021",,,,,,"Data collected as of June 2, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,697,0.14,49522,15.7,13725,4.35,44460,14.09,195720,62.03,7773,2.46,2254,0.71,1118,0.35,25508,8.08,2247,0.71,2558,0.81,46,0.07,2575,3.71,142,0.3,189,0.4,335,0.7,12,0.03,44,0.09
Hokkaido,50,0.23,463,3.33,703,5.06,3327,23.94,5193,37.36,448,3.22,13,0.09,27,0.19,650,4.68,9,0.06,62,0.45,1,0.04,57,2.04,3,0.13,-,-,10,0.43,-,-,2,0.09
Aomori,4,0.06,571,13.6,159,3.79,319,7.6,2723,64.83,87,2.07,7,0.17,8,0.19,260,6.19,1,0.02,14,0.33,-,-,15,1.36,1,0.17,2,0.33,14,2.33,-,-,-,-
Iwate,3,0.05,1117,27.93,116,2.9,1201,30.03,2730,68.25,144,3.6,5,0.13,13,0.33,398,9.95,5,0.13,27,0.68,-,-,59,4.21,2,0.11,3,0.16,13,0.68,-,-,2,0.11
Miyagi,10,0.11,502,8.66,257,4.43,502,8.66,2676,46.14,217,3.74,26,0.45,22,0.38,555,9.57,3,0.05,62,1.07,-,-,25,2.08,2,0.17,-,-,21,1.75,-,-,1,0.08
Akita,-,-,585,17.21,79,2.32,412,12.12,1298,38.18,106,3.12,9,0.26,11,0.32,163,4.79,3,0.09,6,0.18,-,-,8,1.14,-,-,-,-,-,-,-,-,2,0.25
Yamagata,66,1.47,509,17.55,200,6.9,780,26.9,1640,56.55,46,1.59,10,0.34,11,0.38,309,10.66,11,0.38,22,0.76,-,-,19,2.38,2,0.2,-,-,3,0.3,-,-,1,0.1
Fukushima,15,0.18,277,5.54,275,5.5,922,18.44,3111,62.22,121,2.42,18,0.36,17,0.34,590,11.8,4,0.08,33,0.66,1,0.08,76,5.85,5,0.71,1,0.14,1,0.14,-,-,-,-
Ibaraki,13,0.11,137,1.83,207,2.76,971,12.95,2965,39.53,139,1.85,40,0.53,24,0.32,400,5.33,70,0.93,55,0.73,-,-,111,6.53,-,-,2,0.17,45,3.75,-,-,1,0.08
Tochigi,7,0.09,494,10.29,122,2.54,391,8.15,2054,42.79,89,1.85,28,0.58,23,0.48,453,9.44,16,0.33,43,0.9,1,0.08,75,6.25,2,0.29,9,1.29,16,2.29,-,-,-,-
Gunma,7,0.08,27,0.5,190,3.52,447,8.28,3294,61,77,1.43,26,0.48,11,0.2,489,9.06,7,0.13,61,1.13,-,-,115,7.67,3,0.33,1,0.11,3,0.33,-,-,2,0.22
