"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32nd week, 2021",,,,,,"Data collected as of August 18, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,734,0.15,182100,57.77,24250,7.69,62923,19.96,292341,92.75,11094,3.52,7388,2.34,1542,0.49,39020,12.38,9354,2.97,4774,1.51,81,0.12,4037,5.82,229,0.48,279,0.58,493,1.03,15,0.03,59,0.12
Hokkaido,53,0.24,4686,33.96,1322,9.58,4302,31.17,6748,48.9,618,4.48,90,0.65,45,0.33,1013,7.34,46,0.33,103,0.75,1,0.04,87,3.11,4,0.18,1,0.05,21,0.95,-,-,3,0.14
Aomori,6,0.09,1164,27.71,268,6.38,399,9.5,3485,82.98,125,2.98,26,0.62,29,0.69,431,10.26,33,0.79,30,0.71,-,-,21,1.91,2,0.33,2,0.33,15,2.5,-,-,-,-
Iwate,3,0.05,1328,33.2,185,4.63,1646,41.15,4057,101.43,174,4.35,252,6.3,17,0.43,627,15.68,35,0.88,41,1.03,-,-,74,5.29,3,0.16,3,0.16,15,0.79,-,-,2,0.11
Miyagi,10,0.11,4539,78.26,446,7.69,737,12.71,3989,68.78,271,4.67,95,1.64,35,0.6,900,15.52,31,0.53,106,1.83,1,0.08,46,3.83,2,0.17,-,-,33,2.75,-,-,1,0.08
Akita,-,-,1561,45.91,134,3.94,599,17.62,1723,50.68,157,4.62,23,0.68,14,0.41,257,7.56,33,0.97,13,0.38,1,0.14,13,1.86,1,0.13,-,-,1,0.13,-,-,2,0.25
Yamagata,66,1.47,2680,92.41,329,11.34,952,32.83,2088,72,78,2.69,47,1.62,13,0.45,449,15.48,353,12.17,42,1.45,-,-,36,4.5,2,0.2,-,-,4,0.4,-,-,1,0.1
Fukushima,15,0.18,2749,54.98,522,10.44,1211,24.22,4276,85.52,173,3.46,50,1,29,0.58,931,18.62,45,0.9,79,1.58,1,0.08,114,8.77,6,0.86,1,0.14,1,0.14,-,-,2,0.29
Ibaraki,16,0.13,2043,27.24,413,5.51,1582,21.09,4715,62.87,199,2.65,98,1.31,29,0.39,613,8.17,517,6.89,95,1.27,-,-,211,12.41,-,-,2,0.17,69,5.75,-,-,1,0.08
Tochigi,7,0.09,2005,41.77,163,3.4,594,12.38,2857,59.52,109,2.27,56,1.17,31,0.65,696,14.5,57,1.19,78,1.63,3,0.25,118,9.83,2,0.29,13,1.86,16,2.29,-,-,-,-
Gunma,7,0.08,1116,21.06,343,6.47,610,11.51,4898,92.42,113,2.13,52,0.98,21,0.4,728,13.74,45,0.85,98,1.85,-,-,161,10.73,4,0.44,2,0.22,6,0.67,-,-,2,0.22
Saitama,26,0.1,6457,40.87,1131,7.16,2306,14.59,16764,106.1,624,3.95,234,1.48,96,0.61,2339,14.8,244,1.54,355,2.25,22,0.56,249,6.38,8,0.73,18,1.64,8,0.73,-,-,3,0.27
