"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41st week, 2021",,,,,,"Data collected as of October 20, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,769,0.16,210395,68.2,27161,8.8,72635,23.54,345448,111.98,13195,4.28,33202,10.76,1779,0.58,47892,15.52,22796,7.39,6098,1.98,108,0.16,5363,7.9,282,0.6,343,0.73,591,1.25,17,0.04,63,0.13
Hokkaido,53,0.24,8982,64.62,1607,11.56,5318,38.26,7532,54.19,721,5.19,153,1.1,52,0.37,1230,8.85,77,0.55,153,1.1,2,0.07,106,3.79,4,0.18,1,0.05,31,1.41,-,-,3,0.14
Aomori,7,0.11,1325,31.55,277,6.6,427,10.17,4050,96.43,146,3.48,41,0.98,32,0.76,548,13.05,144,3.43,43,1.02,-,-,25,2.27,5,0.83,3,0.5,24,4,-,-,-,-
Iwate,3,0.05,1662,41.55,201,5.03,1952,48.8,4772,119.3,207,5.18,1295,32.38,24,0.6,765,19.13,213,5.33,66,1.65,-,-,88,6.29,4,0.21,5,0.26,19,1,-,-,4,0.21
Miyagi,12,0.13,5248,90.48,469,8.09,862,14.86,5261,90.71,327,5.64,423,7.29,40,0.69,1123,19.36,118,2.03,136,2.34,1,0.08,59,4.92,2,0.17,-,-,35,2.92,-,-,1,0.08
Akita,-,-,1601,47.09,159,4.68,712,20.94,2038,59.94,178,5.24,32,0.94,20,0.59,317,9.32,70,2.06,15,0.44,3,0.43,24,3.43,1,0.13,-,-,2,0.25,-,-,2,0.25
Yamagata,66,1.47,3022,104.21,404,13.93,1165,40.17,2546,87.79,109,3.76,62,2.14,14,0.48,588,20.28,384,13.24,48,1.66,-,-,50,6.25,2,0.2,-,-,4,0.4,-,-,1,0.1
Fukushima,15,0.18,4639,92.78,632,12.64,1428,28.56,4837,96.74,208,4.16,78,1.56,32,0.64,1156,23.12,164,3.28,101,2.02,1,0.08,147,11.31,6,0.86,1,0.14,2,0.29,-,-,2,0.29
Ibaraki,17,0.14,2648,35.31,461,6.15,1859,24.79,5642,75.23,242,3.23,141,1.88,32,0.43,756,10.08,726,9.68,121,1.61,-,-,298,17.53,1,0.08,2,0.17,86,7.17,-,-,1,0.08
Tochigi,10,0.13,2283,47.56,185,3.85,739,15.4,3207,66.81,135,2.81,77,1.6,34,0.71,877,18.27,137,2.85,107,2.23,4,0.33,159,13.25,5,0.71,17,2.43,16,2.29,-,-,-,-
Gunma,7,0.08,2175,41.04,371,7,729,13.75,5707,107.68,159,3,75,1.42,26,0.49,877,16.55,187,3.53,123,2.32,-,-,206,13.73,4,0.44,2,0.22,6,0.67,-,-,2,0.22
Saitama,26,0.1,8664,54.49,1253,7.88,2611,16.42,20290,127.61,755,4.75,356,2.24,115,0.72,2840,17.86,628,3.95,457,2.87,25,0.64,313,8.03,8,0.73,21,1.91,10,0.91,-,-,3,0.27
Chiba,31,0.15,6373,48.65,546,4.17,2362,18.03,9435,72.02,686,5.24,253,1.93,77,0.59,1838,14.03,495,3.78,315,2.4,4,0.12,272,8.24,7,0.78,13,1.44,13,1.44,-,-,3,0.33
Tokyo,33,0.08,16067,62.52,1259,4.9,3116,12.12,31182,121.33,998,3.88,735,2.86,209,0.81,4371,17.01,1178,4.58,545,2.12,1,0.03,231,6.24,14,0.58,20,0.83,16,0.67,13,0.54,3,0.13
Kanagawa,22,0.06,11083,49.7,837,3.75,3022,13.55,19460,87.26,910,4.08,418,1.87,126,0.57,3270,14.66,437,1.96,467,2.09,10,0.2,733,14.66,8,0.73,14,1.27,18,1.64,-,-,2,0.18
Niigata,18,0.2,7324,130.79,1148,20.5,3373,60.23,4517,80.66,358,6.39,104,1.86,46,0.82,880,15.71,957,17.09,137,2.45,14,1.4,46,4.6,9,0.69,7,0.54,23,1.77,-,-,1,0.08
Toyama,5,0.11,3057,109.18,378,13.5,899,32.11,3166,113.07,117,4.18,49,1.75,31,1.11,393,14.04,172,6.14,35,1.25,-,-,4,0.57,2,0.4,2,0.4,11,2.2,-,-,1,0.2
Ishikawa,-,-,3385,116.72,481,16.59,618,21.31,3235,111.55,183,6.31,143,4.93,9,0.31,478,16.48,181,6.24,34,1.17,-,-,18,2.57,1,0.2,1,0.2,17,3.4,-,-,1,0.2
Fukui,-,-,2780,120.87,312,13.57,612,26.61,3988,173.39,108,4.7,38,1.65,6,0.26,375,16.3,225,9.78,26,1.13,-,-,11,3.67,19,3.17,2,0.33,2,0.33,-,-,-,-
Yamanashi,-,-,776,32.33,43,1.79,228,9.5,1780,74.17,53,2.21,20,0.83,19,0.79,216,9,12,0.5,43,1.79,-,-,48,5.33,2,0.2,5,0.5,4,0.4,-,-,-,-
Nagano,7,0.08,2591,48.89,217,4.09,954,18,6163,116.28,259,4.89,70,1.32,32,0.6,742,14,241,4.55,110,2.08,1,0.09,26,2.36,6,0.6,5,0.5,8,0.8,-,-,1,0.1
Gifu,29,0.34,3180,61.15,352,6.77,813,15.63,2800,53.85,77,1.48,71,1.37,23,0.44,527,10.13,599,11.52,54,1.04,1,0.09,51,4.64,1,0.2,-,-,4,0.8,-,-,1,0.2
Shizuoka,11,0.08,7390,83.98,712,8.09,1313,14.92,8500,96.59,325,3.69,116,1.32,50,0.57,1260,14.32,227,2.58,217,2.47,-,-,74,3.36,15,1.5,20,2,6,0.6,-,-,-,-
Aichi,28,0.24,2842,25.15,533,4.72,1812,16.04,8413,74.45,220,1.95,98,0.87,33,0.29,1035,9.16,998,8.83,126,1.12,1,0.05,89,4.45,1,0.14,13,1.86,2,0.29,-,-,1,0.14
Mie,24,0.35,5024,114.18,328,7.45,479,10.89,5167,117.43,162,3.68,60,1.36,16,0.36,636,14.45,695,15.8,55,1.25,-,-,16,1.45,2,0.22,3,0.33,25,2.78,-,-,1,0.11
Shiga,27,0.46,1447,41.34,169,4.83,778,22.23,2724,77.83,143,4.09,248,7.09,14,0.4,430,12.29,738,21.09,68,1.94,-,-,11,1.38,12,1.71,5,0.71,4,0.57,-,-,-,-
Kyoto,65,0.52,3519,46.3,528,6.95,1654,21.76,6855,90.2,268,3.53,453,5.96,21,0.28,787,10.36,625,8.22,112,1.47,-,-,60,3.53,2,0.29,4,0.57,3,0.43,2,0.29,-,-
Osaka,73,0.25,15641,79.8,1891,9.65,4041,20.62,23500,119.9,750,3.83,2030,10.36,99,0.51,2687,13.71,1017,5.19,416,2.12,12,0.23,228,4.38,9,0.56,10,0.63,4,0.25,-,-,4,0.25
Hyogo,29,0.15,10584,82.69,1136,8.88,2013,15.73,18574,145.11,409,3.2,1717,13.41,62,0.48,1757,13.73,873,6.82,269,2.1,1,0.03,259,7.4,10,0.71,36,2.57,10,0.71,1,0.07,6,0.43
Nara,1,0.02,3009,88.5,435,12.79,449,13.21,3774,111,83,2.44,172,5.06,12,0.35,514,15.12,121,3.56,38,1.12,1,0.1,79,7.9,9,1.5,4,0.67,4,0.67,-,-,3,0.5
Wakayama,1,0.02,2937,97.9,189,6.3,625,20.83,3137,104.57,96,3.2,33,1.1,13,0.43,403,13.43,111,3.7,45,1.5,-,-,23,5.75,17,1.55,11,1,14,1.27,-,-,1,0.09
Tottori,5,0.17,1391,73.21,266,14,2052,108,2966,156.11,103,5.42,46,2.42,10,0.53,280,14.74,259,13.63,19,1,1,0.2,21,4.2,6,1.2,4,0.8,1,0.2,-,-,-,-
Shimane,14,0.37,1595,69.35,173,7.52,299,13,4060,176.52,136,5.91,123,5.35,4,0.17,509,22.13,279,12.13,13,0.57,-,-,11,3.67,13,1.63,9,1.13,5,0.63,-,-,-,-
Okayama,40,0.48,2086,38.63,321,5.94,588,10.89,7679,142.2,184,3.41,780,14.44,22,0.41,681,12.61,849,15.72,110,2.04,2,0.17,33,2.75,5,1,2,0.4,5,1,-,-,1,0.2
Hiroshima,18,0.16,4167,58.69,814,11.46,960,13.52,11808,166.31,244,3.44,370,5.21,35,0.49,957,13.48,917,12.92,155,2.18,6,0.32,220,11.58,8,0.4,3,0.15,11,0.55,1,0.05,4,0.2
Yamaguchi,10,0.15,5896,131.02,262,5.82,1314,29.2,5434,120.76,143,3.18,1012,22.49,31,0.69,919,20.42,413,9.18,85,1.89,-,-,41,4.56,1,0.11,4,0.44,29,3.22,-,-,-,-
Tokushima,3,0.08,2910,126.52,207,9,233,10.13,3136,136.35,104,4.52,14,0.61,5,0.22,404,17.57,368,16,21,0.91,-,-,11,2.75,1,0.14,3,0.43,4,0.57,-,-,-,-
Kagawa,2,0.04,2145,76.61,329,11.75,537,19.18,5837,208.46,119,4.25,187,6.68,18,0.64,482,17.21,1022,36.5,76,2.71,2,0.4,17,3.4,2,0.4,4,0.8,1,0.2,-,-,-,-
Ehime,8,0.13,3143,87.31,301,8.36,1013,28.14,9328,259.11,127,3.53,577,16.03,23,0.64,828,23,555,15.42,89,2.47,1,0.13,242,30.25,3,0.5,4,0.67,1,0.17,-,-,2,0.33
Kochi,4,0.09,3208,114.57,217,7.75,378,13.5,3916,139.86,131,4.68,1020,36.43,35,1.25,380,13.57,1041,37.18,28,1,-,-,18,6,5,0.63,2,0.25,9,1.13,-,-,4,0.5
Fukuoka,5,0.03,12564,104.7,2169,18.08,9002,75.02,19415,161.79,712,5.93,7372,61.43,83,0.69,2917,24.31,1437,11.98,363,3.03,11,0.42,246,9.46,12,0.86,26,1.86,9,0.64,-,-,-,-
Saga,1,0.03,2180,94.78,425,18.48,784,34.09,1395,60.65,112,4.87,715,31.09,8,0.35,712,30.96,185,8.04,29,1.26,-,-,15,3.75,6,1,6,1,6,1,-,-,-,-
Nagasaki,7,0.1,3129,72.77,518,12.05,2654,61.72,2977,69.23,301,7,564,13.12,32,0.74,699,16.26,141,3.28,113,2.63,-,-,26,3.25,8,0.67,18,1.5,39,3.25,-,-,1,0.08
Kumamoto,3,0.04,3832,76.64,541,10.82,736,14.72,5768,115.36,239,4.78,4355,87.1,64,1.28,1350,27,433,8.66,91,1.82,-,-,187,20.78,1,0.07,11,0.73,3,0.2,-,-,1,0.07
Oita,2,0.03,2821,78.36,375,10.42,542,15.06,8354,232.06,333,9.25,2124,59,20,0.56,822,22.83,577,16.03,95,2.64,2,0.4,55,11,-,-,1,0.09,40,3.64,-,-,-,-
Miyazaki,3,0.05,3879,107.75,615,17.08,1771,49.19,8602,238.94,195,5.42,1642,45.61,26,0.72,996,27.67,967,26.86,96,2.67,-,-,147,24.5,-,-,2,0.29,-,-,-,-,-,-
Kagoshima,8,0.09,3160,58.52,1547,28.65,1646,30.48,10481,194.09,368,6.81,2622,48.56,39,0.72,882,16.33,472,8.74,144,2.67,-,-,106,15.14,3,0.25,4,0.33,1,0.08,-,-,1,0.08
Okinawa,16,0.28,1031,31.24,568,17.21,1163,35.24,2040,61.82,252,7.64,118,3.58,5,0.15,398,12.06,131,3.97,89,2.7,1,0.11,213,23.67,20,2.86,13,1.86,4,0.57,-,-,1,0.14
