"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42nd week, 2021",,,,,,"Data collected as of October 27, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,786,0.16,217523,68.99,27716,8.79,75661,24,359736,114.09,13651,4.33,38433,12.19,1834,0.58,49941,15.84,25711,8.15,6347,2.01,116,0.17,5572,8.03,294,0.62,369,0.77,601,1.26,18,0.04,64,0.13
Hokkaido,53,0.24,9207,66.24,1633,11.75,5411,38.93,7641,54.97,728,5.24,161,1.16,52,0.37,1259,9.06,79,0.57,158,1.14,2,0.07,109,3.89,4,0.18,1,0.05,31,1.41,-,-,3,0.14
Aomori,7,0.11,1325,31.55,278,6.62,431,10.26,4109,97.83,148,3.52,58,1.38,33,0.79,556,13.24,146,3.48,45,1.07,-,-,25,2.27,5,0.83,3,0.5,25,4.17,-,-,-,-
Iwate,3,0.05,1698,42.45,201,5.03,1994,49.85,4851,121.28,209,5.23,1377,34.43,24,0.6,794,19.85,219,5.48,68,1.7,-,-,90,6.43,4,0.21,5,0.26,20,1.05,-,-,4,0.21
Miyagi,12,0.13,5263,90.74,475,8.19,881,15.19,5437,93.74,333,5.74,485,8.36,41,0.71,1161,20.02,145,2.5,138,2.38,1,0.08,64,5.33,2,0.17,-,-,35,2.92,-,-,1,0.08
Akita,-,-,1604,47.18,161,4.74,732,21.53,2070,60.88,183,5.38,33,0.97,20,0.59,323,9.5,70,2.06,15,0.44,3,0.43,26,3.71,1,0.13,-,-,2,0.25,-,-,2,0.25
Yamagata,67,1.49,3025,104.31,415,14.31,1200,41.38,2596,89.52,112,3.86,62,2.14,14,0.48,602,20.76,385,13.28,49,1.69,-,-,50,6.25,2,0.2,-,-,4,0.4,-,-,1,0.1
Fukushima,15,0.18,4668,93.36,646,12.92,1449,28.98,4910,98.2,215,4.3,78,1.56,32,0.64,1188,23.76,174,3.48,103,2.06,1,0.08,151,11.62,6,0.86,1,0.14,2,0.29,-,-,2,0.29
Ibaraki,17,0.14,2652,35.36,466,6.21,1909,25.45,5766,76.88,244,3.25,152,2.03,32,0.43,774,10.32,751,10.01,124,1.65,-,-,308,18.12,1,0.08,2,0.17,87,7.25,-,-,1,0.08
Tochigi,10,0.13,2291,47.73,185,3.85,764,15.92,3243,67.56,135,2.81,80,1.67,36,0.75,900,18.75,147,3.06,109,2.27,4,0.33,161,13.42,5,0.71,19,2.71,16,2.29,-,-,-,-
Gunma,7,0.08,2218,41.85,375,7.08,749,14.13,5781,109.08,161,3.04,78,1.47,26,0.49,894,16.87,220,4.15,124,2.34,1,0.07,211,14.07,4,0.44,2,0.22,6,0.67,-,-,2,0.22
