"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45th week, 2021",,,,,,"Data collected as of November 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,857,0.17,220063,69.79,28872,9.16,80876,25.65,386557,122.6,14646,4.65,52481,16.64,1956,0.62,53322,16.91,30752,9.75,6707,2.13,123,0.18,5976,8.61,315,0.66,400,0.84,620,1.3,19,0.04,67,0.14
Hokkaido,55,0.25,9606,69.11,1757,12.64,5680,40.86,7972,57.35,781,5.62,187,1.35,54,0.39,1337,9.62,83,0.6,173,1.24,2,0.07,117,4.18,4,0.18,1,0.05,34,1.55,-,-,3,0.14
Aomori,7,0.11,1327,31.6,293,6.98,443,10.55,4304,102.48,155,3.69,131,3.12,34,0.81,588,14,146,3.48,49,1.17,1,0.09,28,2.55,6,1,4,0.67,26,4.33,-,-,-,-
Iwate,4,0.06,1841,46.03,205,5.13,2144,53.6,5145,128.63,224,5.6,1468,36.7,24,0.6,836,20.9,225,5.63,70,1.75,-,-,98,7,5,0.26,7,0.37,21,1.11,-,-,4,0.21
Miyagi,12,0.13,5284,91.1,491,8.47,972,16.76,6096,105.1,357,6.16,608,10.48,46,0.79,1233,21.26,192,3.31,145,2.5,1,0.08,74,6.17,2,0.17,-,-,35,2.92,-,-,1,0.08
Akita,-,-,1608,47.29,166,4.88,784,23.06,2201,64.74,194,5.71,33,0.97,21,0.62,343,10.09,70,2.06,16,0.47,3,0.43,27,3.86,1,0.13,-,-,2,0.25,-,-,2,0.25
Yamagata,67,1.49,3038,104.76,476,16.41,1287,44.38,2769,95.48,119,4.1,66,2.28,15,0.52,642,22.14,388,13.38,53,1.83,-,-,53,6.63,2,0.2,-,-,5,0.5,-,-,1,0.1
Fukushima,15,0.18,4719,94.38,684,13.68,1513,30.26,5173,103.46,241,4.82,87,1.74,32,0.64,1265,25.3,217,4.34,108,2.16,1,0.08,159,12.23,7,1,1,0.14,2,0.29,-,-,3,0.43
Ibaraki,18,0.15,2662,35.49,499,6.65,2089,27.85,6263,83.51,273,3.64,197,2.63,35,0.47,843,11.24,807,10.76,128,1.71,-,-,338,19.88,1,0.08,3,0.25,88,7.33,-,-,1,0.08
Tochigi,10,0.13,2305,48.02,194,4.04,823,17.15,3488,72.67,140,2.92,103,2.15,38,0.79,957,19.94,171,3.56,114,2.38,4,0.33,166,13.83,7,1,22,3.14,16,2.29,-,-,-,-
Gunma,7,0.08,2242,42.3,402,7.58,798,15.06,6062,114.38,167,3.15,89,1.68,29,0.55,957,18.06,421,7.94,129,2.43,1,0.07,224,14.93,4,0.44,3,0.33,6,0.67,-,-,2,0.22
Saitama,30,0.12,8741,54.97,1334,8.39,2895,18.21,22667,142.56,849,5.34,439,2.76,123,0.77,3106,19.53,753,4.74,495,3.11,26,0.67,351,9,9,0.82,24,2.18,10,0.91,-,-,3,0.27
Chiba,46,0.22,6390,48.78,566,4.32,2673,20.4,10361,79.09,739,5.64,343,2.62,84,0.64,2001,15.27,569,4.34,349,2.66,5,0.15,299,9.06,7,0.78,14,1.56,13,1.44,-,-,3,0.33
Tokyo,34,0.08,16125,62.74,1361,5.3,3419,13.3,34428,133.96,1088,4.23,1210,4.71,230,0.89,4770,18.56,2010,7.82,596,2.32,1,0.03,250,6.76,17,0.71,23,0.96,18,0.75,13,0.54,3,0.13
Kanagawa,34,0.1,11118,49.86,886,3.97,3295,14.78,21220,95.16,979,4.39,778,3.49,143,0.64,3602,16.15,682,3.06,528,2.37,10,0.2,812,16.24,9,0.82,16,1.45,21,1.91,-,-,2,0.18
Niigata,18,0.2,7373,131.66,1185,21.16,3650,65.18,5191,92.7,391,6.98,124,2.21,49,0.88,983,17.55,1007,17.98,146,2.61,15,1.5,52,5.2,11,0.85,7,0.54,23,1.77,-,-,1,0.08
Toyama,5,0.11,3060,109.29,396,14.14,963,34.39,3420,122.14,128,4.57,199,7.11,31,1.11,433,15.46,226,8.07,36,1.29,-,-,6,0.86,3,0.6,2,0.4,12,2.4,-,-,1,0.2
