"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3rd week, 2022",,,,,,"Data collected as of January 26, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,173,0.04,3426,1.09,1990,0.63,4520,1.44,60829,19.38,1035,0.33,3213,1.02,120,0.04,2770,0.88,651,0.21,232,0.07,9,0.01,374,0.54,16,0.03,22,0.05,11,0.02,1,0,13,0.03
Hokkaido,1,0,263,1.88,139,0.99,268,1.91,605,4.32,78,0.56,35,0.25,5,0.04,84,0.6,10,0.07,5,0.04,1,0.04,9,0.32,1,0.04,-,-,1,0.04,-,-,4,0.17
Aomori,-,-,2,0.05,16,0.39,23,0.56,469,11.44,12,0.29,58,1.41,1,0.02,39,0.95,-,-,2,0.05,-,-,7,0.64,-,-,-,-,-,-,-,-,-,-
Iwate,1,0.02,143,3.67,23,0.59,98,2.51,622,15.95,21,0.54,9,0.23,2,0.05,40,1.03,17,0.44,2,0.05,-,-,2,0.14,1,0.05,-,-,1,0.05,-,-,-,-
Miyagi,4,0.04,5,0.09,32,0.55,58,1,1588,27.38,30,0.52,36,0.62,3,0.05,67,1.16,23,0.4,6,0.1,-,-,6,0.5,-,-,-,-,1,0.08,-,-,-,-
Akita,1,0.02,-,-,18,0.53,47,1.38,263,7.74,10,0.29,4,0.12,-,-,17,0.5,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yamagata,2,0.04,-,-,41,1.41,58,2,1191,41.07,19,0.66,15,0.52,1,0.03,35,1.21,15,0.52,2,0.07,-,-,6,0.75,-,-,-,-,-,-,-,-,1,0.1
Fukushima,1,0.01,26,0.52,49,0.98,77,1.54,693,13.86,16,0.32,35,0.7,9,0.18,66,1.32,11,0.22,2,0.04,-,-,17,1.31,-,-,-,-,1,0.14,-,-,-,-
Ibaraki,1,0.01,13,0.17,22,0.29,79,1.05,1000,13.33,14,0.19,26,0.35,1,0.01,40,0.53,5,0.07,8,0.11,-,-,15,0.88,-,-,-,-,3,0.25,-,-,-,-
Tochigi,4,0.05,3,0.06,14,0.29,50,1.04,424,8.83,10,0.21,74,1.54,-,-,64,1.33,5,0.1,4,0.08,-,-,10,0.83,1,0.14,-,-,-,-,-,-,-,-
Gunma,1,0.01,35,0.65,39,0.72,114,2.11,928,17.19,13,0.24,14,0.26,6,0.11,59,1.09,16,0.3,7,0.13,1,0.07,15,1.07,-,-,-,-,-,-,-,-,-,-
