"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23rd week, 2022",,,,,,"Data collected as of June 15, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,536,0.11,15712,5,11600,3.69,22536,7.17,326542,103.93,5395,1.72,11339,3.61,920,0.29,22119,7.04,2080,0.66,2027,0.65,62,0.09,2461,3.56,131,0.27,155,0.32,141,0.29,17,0.04,61,0.13
Hokkaido,15,0.07,1204,8.72,640,4.64,1535,11.12,5903,42.78,290,2.1,80,0.58,14,0.1,492,3.57,23,0.17,53,0.38,5,0.18,42,1.5,4,0.18,-,-,11,0.5,1,0.05,6,0.27
Aomori,1,0.02,3,0.07,81,1.98,106,2.59,3119,76.07,58,1.41,116,2.83,11,0.27,279,6.8,3,0.07,24,0.59,-,-,27,2.45,1,0.17,1,0.17,21,3.5,-,-,1,0.17
Iwate,3,0.05,387,9.92,138,3.54,474,12.15,3614,92.67,101,2.59,30,0.77,23,0.59,352,9.03,37,0.95,27,0.69,-,-,47,3.36,4,0.21,4,0.21,3,0.16,-,-,2,0.11
Miyagi,14,0.15,95,1.67,122,2.14,349,6.12,6620,116.14,122,2.14,95,1.67,24,0.42,538,9.44,63,1.11,33,0.58,1,0.08,43,3.58,3,0.25,-,-,4,0.33,-,-,1,0.08
Akita,2,0.04,115,3.38,75,2.21,266,7.82,1864,54.82,129,3.79,6,0.18,1,0.03,125,3.68,6,0.18,5,0.15,2,0.29,8,1.14,2,0.25,-,-,1,0.13,-,-,1,0.13
Yamagata,4,0.09,3,0.1,211,7.28,294,10.14,4794,165.31,50,1.72,29,1,7,0.24,271,9.34,33,1.14,9,0.31,-,-,50,6.25,-,-,-,-,-,-,-,-,1,0.1
Fukushima,7,0.08,133,2.66,290,5.8,326,6.52,4832,96.64,131,2.62,121,2.42,31,0.62,559,11.18,28,0.56,24,0.48,-,-,62,4.77,1,0.14,3,0.43,2,0.29,-,-,1,0.14
Ibaraki,16,0.13,64,0.85,184,2.45,489,6.52,6234,83.12,109,1.45,167,2.23,19,0.25,298,3.97,30,0.4,48,0.64,-,-,132,7.76,1,0.08,1,0.08,19,1.58,-,-,-,-
