"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24th week, 2022",,,,,,"Data collected as of June 22, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,542,0.11,17058,5.43,12904,4.11,23718,7.55,344602,109.64,5654,1.8,12471,3.97,961,0.31,23322,7.42,2331,0.74,2129,0.68,73,0.11,2594,3.75,136,0.28,166,0.35,148,0.31,17,0.04,62,0.13
Hokkaido,15,0.07,1265,9.17,704,5.1,1624,11.77,6433,46.62,311,2.25,94,0.68,17,0.12,515,3.73,25,0.18,55,0.4,5,0.18,43,1.54,4,0.18,-,-,14,0.64,1,0.05,6,0.27
Aomori,1,0.02,3,0.07,90,2.2,107,2.61,3260,79.51,65,1.59,117,2.85,11,0.27,289,7.05,3,0.07,24,0.59,-,-,30,2.73,1,0.17,1,0.17,21,3.5,-,-,1,0.17
Iwate,3,0.05,387,9.92,143,3.67,489,12.54,3845,98.59,106,2.72,32,0.82,25,0.64,374,9.59,37,0.95,30,0.77,-,-,48,3.43,5,0.26,4,0.21,5,0.26,-,-,2,0.11
Miyagi,15,0.16,99,1.74,138,2.42,356,6.25,6988,122.6,128,2.25,100,1.75,24,0.42,571,10.02,64,1.12,36,0.63,1,0.08,46,3.83,3,0.25,-,-,4,0.33,-,-,1,0.08
Akita,2,0.04,127,3.74,87,2.56,279,8.21,1919,56.44,131,3.85,6,0.18,1,0.03,136,4,6,0.18,5,0.15,2,0.29,9,1.29,2,0.25,-,-,1,0.13,-,-,1,0.13
Yamagata,4,0.09,3,0.1,229,7.9,319,11,4929,169.97,54,1.86,29,1,7,0.24,280,9.66,35,1.21,9,0.31,-,-,52,6.5,-,-,-,-,-,-,-,-,1,0.1
Fukushima,7,0.08,144,2.88,320,6.4,369,7.38,5002,100.04,134,2.68,130,2.6,31,0.62,585,11.7,29,0.58,24,0.48,-,-,65,5,1,0.14,3,0.43,2,0.29,-,-,1,0.14
Ibaraki,16,0.13,69,0.92,210,2.8,523,6.97,6584,87.79,113,1.51,201,2.68,21,0.28,322,4.29,51,0.68,49,0.65,2,0.12,135,7.94,1,0.08,1,0.08,19,1.58,-,-,-,-
Tochigi,9,0.12,176,3.67,73,1.52,387,8.06,2723,56.73,45,0.94,291,6.06,17,0.35,436,9.08,24,0.5,30,0.63,-,-,54,4.5,6,0.86,2,0.29,-,-,-,-,1,0.14
Gunma,3,0.03,68,1.26,152,2.81,207,3.83,6952,128.74,101,1.87,326,6.04,23,0.43,465,8.61,44,0.81,49,0.91,1,0.08,57,4.38,1,0.11,-,-,-,-,-,-,-,-
Saitama,22,0.09,214,1.35,428,2.71,504,3.19,20383,129.01,335,2.12,381,2.41,64,0.41,1233,7.8,107,0.68,130,0.82,17,0.44,160,4.1,1,0.09,13,1.18,2,0.18,-,-,-,-
Chiba,25,0.12,117,0.91,283,2.21,787,6.15,14213,111.04,234,1.83,423,3.3,31,0.24,959,7.49,101,0.79,123,0.96,5,0.16,94,2.94,6,0.67,5,0.56,3,0.33,-,-,-,-
Tokyo,29,0.07,299,1.17,568,2.23,897,3.52,32980,129.33,375,1.47,686,2.69,86,0.34,1919,7.53,143,0.56,217,0.85,-,-,130,3.51,8,0.32,6,0.24,2,0.08,13,0.52,4,0.16
Kanagawa,31,0.09,284,1.28,366,1.65,975,4.39,22822,102.8,349,1.57,553,2.49,68,0.31,1502,6.77,121,0.55,174,0.78,4,0.08,333,6.66,3,0.27,11,1,6,0.55,1,0.09,3,0.27
Niigata,7,0.08,22,0.39,514,9.02,1390,24.39,3835,67.28,120,2.11,478,8.39,19,0.33,482,8.46,202,3.54,61,1.07,7,0.7,25,2.5,3,0.25,2,0.17,4,0.33,-,-,1,0.08
