"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30th week, 2022",,,,,,"Data collected as of August 3, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1109,0.23,48340,15.39,19048,6.06,30100,9.58,422140,134.35,7072,2.25,44001,14,1216,0.39,30108,9.58,10279,3.27,2772,0.88,99,0.14,3478,5.03,166,0.35,240,0.5,187,0.39,17,0.04,67,0.14
Hokkaido,15,0.07,2199,15.93,1101,7.98,2188,15.86,8463,61.33,370,2.68,1300,9.42,21,0.15,692,5.01,349,2.53,72,0.52,5,0.18,59,2.11,5,0.23,1,0.05,18,0.82,1,0.05,6,0.27
Aomori,3,0.05,7,0.17,129,3.15,140,3.41,3779,92.17,84,2.05,256,6.24,12,0.29,369,9,46,1.12,30,0.73,-,-,35,3.18,1,0.17,3,0.5,26,4.33,-,-,1,0.17
Iwate,5,0.08,397,10.18,185,4.74,568,14.56,4642,119.03,124,3.18,88,2.26,30,0.77,477,12.23,61,1.56,41,1.05,-,-,69,4.93,5,0.26,4,0.21,8,0.42,-,-,2,0.11
Miyagi,15,0.16,155,2.72,225,3.95,426,7.47,8303,145.67,161,2.82,519,9.11,31,0.54,753,13.21,182,3.19,49,0.86,1,0.08,60,5,3,0.25,-,-,7,0.58,-,-,1,0.08
Akita,2,0.04,421,12.38,115,3.38,316,9.29,2210,65,146,4.29,414,12.18,1,0.03,172,5.06,22,0.65,9,0.26,3,0.43,13,1.86,2,0.25,-,-,2,0.25,-,-,2,0.25
Yamagata,5,0.11,39,1.34,352,12.14,372,12.83,5432,187.31,69,2.38,110,3.79,7,0.24,353,12.17,95,3.28,16,0.55,-,-,57,7.13,-,-,-,-,2,0.2,-,-,1,0.1
Fukushima,7,0.08,277,5.54,477,9.54,485,9.7,5609,112.18,155,3.1,397,7.94,35,0.7,777,15.54,63,1.26,33,0.66,-,-,92,7.08,1,0.14,5,0.71,3,0.43,-,-,1,0.14
Ibaraki,19,0.16,112,1.49,321,4.28,651,8.68,8015,106.87,138,1.84,1190,15.87,23,0.31,414,5.52,487,6.49,57,0.76,4,0.24,191,11.24,1,0.08,2,0.17,21,1.75,-,-,-,-
Tochigi,11,0.14,364,7.58,112,2.33,493,10.27,3245,67.6,56,1.17,690,14.38,28,0.58,578,12.04,72,1.5,34,0.71,-,-,79,6.58,6,0.86,3,0.43,-,-,-,-,1,0.14
Gunma,3,0.03,114,2.15,270,5.09,247,4.66,8165,154.06,125,2.36,1293,24.4,27,0.51,604,11.4,238,4.49,58,1.09,1,0.08,60,4.62,2,0.22,1,0.11,1,0.11,-,-,-,-
Saitama,25,0.1,1335,8.45,717,4.54,815,5.16,25739,162.91,430,2.72,3297,20.87,93,0.59,1565,9.91,765,4.84,177,1.12,26,0.67,231,5.92,3,0.27,17,1.55,5,0.45,-,-,1,0.09
Chiba,32,0.16,949,7.41,441,3.45,1067,8.34,17423,136.12,287,2.24,4418,34.52,37,0.29,1220,9.53,887,6.93,170,1.33,6,0.19,135,4.22,8,0.89,7,0.78,3,0.33,-,-,-,-
Tokyo,55,0.14,2098,8.2,951,3.71,1160,4.53,40352,157.63,502,1.96,4404,17.2,106,0.41,2494,9.74,1429,5.58,269,1.05,-,-,174,4.7,11,0.44,9,0.36,2,0.08,13,0.52,4,0.16
Kanagawa,56,0.16,2009,9.05,619,2.79,1345,6.06,28262,127.31,443,2,3372,15.19,99,0.45,1959,8.82,835,3.76,227,1.02,6,0.12,455,9.1,3,0.27,18,1.64,6,0.55,1,0.09,3,0.27
Niigata,8,0.1,53,0.95,707,12.63,1649,29.45,5317,94.95,187,3.34,2828,50.5,40,0.71,637,11.38,773,13.8,73,1.3,8,0.8,30,3,4,0.33,3,0.25,5,0.42,-,-,1,0.08
