"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33rd week, 2022",,,,,,"Data collected as of August 24, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1526,0.31,64976,20.69,19943,6.35,32170,10.25,440060,140.15,7607,2.42,71555,22.79,1304,0.42,32360,10.31,16248,5.17,2975,0.95,103,0.15,3804,5.5,183,0.38,258,0.54,207,0.43,19,0.04,71,0.15
Hokkaido,18,0.08,2680,19.28,1158,8.33,2358,16.96,8777,63.14,391,2.81,3726,26.81,28,0.2,755,5.43,1034,7.44,83,0.6,5,0.18,66,2.36,5,0.23,1,0.05,19,0.86,1,0.05,7,0.32
Aomori,4,0.06,45,1.1,132,3.22,143,3.49,3950,96.34,89,2.17,619,15.1,14,0.34,389,9.49,104,2.54,32,0.78,-,-,35,3.18,1,0.17,3,0.5,28,4.67,-,-,1,0.17
Iwate,6,0.1,427,10.95,190,4.87,608,15.59,4849,124.33,127,3.26,300,7.69,31,0.79,520,13.33,108,2.77,44,1.13,-,-,77,5.5,5,0.26,4,0.21,10,0.53,-,-,2,0.11
Miyagi,18,0.19,264,4.55,229,3.95,438,7.55,8566,147.69,176,3.03,1520,26.21,38,0.66,817,14.09,362,6.24,53,0.91,1,0.08,64,5.33,3,0.25,-,-,12,1,-,-,1,0.08
Akita,2,0.04,510,15.45,121,3.67,336,10.18,2285,69.24,164,4.97,858,26,3,0.09,189,5.73,53,1.61,9,0.27,3,0.43,14,2,2,0.25,-,-,3,0.38,-,-,2,0.25
Yamagata,5,0.11,112,3.86,372,12.83,387,13.34,5584,192.55,78,2.69,477,16.45,7,0.24,383,13.21,253,8.72,20,0.69,-,-,58,7.25,1,0.1,-,-,2,0.2,-,-,1,0.1
Fukushima,7,0.08,373,7.46,502,10.04,521,10.42,5791,115.82,166,3.32,1101,22.02,35,0.7,858,17.16,114,2.28,37,0.74,-,-,99,7.62,1,0.14,5,0.71,4,0.57,-,-,2,0.29
Ibaraki,24,0.2,221,2.95,337,4.49,701,9.35,8311,110.81,149,1.99,1797,23.96,24,0.32,442,5.89,660,8.8,66,0.88,7,0.41,213,12.53,1,0.08,4,0.33,24,2,-,-,-,-
Tochigi,13,0.17,562,11.71,122,2.54,518,10.79,3360,70,67,1.4,1213,25.27,28,0.58,618,12.88,96,2,36,0.75,-,-,90,7.5,6,0.86,3,0.43,-,-,-,-,1,0.14
Gunma,3,0.03,220,4.15,277,5.23,262,4.94,8476,159.92,134,2.53,2003,37.79,28,0.53,658,12.42,398,7.51,61,1.15,1,0.08,62,4.77,2,0.22,1,0.11,1,0.11,-,-,-,-
Saitama,33,0.13,1916,12.2,747,4.76,987,6.29,26828,170.88,458,2.92,5768,36.74,99,0.63,1668,10.62,1223,7.79,193,1.23,27,0.69,254,6.51,4,0.36,17,1.55,5,0.45,-,-,1,0.09
Chiba,45,0.22,1625,12.7,459,3.59,1117,8.73,18021,140.79,300,2.34,6323,49.4,39,0.3,1298,10.14,1197,9.35,176,1.38,7,0.22,153,4.78,8,0.89,7,0.78,3,0.33,-,-,-,-
Tokyo,102,0.25,3191,12.51,992,3.89,1225,4.8,41690,163.49,537,2.11,7751,30.4,111,0.44,2643,10.36,2253,8.84,291,1.14,-,-,191,5.16,11,0.44,9,0.36,2,0.08,15,0.6,4,0.16
Kanagawa,69,0.2,2905,13.14,649,2.94,1462,6.62,29221,132.22,478,2.16,6299,28.5,113,0.51,2083,9.43,1400,6.33,241,1.09,6,0.12,491,9.82,3,0.27,21,1.91,6,0.55,1,0.09,3,0.27
Niigata,9,0.11,98,1.75,716,12.79,1737,31.02,5559,99.27,198,3.54,4049,72.3,40,0.71,695,12.41,1102,19.68,76,1.36,8,0.89,30,3.33,5,0.42,4,0.33,5,0.42,-,-,1,0.08
Toyama,1,0.02,701,24.17,367,12.66,336,11.59,5337,184.03,77,2.66,830,28.62,12,0.41,266,9.17,232,8,10,0.34,-,-,21,3,2,0.4,-,-,1,0.2,-,-,-,-
Ishikawa,6,0.13,151,5.21,313,10.79,242,8.34,5238,180.62,104,3.59,383,13.21,10,0.34,281,9.69,52,1.79,12,0.41,-,-,20,2.86,3,0.6,6,1.2,7,1.4,-,-,1,0.2
Fukui,3,0.08,555,24.13,205,8.91,285,12.39,4113,178.83,40,1.74,1575,68.48,33,1.43,227,9.87,180,7.83,16,0.7,-,-,8,2.67,3,0.5,1,0.17,5,0.83,-,-,-,-
Yamanashi,4,0.1,61,2.65,14,0.61,30,1.3,2637,114.65,51,2.22,369,16.04,5,0.22,159,6.91,270,11.74,15,0.65,-,-,25,2.78,1,0.1,5,0.5,2,0.2,-,-,1,0.1
Nagano,33,0.38,224,4.23,160,3.02,219,4.13,8056,152,175,3.3,1292,24.38,20,0.38,464,8.75,322,6.08,44,0.83,-,-,41,3.73,2,0.18,4,0.36,-,-,-,-,3,0.27
Gifu,25,0.29,2288,44,322,6.19,238,4.58,5098,98.04,71,1.37,421,8.1,3,0.06,362,6.96,44,0.85,26,0.5,-,-,22,2,1,0.2,1,0.2,1,0.2,-,-,-,-
Shizuoka,18,0.13,848,9.64,529,6.01,525,5.97,12993,147.65,165,1.88,2186,24.84,55,0.63,866,9.84,831,9.44,102,1.16,1,0.05,95,4.32,13,1.3,10,1,4,0.4,-,-,-,-
Aichi,106,0.54,7232,39.74,588,3.23,1761,9.68,21999,120.87,293,1.61,2894,15.9,42,0.23,1234,6.78,613,3.37,148,0.81,1,0.03,92,2.63,15,1,12,0.8,-,-,-,-,1,0.07
Mie,25,0.36,3119,70.89,306,6.95,319,7.25,6696,152.18,113,2.57,609,13.84,10,0.23,398,9.05,162,3.68,17,0.39,1,0.09,12,1.09,3,0.33,13,1.44,2,0.22,-,-,-,-
Shiga,23,0.39,616,17.6,171,4.89,315,9,4130,118,151,4.31,705,20.14,3,0.09,338,9.66,185,5.29,26,0.74,-,-,14,1.75,4,0.57,1,0.14,1,0.14,-,-,1,0.14
Kyoto,50,0.4,1886,25.15,719,9.59,727,9.69,7382,98.43,133,1.77,510,6.8,28,0.37,470,6.27,109,1.45,53,0.71,1,0.06,37,2.06,2,0.33,2,0.33,1,0.17,2,0.33,1,0.17
Osaka,374,1.25,9454,48.23,1807,9.22,1793,9.15,24852,126.8,408,2.08,1244,6.35,67,0.34,1744,8.9,371,1.89,197,1.01,9,0.18,189,3.71,2,0.13,11,0.69,-,-,-,-,2,0.13
Hyogo,91,0.46,4425,34.57,820,6.41,1006,7.86,20948,163.66,235,1.84,1015,7.93,70,0.55,1082,8.45,217,1.7,115,0.9,-,-,203,5.8,6,0.43,15,1.07,-,-,-,-,2,0.14
Nara,10,0.18,1114,32.76,189,5.56,159,4.68,4483,131.85,56,1.65,279,8.21,6,0.18,332,9.76,74,2.18,23,0.68,-,-,61,6.1,-,-,2,0.33,1,0.17,-,-,-,-
Wakayama,8,0.17,509,17.55,197,6.79,200,6.9,3026,104.34,62,2.14,148,5.1,4,0.14,314,10.83,21,0.72,23,0.79,-,-,23,5.75,2,0.18,7,0.64,20,1.82,-,-,1,0.09
Tottori,4,0.14,217,11.42,182,9.58,1046,55.05,2510,132.11,25,1.32,455,23.95,9,0.47,197,10.37,116,6.11,3,0.16,-,-,24,6,4,0.8,6,1.2,-,-,-,-,-,-
Shimane,-,-,864,39.27,134,6.09,159,7.23,3355,152.5,67,3.05,698,31.73,3,0.14,330,15,54,2.45,15,0.68,-,-,3,1,9,1.13,6,0.75,-,-,-,-,1,0.13
Okayama,49,0.58,566,10.48,262,4.85,224,4.15,8167,151.24,127,2.35,364,6.74,32,0.59,517,9.57,155,2.87,69,1.28,3,0.25,20,1.67,6,1.2,2,0.4,4,0.8,-,-,-,-
Hiroshima,13,0.11,1721,24.24,683,9.62,428,6.03,10836,152.62,133,1.87,1954,27.52,23,0.32,617,8.69,395,5.56,58,0.82,3,0.16,155,8.16,2,0.1,5,0.25,2,0.1,-,-,2,0.1
Yamaguchi,9,0.14,831,18.47,267,5.93,869,19.31,6428,142.84,95,2.11,281,6.24,15,0.33,546,12.13,264,5.87,41,0.91,-,-,67,7.44,1,0.11,-,-,8,0.89,-,-,-,-
Tokushima,2,0.05,225,9.78,178,7.74,81,3.52,2815,122.39,42,1.83,141,6.13,4,0.17,273,11.87,11,0.48,13,0.57,-,-,3,0.75,3,0.43,3,0.43,2,0.29,-,-,-,-
Kagawa,3,0.06,128,4.57,247,8.82,171,6.11,5398,192.79,71,2.54,191,6.82,15,0.54,374,13.36,27,0.96,36,1.29,-,-,14,2.8,1,0.2,1,0.2,1,0.2,-,-,1,0.2
Ehime,16,0.27,1389,38.58,220,6.11,468,13,8047,223.53,103,2.86,130,3.61,18,0.5,555,15.42,25,0.69,43,1.19,-,-,169,24.14,1,0.17,-,-,-,-,-,-,3,0.5
Kochi,11,0.24,203,7.25,270,9.64,225,8.04,2637,94.18,86,3.07,75,2.68,11,0.39,311,11.11,47,1.68,21,0.75,-,-,15,5,4,0.5,-,-,5,0.63,-,-,8,1
Fukuoka,93,0.47,3800,31.67,1140,9.5,3562,29.68,23520,196,397,3.31,1089,9.08,39,0.33,2013,16.78,251,2.09,154,1.28,4,0.15,100,3.85,3,0.2,13,0.87,2,0.13,-,-,-,-
Saga,13,0.34,543,24.68,291,13.23,266,12.09,2992,136,68,3.09,318,14.45,9,0.41,463,21.05,37,1.68,11,0.5,1,0.25,14,3.5,4,0.67,6,1,2,0.33,-,-,4,0.67
Nagasaki,8,0.12,1080,25.12,350,8.14,1406,32.7,4463,103.79,89,2.07,704,16.37,26,0.6,492,11.44,54,1.26,33,0.77,9,1.29,70,10,12,1,3,0.25,1,0.08,-,-,4,0.33
Kumamoto,18,0.23,931,19,288,5.88,231,4.71,9158,186.9,158,3.22,653,13.33,30,0.61,947,19.33,170,3.47,32,0.65,-,-,115,12.78,2,0.13,8,0.53,2,0.13,-,-,4,0.27
Oita,8,0.14,1322,36.72,254,7.06,325,9.03,10797,299.92,118,3.28,795,22.08,23,0.64,579,16.08,102,2.83,52,1.44,-,-,34,6.8,-,-,1,0.09,6,0.55,-,-,-,-
Miyazaki,18,0.31,1754,48.72,335,9.31,592,16.44,7332,203.67,133,3.69,755,20.97,12,0.33,665,18.47,76,2.11,34,0.94,2,0.33,77,12.83,-,-,-,-,-,-,-,-,-,-
Kagoshima,12,0.13,811,15.3,966,18.23,572,10.79,11341,213.98,135,2.55,2344,44.23,18,0.34,684,12.91,293,5.53,74,1.4,-,-,77,11,2,0.18,8,0.73,-,-,-,-,4,0.36
Okinawa,114,2.04,259,7.85,166,5.03,590,17.88,2008,60.85,114,3.45,2344,71.03,11,0.33,244,7.39,131,3.97,41,1.24,3,0.33,87,9.67,12,1.71,27,3.86,3,0.43,-,-,1,0.14
