"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36th week, 2022",,,,,,"Data collected as of September 14, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1929,0.39,78513,25,20582,6.55,34621,11.03,459520,146.34,8084,2.57,105678,33.66,1427,0.45,34798,11.08,24302,7.74,3278,1.04,112,0.16,4230,6.11,209,0.44,279,0.58,228,0.48,20,0.04,78,0.16
Hokkaido,33,0.15,3072,22.1,1192,8.58,2546,18.32,9090,65.4,412,2.96,6404,46.07,31,0.22,811,5.83,1889,13.59,89,0.64,5,0.18,79,2.82,8,0.36,1,0.05,21,0.95,1,0.05,8,0.36
Aomori,4,0.06,142,3.46,134,3.27,147,3.59,4083,99.59,96,2.34,1176,28.68,16,0.39,431,10.51,192,4.68,34,0.83,-,-,38,3.45,1,0.17,3,0.5,31,5.17,-,-,1,0.17
Iwate,6,0.1,484,12.41,199,5.1,700,17.95,5125,131.41,140,3.59,916,23.49,32,0.82,558,14.31,232,5.95,56,1.44,-,-,87,6.21,6,0.32,4,0.21,12,0.63,-,-,2,0.11
Miyagi,18,0.19,526,9.07,242,4.17,458,7.9,8871,152.95,182,3.14,3356,57.86,39,0.67,876,15.1,646,11.14,59,1.02,1,0.08,70,5.83,5,0.42,-,-,15,1.25,-,-,1,0.08
Akita,2,0.04,585,17.73,122,3.7,376,11.39,2341,70.94,170,5.15,1348,40.85,3,0.09,206,6.24,118,3.58,11,0.33,3,0.43,16,2.29,2,0.25,-,-,3,0.38,-,-,2,0.25
Yamagata,5,0.11,212,7.57,380,13.57,399,14.25,5716,204.14,83,2.96,1798,64.21,7,0.25,412,14.71,927,33.11,22,0.79,-,-,61,7.63,1,0.1,-,-,2,0.2,-,-,1,0.1
Fukushima,7,0.08,482,9.64,509,10.18,552,11.04,5987,119.74,173,3.46,2151,43.02,36,0.72,920,18.4,292,5.84,48,0.96,-,-,111,8.54,1,0.14,5,0.71,4,0.57,-,-,2,0.29
Ibaraki,26,0.22,505,6.73,351,4.68,762,10.16,8695,115.93,154,2.05,2214,29.52,26,0.35,475,6.33,794,10.59,71,0.95,7,0.41,240,14.12,1,0.08,5,0.42,28,2.33,-,-,-,-
Tochigi,13,0.17,895,18.65,131,2.73,560,11.67,3468,72.25,74,1.54,1720,35.83,28,0.58,665,13.85,135,2.81,41,0.85,-,-,102,8.5,6,0.86,4,0.57,-,-,-,-,1,0.14
Gunma,4,0.05,327,6.17,289,5.45,282,5.32,8807,166.17,138,2.6,2474,46.68,30,0.57,723,13.64,546,10.3,68,1.28,1,0.08,71,5.46,4,0.44,2,0.22,1,0.11,-,-,-,-
Saitama,47,0.19,2619,16.68,776,4.94,1144,7.29,28118,179.1,484,3.08,8341,53.13,105,0.67,1790,11.4,1694,10.79,220,1.4,28,0.72,273,7,4,0.36,18,1.64,6,0.55,-,-,2,0.18
Chiba,53,0.26,2148,16.78,473,3.7,1180,9.22,18824,147.06,321,2.51,7764,60.66,60,0.47,1382,10.8,1450,11.33,194,1.52,7,0.22,181,5.66,8,0.89,9,1,3,0.33,-,-,-,-
Tokyo,120,0.3,4541,17.81,1019,4,1308,5.13,43385,170.14,576,2.26,11887,46.62,118,0.46,2839,11.13,3276,12.85,326,1.28,1,0.03,216,5.84,12,0.48,10,0.4,3,0.12,15,0.6,4,0.16
Kanagawa,90,0.26,3703,16.76,691,3.13,1576,7.13,30539,138.19,504,2.28,9810,44.39,137,0.62,2238,10.13,2109,9.54,264,1.19,6,0.12,537,10.74,4,0.36,23,2.09,6,0.55,1,0.09,4,0.36
Niigata,9,0.11,160,2.86,719,12.84,1865,33.3,5767,102.98,206,3.68,4716,84.21,41,0.73,728,13,1411,25.2,81,1.45,8,0.89,37,4.11,5,0.42,4,0.33,5,0.42,-,-,1,0.08
Toyama,1,0.02,795,27.41,374,12.9,351,12.1,5528,190.62,86,2.97,1088,37.52,14,0.48,283,9.76,277,9.55,11,0.38,-,-,21,3,2,0.4,1,0.2,1,0.2,-,-,-,-
Ishikawa,7,0.15,290,10,318,10.97,255,8.79,5529,190.66,112,3.86,677,23.34,10,0.34,304,10.48,92,3.17,13,0.45,-,-,23,3.29,3,0.6,6,1.2,7,1.4,-,-,2,0.4
Fukui,3,0.08,666,28.96,214,9.3,299,13,4348,189.04,42,1.83,1620,70.43,33,1.43,249,10.83,185,8.04,16,0.7,-,-,8,2.67,4,0.67,1,0.17,5,0.83,-,-,-,-
Yamanashi,4,0.1,115,5,16,0.7,30,1.3,2771,120.48,51,2.22,579,25.17,5,0.22,172,7.48,294,12.78,15,0.65,-,-,32,3.56,2,0.2,5,0.5,4,0.4,-,-,1,0.1
Nagano,39,0.45,328,6.19,173,3.26,222,4.19,8346,157.47,181,3.42,2192,41.36,21,0.4,497,9.38,478,9.02,44,0.83,-,-,47,4.27,2,0.18,4,0.36,-,-,-,-,3,0.27
Gifu,27,0.31,2460,47.31,340,6.54,255,4.9,5304,102,76,1.46,981,18.87,4,0.08,403,7.75,92,1.77,29,0.56,-,-,23,2.09,1,0.2,1,0.2,1,0.2,-,-,-,-
Shizuoka,22,0.16,1081,12.28,553,6.28,566,6.43,13489,153.28,185,2.1,3711,42.17,55,0.63,926,10.52,1243,14.13,120,1.36,2,0.09,105,4.77,16,1.6,10,1,4,0.4,-,-,-,-
Aichi,141,0.72,7472,41.05,605,3.32,1893,10.4,22927,125.97,307,1.69,5414,29.75,43,0.24,1317,7.24,1105,6.07,158,0.87,1,0.03,100,2.86,15,1,12,0.8,-,-,1,0.07,1,0.07
Mie,31,0.44,3461,78.66,310,7.05,331,7.52,6986,158.77,126,2.86,987,22.43,11,0.25,433,9.84,330,7.5,18,0.41,1,0.09,12,1.09,4,0.44,13,1.44,2,0.22,-,-,-,-
Shiga,24,0.41,755,20.97,174,4.83,329,9.14,4292,119.22,155,4.31,1083,30.08,3,0.08,357,9.92,239,6.64,27,0.75,-,-,16,2,4,0.57,1,0.14,1,0.14,-,-,1,0.14
Kyoto,55,0.44,2216,29.55,742,9.89,799,10.65,7720,102.93,147,1.96,816,10.88,29,0.39,507,6.76,151,2.01,56,0.75,1,0.06,41,2.41,2,0.33,2,0.33,1,0.17,2,0.33,1,0.17
Osaka,393,1.31,10826,55.23,1869,9.54,1940,9.9,26095,133.14,439,2.24,2382,12.15,79,0.4,1878,9.58,666,3.4,225,1.15,10,0.2,220,4.31,3,0.19,11,0.69,-,-,-,-,3,0.19
Hyogo,98,0.49,5266,41.14,843,6.59,1120,8.75,22004,171.91,261,2.04,1628,12.72,70,0.55,1180,9.22,384,3,134,1.05,2,0.06,221,6.31,8,0.57,17,1.21,-,-,-,-,3,0.21
Nara,12,0.22,1279,38.76,194,5.88,168,5.09,4692,142.18,68,2.06,509,15.42,6,0.18,355,10.76,112,3.39,24,0.73,-,-,71,7.1,1,0.17,2,0.33,1,0.17,-,-,-,-
Wakayama,10,0.21,702,24.21,206,7.1,206,7.1,3176,109.52,65,2.24,216,7.45,5,0.17,333,11.48,38,1.31,25,0.86,-,-,23,5.75,3,0.3,8,0.8,21,2.1,-,-,1,0.1
Tottori,4,0.14,342,18,187,9.84,1111,58.47,2632,138.53,27,1.42,483,25.42,9,0.47,208,10.95,139,7.32,4,0.21,-,-,26,6.5,4,0.8,6,1.2,-,-,-,-,1,0.2
Shimane,-,-,922,41.91,138,6.27,165,7.5,3539,160.86,68,3.09,773,35.14,3,0.14,353,16.05,63,2.86,16,0.73,-,-,3,1,10,1.25,6,0.75,-,-,-,-,1,0.13
Okayama,54,0.64,784,14.52,275,5.09,230,4.26,8579,158.87,135,2.5,500,9.26,33,0.61,557,10.31,181,3.35,72,1.33,3,0.25,24,2,6,1.2,2,0.4,4,0.8,-,-,-,-
Hiroshima,18,0.16,2118,29.83,711,10.01,472,6.65,11366,160.08,140,1.97,2171,30.58,23,0.32,659,9.28,470,6.62,66,0.93,3,0.16,170,8.95,2,0.1,5,0.25,2,0.1,-,-,2,0.1
Yamaguchi,12,0.18,1364,30.31,275,6.11,907,20.16,6667,148.16,99,2.2,368,8.18,16,0.36,585,13,318,7.07,41,0.91,-,-,70,7.78,1,0.11,-,-,8,0.89,-,-,-,-
Tokushima,2,0.05,471,20.48,184,8,83,3.61,2990,130,43,1.87,205,8.91,4,0.17,291,12.65,26,1.13,13,0.57,-,-,5,1.25,3,0.43,3,0.43,2,0.29,-,-,-,-
Kagawa,3,0.06,374,13.36,250,8.93,172,6.14,5610,200.36,76,2.71,224,8,15,0.54,414,14.79,34,1.21,39,1.39,-,-,17,3.4,1,0.2,1,0.2,1,0.2,-,-,1,0.2
Ehime,16,0.27,1609,44.69,225,6.25,500,13.89,8371,232.53,107,2.97,193,5.36,19,0.53,600,16.67,52,1.44,47,1.31,-,-,197,28.14,1,0.17,1,0.17,-,-,-,-,3,0.5
Kochi,13,0.29,342,12.67,277,10.26,229,8.48,2763,102.33,94,3.48,143,5.3,13,0.48,329,12.19,64,2.37,21,0.78,-,-,16,5.33,5,0.63,-,-,5,0.63,-,-,8,1
Fukuoka,175,0.89,4484,37.37,1190,9.92,3832,31.93,24610,205.08,422,3.52,1580,13.17,50,0.42,2171,18.09,473,3.94,167,1.39,4,0.15,106,4.08,3,0.2,13,0.87,2,0.13,-,-,-,-
Saga,15,0.39,737,33.5,296,13.45,274,12.45,3095,140.68,69,3.14,370,16.82,9,0.41,500,22.73,50,2.27,14,0.64,1,0.25,14,3.5,5,0.83,6,1,2,0.33,-,-,4,0.67
Nagasaki,8,0.12,1121,26.07,356,8.28,1578,36.7,4660,108.37,96,2.23,981,22.81,29,0.67,529,12.3,79,1.84,35,0.81,10,1.43,73,10.43,12,1,3,0.25,2,0.17,-,-,4,0.33
Kumamoto,23,0.29,1008,20.57,293,5.98,239,4.88,9639,196.71,168,3.43,851,17.37,33,0.67,1009,20.59,227,4.63,33,0.67,-,-,127,14.11,2,0.13,8,0.53,2,0.13,-,-,4,0.27
Oita,19,0.33,1599,44.42,267,7.42,363,10.08,11375,315.97,129,3.58,1024,28.44,25,0.69,618,17.17,143,3.97,56,1.56,-,-,38,7.6,1,0.09,1,0.09,7,0.64,-,-,-,-
Miyazaki,18,0.32,1858,51.61,342,9.5,609,16.92,7713,214.25,138,3.83,915,25.42,13,0.36,720,20,85,2.36,35,0.97,4,0.67,83,13.83,-,-,1,0.14,-,-,-,-,-,-
Kagoshima,25,0.27,908,17.13,980,18.49,590,11.13,11675,220.28,143,2.7,2510,47.36,24,0.45,741,13.98,354,6.68,78,1.47,-,-,84,12,2,0.18,8,0.73,-,-,-,-,4,0.36
Okinawa,220,3.93,359,10.88,178,5.39,648,19.64,2213,67.06,116,3.52,2429,73.61,12,0.36,266,8.06,147,4.45,42,1.27,3,0.33,95,10.56,13,1.86,33,4.71,3,0.43,-,-,1,0.14
