"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40th week, 2022",,,,,,"Data collected as of October 12, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,2240,0.46,94782,30.18,21260,6.77,38608,12.29,484042,154.1,8834,2.81,135258,43.06,1540,0.49,37982,12.09,30902,9.84,3690,1.17,132,0.19,4762,6.88,232,0.49,320,0.67,258,0.54,26,0.05,84,0.18
Hokkaido,36,0.16,3539,25.46,1227,8.83,2771,19.94,9455,68.02,480,3.45,7476,53.78,40,0.29,876,6.3,2280,16.4,106,0.76,9,0.32,92,3.29,10,0.45,1,0.05,22,1,1,0.05,10,0.45
Aomori,5,0.08,332,8.1,134,3.27,152,3.71,4339,105.83,101,2.46,1729,42.17,22,0.54,462,11.27,300,7.32,36,0.88,-,-,42,3.82,1,0.17,3,0.5,37,6.17,-,-,1,0.17
Iwate,7,0.11,630,16.15,205,5.26,840,21.54,5450,139.74,154,3.95,1428,36.62,33,0.85,601,15.41,303,7.77,68,1.74,-,-,94,6.71,6,0.32,5,0.26,12,0.63,-,-,2,0.11
Miyagi,19,0.2,849,14.64,256,4.41,479,8.26,9183,158.33,193,3.33,4772,82.28,41,0.71,953,16.43,792,13.66,64,1.1,1,0.08,74,6.17,5,0.42,1,0.08,19,1.58,-,-,1,0.08
Akita,2,0.04,645,19.55,124,3.76,422,12.79,2433,73.73,177,5.36,1535,46.52,5,0.15,226,6.85,127,3.85,13,0.39,3,0.43,20,2.86,2,0.25,-,-,3,0.38,-,-,2,0.25
Yamagata,5,0.11,546,19.5,381,13.61,419,14.96,5846,208.79,96,3.43,2568,91.71,7,0.25,443,15.82,1295,46.25,23,0.82,-,-,66,8.25,2,0.2,-,-,3,0.3,-,-,2,0.2
Fukushima,7,0.08,648,12.96,526,10.52,587,11.74,6251,125.02,186,3.72,2986,59.72,40,0.8,988,19.76,427,8.54,50,1,2,0.15,132,10.15,1,0.14,6,0.86,4,0.57,-,-,2,0.29
Ibaraki,31,0.26,1056,14.08,377,5.03,862,11.49,9143,121.91,164,2.19,2568,34.24,29,0.39,520,6.93,870,11.6,75,1,7,0.41,282,16.59,1,0.08,5,0.42,29,2.42,-,-,-,-
Tochigi,13,0.17,1324,27.58,132,2.75,607,12.65,3575,74.48,84,1.75,2191,45.65,30,0.63,724,15.08,178,3.71,42,0.88,-,-,112,9.33,6,0.86,4,0.57,-,-,-,-,1,0.14
Gunma,5,0.06,580,10.94,289,5.45,292,5.51,9244,174.42,146,2.75,3011,56.81,31,0.58,783,14.77,686,12.94,78,1.47,1,0.08,89,6.85,4,0.44,2,0.22,1,0.11,-,-,-,-
Saitama,74,0.3,3472,22.11,804,5.12,1349,8.59,29761,189.56,518,3.3,10459,66.62,111,0.71,1954,12.45,2019,12.86,255,1.62,31,0.79,306,7.85,5,0.45,21,1.91,6,0.55,-,-,2,0.18
Chiba,64,0.31,2711,21.18,494,3.86,1317,10.29,19877,155.29,372,2.91,8801,68.76,70,0.55,1519,11.87,1631,12.74,234,1.83,7,0.22,202,6.31,9,1.13,12,1.5,3,0.38,-,-,-,-
Tokyo,142,0.35,6090,23.79,1055,4.12,1477,5.77,45695,178.5,636,2.48,15211,59.42,134,0.52,3067,11.98,4014,15.68,364,1.42,1,0.03,235,6.35,13,0.52,11,0.44,4,0.16,20,0.8,4,0.16
Kanagawa,104,0.3,4494,20.33,723,3.27,1780,8.05,32026,144.91,554,2.51,12471,56.43,129,0.58,2431,11,2607,11.8,290,1.31,8,0.16,641,12.82,5,0.45,28,2.55,6,0.55,1,0.09,5,0.45
Niigata,9,0.11,324,5.79,728,13,2043,36.48,6043,107.91,217,3.88,5200,92.86,42,0.75,771,13.77,1619,28.91,100,1.79,10,1.11,41,4.56,5,0.42,5,0.42,5,0.42,-,-,1,0.08
Toyama,2,0.04,918,31.66,381,13.14,375,12.93,5770,198.97,98,3.38,1322,45.59,16,0.55,306,10.55,346,11.93,12,0.41,-,-,23,3.29,2,0.4,1,0.2,3,0.6,-,-,-,-
Ishikawa,9,0.19,671,23.14,325,11.21,259,8.93,5802,200.07,117,4.03,1040,35.86,10,0.34,330,11.38,166,5.72,14,0.48,-,-,25,3.57,3,0.6,7,1.4,7,1.4,-,-,2,0.4
Fukui,3,0.08,788,34.26,223,9.7,331,14.39,4652,202.26,46,2,1633,71,37,1.61,272,11.83,196,8.52,18,0.78,-,-,9,3,4,0.67,1,0.17,5,0.83,-,-,-,-
Yamanashi,5,0.13,248,10.78,17,0.74,32,1.39,2933,127.52,51,2.22,706,30.7,8,0.35,189,8.22,308,13.39,16,0.7,-,-,41,4.56,2,0.2,5,0.5,4,0.4,-,-,1,0.1
Nagano,63,0.73,576,10.87,180,3.4,237,4.47,8701,164.17,194,3.66,2935,55.38,21,0.4,535,10.09,624,11.77,47,0.89,-,-,55,5,2,0.18,4,0.36,-,-,-,-,3,0.27
Gifu,29,0.34,2511,48.29,354,6.81,295,5.67,5529,106.33,82,1.58,1602,30.81,5,0.1,440,8.46,136,2.62,32,0.62,-,-,27,2.45,2,0.4,1,0.2,2,0.4,-,-,-,-
Shizuoka,27,0.2,1583,17.79,578,6.49,632,7.1,14072,158.11,206,2.31,4803,53.97,55,0.62,1001,11.25,1502,16.88,131,1.47,2,0.09,114,5.18,18,1.8,11,1.1,7,0.7,-,-,-,-
Aichi,153,0.78,7631,41.93,622,3.42,2116,11.63,24115,132.5,343,1.88,8020,44.07,48,0.26,1433,7.87,1541,8.47,186,1.02,1,0.03,112,3.2,15,1,16,1.07,-,-,1,0.07,1,0.07
Mie,32,0.46,3702,84.14,316,7.18,356,8.09,7321,166.39,133,3.02,1408,32,11,0.25,473,10.75,466,10.59,22,0.5,1,0.09,14,1.27,4,0.44,15,1.67,2,0.22,-,-,-,-
Shiga,25,0.42,871,24.19,177,4.92,361,10.03,4490,124.72,159,4.42,1377,38.25,5,0.14,383,10.64,282,7.83,35,0.97,-,-,16,2,4,0.57,2,0.29,2,0.29,-,-,1,0.14
Kyoto,62,0.5,2520,33.6,769,10.25,1014,13.52,8079,107.72,153,2.04,1445,19.27,29,0.39,553,7.37,237,3.16,59,0.79,1,0.06,47,2.76,2,0.33,3,0.5,1,0.17,3,0.5,1,0.17
