"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2022",,,,,,"Data collected as of November 2, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,2604,0.53,104020,33.12,21844,6.95,42438,13.51,504740,160.69,9527,3.03,146026,46.49,1625,0.52,40287,12.83,33581,10.69,3974,1.27,141,0.2,5213,7.53,252,0.53,345,0.72,287,0.6,26,0.05,87,0.18
Hokkaido,43,0.19,4014,28.88,1265,9.1,2979,21.43,9790,70.43,514,3.7,7699,55.39,40,0.29,927,6.67,2382,17.14,116,0.83,9,0.32,100,3.57,10,0.45,1,0.05,23,1.05,1,0.05,10,0.45
Aomori,5,0.08,464,11.32,137,3.34,153,3.73,4503,109.83,115,2.8,1933,47.15,35,0.85,481,11.73,319,7.78,42,1.02,-,-,50,4.55,1,0.17,3,0.5,42,7,-,-,1,0.17
Iwate,7,0.11,747,19.15,214,5.49,979,25.1,5725,146.79,162,4.15,1579,40.49,36,0.92,641,16.44,320,8.21,71,1.82,-,-,104,7.43,6,0.32,5,0.26,12,0.63,-,-,2,0.11
Miyagi,34,0.36,1045,18.02,258,4.45,503,8.67,9457,163.05,210,3.62,4966,85.62,43,0.74,1000,17.24,811,13.98,69,1.19,1,0.08,76,6.33,5,0.42,2,0.17,24,2,-,-,1,0.08
Akita,2,0.04,671,20.33,125,3.79,471,14.27,2498,75.7,186,5.64,1548,46.91,5,0.15,238,7.21,128,3.88,14,0.42,3,0.43,21,3,2,0.25,-,-,4,0.5,-,-,2,0.25
Yamagata,5,0.11,902,32.21,383,13.68,449,16.04,5948,212.43,104,3.71,2638,94.21,7,0.25,470,16.79,1327,47.39,24,0.86,-,-,73,9.13,2,0.2,-,-,5,0.5,-,-,2,0.2
Fukushima,7,0.08,868,17.36,548,10.96,619,12.38,6413,128.26,196,3.92,3178,63.56,43,0.86,1038,20.76,454,9.08,51,1.02,2,0.15,144,11.08,2,0.29,6,0.86,4,0.57,-,-,2,0.29
Ibaraki,33,0.28,1390,18.53,389,5.19,967,12.89,9590,127.87,177,2.36,2682,35.76,29,0.39,548,7.31,912,12.16,79,1.05,7,0.41,303,17.82,1,0.08,5,0.42,34,2.83,-,-,-,-
Tochigi,15,0.2,1525,31.77,136,2.83,641,13.35,3670,76.46,90,1.88,2337,48.69,30,0.63,768,16,182,3.79,44,0.92,-,-,124,10.33,8,1.14,4,0.57,-,-,-,-,2,0.29
Gunma,6,0.07,845,15.94,300,5.66,318,6,9603,181.19,163,3.08,3213,60.62,31,0.58,826,15.58,742,14,86,1.62,1,0.08,97,7.46,4,0.44,2,0.22,1,0.11,-,-,-,-
Saitama,80,0.32,3914,24.77,832,5.27,1474,9.33,31347,198.4,565,3.58,11091,70.2,115,0.73,2058,13.03,2103,13.31,277,1.75,31,0.79,328,8.41,6,0.55,22,2,6,0.55,-,-,2,0.18
Chiba,70,0.34,2988,23.34,504,3.94,1409,11.01,20739,162.02,401,3.13,9111,71.18,75,0.59,1612,12.59,1685,13.16,260,2.03,8,0.24,245,7.42,11,1.22,13,1.44,3,0.33,-,-,-,-
Tokyo,155,0.38,6819,26.64,1099,4.29,1611,6.29,47992,187.47,707,2.76,16201,63.29,139,0.54,3287,12.84,4262,16.65,392,1.53,1,0.03,252,6.81,16,0.64,14,0.56,4,0.16,20,0.8,4,0.16
Kanagawa,154,0.45,4905,22.19,742,3.36,2004,9.07,33449,151.35,602,2.72,13321,60.28,141,0.64,2573,11.64,2805,12.69,313,1.42,9,0.18,730,14.6,7,0.64,28,2.55,6,0.55,1,0.09,5,0.45
Niigata,13,0.16,518,9.25,735,13.13,2218,39.61,6245,111.52,222,3.96,5304,94.71,42,0.75,805,14.38,1655,29.55,106,1.89,10,1.11,42,4.67,5,0.42,5,0.42,5,0.42,-,-,1,0.08
Toyama,2,0.04,993,34.24,386,13.31,396,13.66,6005,207.07,106,3.66,1433,49.41,16,0.55,322,11.1,365,12.59,13,0.45,-,-,24,3.43,2,0.4,1,0.2,3,0.6,-,-,1,0.2
Ishikawa,9,0.19,827,28.52,328,11.31,291,10.03,5992,206.62,133,4.59,1212,41.79,10,0.34,344,11.86,198,6.83,15,0.52,-,-,25,3.57,3,0.6,8,1.6,8,1.6,-,-,2,0.4
Fukui,3,0.08,891,38.74,233,10.13,368,16,4936,214.61,47,2.04,1641,71.35,37,1.61,290,12.61,201,8.74,19,0.83,-,-,10,3.33,4,0.67,1,0.17,6,1,-,-,-,-
Yamanashi,5,0.13,403,17.52,19,0.83,36,1.57,3037,132.04,56,2.43,787,34.22,8,0.35,197,8.57,309,13.43,17,0.74,-,-,43,4.78,2,0.2,5,0.5,4,0.4,-,-,1,0.1
Nagano,85,0.99,768,14.49,182,3.43,248,4.68,9033,170.43,212,4,3104,58.57,21,0.4,559,10.55,658,12.42,49,0.92,1,0.09,58,5.27,2,0.18,4,0.36,1,0.09,-,-,3,0.27
Gifu,31,0.36,2529,48.63,367,7.06,339,6.52,5720,110,84,1.62,1844,35.46,6,0.12,462,8.88,145,2.79,33,0.63,1,0.09,27,2.45,2,0.4,1,0.2,2,0.4,-,-,-,-
Shizuoka,29,0.21,1937,21.76,592,6.65,696,7.82,14499,162.91,219,2.46,4993,56.1,58,0.65,1055,11.85,1535,17.25,137,1.54,2,0.09,127,5.77,18,1.8,12,1.2,7,0.7,-,-,-,-
Aichi,163,0.84,7747,42.57,645,3.54,2348,12.9,25124,138.04,372,2.04,8631,47.42,50,0.27,1533,8.42,1603,8.81,195,1.07,1,0.03,115,3.29,16,1.07,17,1.13,-,-,1,0.07,1,0.07
Mie,36,0.51,3759,85.43,320,7.27,375,8.52,7667,174.25,151,3.43,1559,35.43,11,0.25,500,11.36,507,11.52,27,0.61,1,0.09,18,1.64,4,0.44,17,1.89,2,0.22,-,-,-,-
Shiga,26,0.44,914,25.39,177,4.92,393,10.92,4615,128.19,162,4.5,1465,40.69,7,0.19,409,11.36,297,8.25,41,1.14,-,-,16,2,4,0.57,2,0.29,2,0.29,-,-,1,0.14
Kyoto,90,0.73,2628,35.04,784,10.45,1233,16.44,8375,111.67,171,2.28,1878,25.04,29,0.39,583,7.77,298,3.97,64,0.85,1,0.06,52,3.06,2,0.33,3,0.5,1,0.17,3,0.5,1,0.17
Osaka,476,1.59,12007,61.26,1961,10.01,2565,13.09,28727,146.57,532,2.71,5006,25.54,89,0.45,2172,11.08,1351,6.89,292,1.49,11,0.22,264,5.18,5,0.31,15,0.94,3,0.19,-,-,3,0.19
Hyogo,136,0.69,6149,48.04,871,6.8,1371,10.71,24577,192.01,324,2.53,2990,23.36,78,0.61,1377,10.76,773,6.04,158,1.23,7,0.2,264,7.54,9,0.64,23,1.64,1,0.07,-,-,3,0.21
Nara,21,0.39,1594,48.3,206,6.24,188,5.7,5085,154.09,81,2.45,822,24.91,7,0.21,420,12.73,161,4.88,26,0.79,-,-,81,8.1,3,0.5,2,0.33,1,0.17,-,-,-,-
