YEAR,WEEK,flu_season_year,flu_weekid,holiday_effect,date,ILI+,ILI_weight,pos,ILI_est,beta,S,I,R
2002,40,2002,49,0,2002-10-06,0.0,1.22262,0.0,0.1025501855001993,0.033233782229639214,99889.41512384343,22.25024561872189,88.3346305378726
2002,41,2002,50,0,2002-10-13,0.0263699406723796,1.33344,0.001977587343441,0.04479452061247634,0.050637917777029806,99878.00732608871,8.807705391492975,113.18496851988617
2002,42,2002,51,0,2002-10-20,0.0,1.31929,0.0,0.033699856925191576,0.06505788210334748,99862.59669826587,7.21940617490659,130.18389555926132
2002,43,2002,52,0,2002-10-27,0.0505582863585112,1.49484,0.0033821871476888,0.04341772801452953,0.0800179071916376,99842.60093449768,6.866046707870559,150.53301879378196
2002,44,2003,1,0,2002-11-03,0.053983496332517,1.47195,0.0036674816625916,0.0460111965254875,0.09128315215749767,99821.87478736999,7.045454689378716,171.0797579406204
2002,45,2003,2,0,2002-11-10,0.0397620724346067,1.58094,0.0025150905432595,0.05357969425155784,0.10282229782764345,99799.38295160615,6.8275006878499624,193.789547706018
2002,46,2003,3,0,2002-11-17,0.070918841955386,1.49426,0.0047460844803037,0.05634938862662886,0.11189751810093189,99782.42975844035,7.423729060026879,210.14651249964868
2002,47,2003,4,0,2002-11-24,0.1478966044954557,1.40569,0.010521281683405,0.07269260731234846,0.11916148037922825,99762.49219896007,8.45485632848464,229.05294471074345
2002,48,2003,5,0,2002-12-01,0.12742894736842,1.6141,0.0078947368421052,0.08599202319374306,0.12781603118015308,99737.02540850911,9.37814172465644,253.59644976645865
2002,49,2003,6,0,2002-12-08,0.2418674399337193,1.45967,0.0165700082850041,0.0973825292975174,0.13545052802812746,99709.73774773045,9.700328347434626,280.5619239225213
2002,50,2003,7,0,2002-12-15,0.6221384677095858,1.59896,0.0389089450461291,0.09199395167753385,0.13994421006463334,99688.65133367597,9.702787584254034,301.64587873977257
2002,51,2003,8,0,2002-12-22,1.4223067697594496,2.16697,0.0656357388316151,0.11589373786688771,0.14357524886955883,99664.01699809782,10.970220698858709,325.0127812036355
2002,52,2003,9,0,2002-12-29,1.742175675675674,2.57842,0.0675675675675675,0.12421929876144182,0.148603918134449,99637.37326746725,11.314473882808334,351.3122586496962
2003,1,2003,10,1,2003-01-05,1.3418741641337366,2.38636,0.0562310030395136,0.13166202420665055,0.1526092781832284,99611.91547275588,12.966765261579619,375.117761982844
2003,2,2003,11,0,2003-01-12,1.5286997524752466,1.73621,0.088048090523338,0.14934607813435563,0.1563893483159683,99584.31387901084,12.853625046855687,402.8324959424674
2003,3,2003,12,0,2003-01-19,2.369616216216215,2.06296,0.1148648648648648,0.1483761774900108,0.15821097570410447,99557.19869638924,13.818958470270566,428.9823451401937
2003,4,2003,13,0,2003-01-26,4.212046867541765,2.58113,0.1631861575178997,0.17790671180727835,0.1622090185512549,99531.73986520147,15.39660649357695,452.8635283051526
2003,5,2003,14,0,2003-02-02,6.024922851656264,2.93909,0.2049927988478156,0.24221866353296811,0.17698336357756425,109445.50392748885,21.00348358580698,483.0838550607467
2003,6,2003,15,0,2003-02-09,8.503541546983996,3.22539,0.2636438243742306,0.9270311210955381,0.37428392704332175,109342.7017250787,68.71661168718173,528.827274604923
2003,7,2003,16,0,2003-02-16,7.773025834046191,3.06982,0.253207869974337,7.158875252997107,0.5301315164208689,98542.3006212003,553.9871844752189,903.7121943246673
2003,8,2003,17,0,2003-02-23,7.218383695652172,3.20044,0.2255434782608695,8.99838771270241,0.269395511607716,97470.96505618178,648.3763160216834,1880.6586277965087
2003,9,2003,18,0,2003-03-02,5.440703955841764,2.44888,0.2221711131554737,6.921093471791485,0.2437445589679947,96907.71681179634,504.7995527297868,2587.483635473741
2003,10,2003,19,0,2003-03-09,3.989148362235066,2.1344,0.186897880539499,5.223945085109332,0.2299385155607981,96530.00177164063,384.31123430431285,3085.68699405496
2003,11,2003,20,0,2003-03-16,3.4226030391583877,1.99866,0.1712448860315605,4.124844763978643,0.2243352912119757,96205.47121298932,305.40722381885234,3489.1215631917626
2003,12,2003,21,0,2003-03-23,2.838603988355166,1.93849,0.146433770014556,3.2904073079764293,0.2228829423178246,95954.26139173452,244.91601058217717,3800.822597683345
2003,13,2003,22,0,2003-03-30,1.4079196099290767,1.41293,0.0996453900709219,2.221147246644241,0.2127904899725043,95918.73125366481,166.86968319911276,3914.3990631360484
2003,14,2003,23,0,2003-04-06,1.0551816326530603,1.23472,0.0854591836734693,1.6059924731725084,0.21008649453438813,95889.92740894452,120.97617895666117,3989.096412098734
2003,15,2003,24,0,2003-04-13,0.619453308305959,1.20005,0.0516189582355701,1.1600975410667813,0.20903756620356995,95914.38775162693,87.38433653241509,3998.2279118405827
2003,16,2003,25,0,2003-04-20,0.4558357625211023,0.910135,0.0500844119302194,0.8790540947489448,0.20976129786284659,95947.75225099998,66.37358253074682,3985.8741664693102
2003,17,2003,26,0,2003-04-27,0.3845758890469411,0.932265,0.0412517780938833,0.7162678438157336,0.2119785156866764,95978.55379526701,53.75965326672384,3967.6865514663173
2003,18,2003,27,0,2003-05-04,0.3851710310965625,0.692175,0.055646481178396,0.6206126104713059,0.2155660612524017,96017.25661168493,46.0025948616362,3936.7407934534112
2003,19,2003,28,0,2003-05-11,0.1672022123104365,0.669406,0.0249776984834968,0.5063733688773046,0.21685464214957806,96091.09139407906,38.025433392226994,3870.8831725287714
2003,20,2003,29,0,2003-05-18,0.1485112244897957,0.727705,0.0204081632653061,0.43740402412217827,0.2184136566828669,96167.56854848677,32.25260222681347,3800.1788492863775
2003,21,2003,30,0,2003-05-25,0.1316882568807338,0.717701,0.018348623853211,0.39067220049512746,0.22056769588689348,96241.19315257132,28.73907084298587,3730.067776585611
2003,22,2003,31,0,2003-06-01,0.067182468085106,0.789394,0.0085106382978723,0.34727346389231106,0.2217872796489864,96327.46919511436,26.768892821980042,3645.761912063729
2003,23,2003,32,0,2003-06-08,0.1302035644937583,0.722129,0.0180305131761442,0.3486244957672165,0.22372790796297742,96404.87132108024,25.842955547931204,3569.285723371908
2003,24,2003,33,0,2003-06-15,0.0606044216691063,0.591326,0.0102489019033674,0.3212983004506412,0.22466349860820983,96493.01174128427,24.59588408113226,3482.3923746344767
2003,25,2003,34,0,2003-06-22,0.0379724137931034,0.52307,0.0072595281306715,0.3083622498905418,0.225193745347601,96573.1229667037,23.11507254142306,3403.7619607549127
2003,26,2003,35,0,2003-06-29,0.020511890660592,0.450236,0.0045558086560364,0.28288941196929884,0.2255910234925887,96661.44303509516,21.132255291577124,3317.4247096133104
2003,27,2003,36,0,2003-07-06,0.006180730948678,0.397421,0.0015552099533437,0.24817650747162248,0.22513184317937196,96751.86757020578,18.543970697135922,3229.588459096995
2003,28,2003,37,0,2003-07-13,0.0212659177215186,0.448002,0.0047468354430379,0.24631932296748216,0.22594332466603612,96842.57378646557,18.84890504289451,3138.577308491457
2003,29,2003,38,0,2003-07-20,0.0272463127690098,0.474767,0.0057388809182209,0.25813650964345614,0.22713964596043812,96930.56988499723,20.215055752095395,3049.2150592505673
2003,30,2003,39,0,2003-07-27,0.0285063522012577,0.453251,0.0062893081761006,0.26873514407667437,0.22774839806676767,97012.19144427302,20.130822147942194,2967.677733579075
2003,31,2003,40,0,2003-08-03,0.0445769620253162,0.352158,0.0126582278481012,0.28091341690646576,0.2286580139757337,97079.06337054641,21.518823990380636,2899.4178054631684
2003,32,2003,41,0,2003-08-10,0.0166241139240505,0.525322,0.0031645569620253,0.26969083133853006,0.22837572689547642,97149.02167967695,20.17472087867053,2830.803599444267
2003,33,2003,42,0,2003-08-17,0.0194345992115634,0.492991,0.0039421813403416,0.2605080189369074,0.22882714133588983,97217.64463057814,19.40294860033514,2762.952420821427
2003,34,2003,43,0,2003-08-24,0.0,0.542728,0.0,0.13000903137718808,0.22378762459122575,97315.82690707866,11.360445185993285,2672.812647735388
2003,35,2003,44,0,2003-08-31,0.0,0.490347,0.0,0.11544058711662931,0.22126504753303536,97406.00452846242,10.282445999385217,2583.713025538177
2003,36,2003,45,0,2003-09-07,0.028746640625,0.735914,0.00390625,0.1802272520323639,0.22346616148128717,97468.86197156,14.138074468945728,2516.999953970749
2003,37,2003,46,0,2003-09-14,0.0096319701986752,0.581771,0.0016556291390728,0.2003103808872058,0.22431599936140875,97532.13917926974,15.490381502086787,2452.370439228104
2003,38,2003,47,0,2003-09-21,0.0244546542056071,0.654162,0.0037383177570093,0.23003527743677904,0.22567674176900776,97592.23129753268,17.641465574376525,2390.127236892612
2003,39,2003,48,0,2003-09-28,0.0,0.749504,0.0,0.12882124625481128,0.22169961347972006,97671.16197641108,10.431562892008039,2318.40646069695
2003,40,2003,49,0,2003-10-05,0.13600323076923,0.884021,0.0153846153846153,0.20197299999898363,0.22368546282948157,97700.72012280159,15.435066625516733,2283.8448105728144
2003,41,2003,50,0,2003-10-12,0.4704828180737213,1.02773,0.0457788347205707,0.2814940142510819,0.22861689791474696,97740.96664081601,21.070603666212623,2237.9627555175393
2003,42,2003,51,0,2003-10-19,1.4916768382352932,1.28296,0.1162683823529411,0.4082490604786018,0.23703425995117755,97760.98165696196,29.77963787666941,2209.238705161266
2003,43,2003,52,0,2003-10-26,2.365994470404984,1.32661,0.1783489096573208,0.6045591842744767,0.24630166897452865,97741.57353100699,44.140433765959926,2214.286035227134
2003,44,2004,1,0,2003-11-02,3.4456098801307657,1.77304,0.1943334544133672,0.89784428173295,0.2560411017540775,97664.71799780542,64.71215519083994,2270.569847003808
2003,45,2004,2,0,2003-11-09,5.915217224880384,2.43814,0.2426118772867999,1.4969881584477167,0.27483417948647293,107255.6340841691,107.38479741925798,2387.4933078815516
2003,46,2004,3,0,2003-11-16,7.659043634385201,2.72605,0.2809575625680087,5.721940773584331,0.4270892846870115,96964.19780431551,414.3231415209614,2621.4790541636603
2003,47,2004,4,0,2003-11-23,12.360179333557724,3.73192,0.3312016156176371,12.842827090696629,0.40421928039554605,95605.74658407355,931.0800419077214,3463.173374018771
2003,48,2004,5,0,2003-11-30,15.80438947368421,4.54894,0.3474301589751505,17.038815667611026,0.2972496887956199,93642.05056945556,1219.3542591768385,5138.595171367616
2003,49,2004,6,0,2003-12-07,18.388755094811412,5.39906,0.3405917899562408,19.410684754651246,0.2924863003337698,91561.1167012268,1387.1138191323093,7051.769479640814
2003,50,2004,7,0,2003-12-14,24.32318587989052,7.38735,0.3292545483819031,24.30737467580584,0.29838001488472454,88622.55172324876,1735.3913549222527,9642.056921829046
2003,51,2004,8,0,2003-12-21,23.040346371891708,7.48097,0.3079860816430451,24.76557047976728,0.29213585372278045,86153.47469702268,1780.9782791915711,12065.547023785786
2003,52,2004,9,0,2003-12-28,18.866470732457937,7.62797,0.2473327862125564,21.828560675789344,0.2803105021557335,84299.94807801198,1583.4166971504405,14116.635224837479
2003,53,2004,10,1,2004-01-04,10.33448470629949,5.14051,0.20104006618603,14.670880933397015,0.2564989364649809,75402.70262314467,1086.8893054072628,15132.330002209783
